Rating,Review_Date,Review
9.0,26 July 2019,"Having being all superheroed out with the never ending train of films this is so much welcome relief. It's not for kids and I love the choice language which is appropriate.
2,081 out of 2,363 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
10.0,26 July 2019,"Started watching this brilliant spin on a superhero show after dinner. Now it's 4 am and I have just watched the whole thing.

From the very first episode I was glued to this exciting, interesting and crazy ride.
966 out of 1,105 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
8.0,6 December 2021,"I've had big expectations about this show, because I thought that is going to be exactly that kind of show, in which the good guys (the superheroes) fight the bad guys (the villains) and of course, they win. I couldn't have been more wrong, especially because ""The Boys"" it's not about a desperate attempt of superheroes to save the world from evil, instead this show takes a much more realistic approach, about what is going to happen if superheroes had really existed.

I'm saying that I had big expectations in the beginning, because I thought that it would be the same usual show with superheroes and villain, that is most likely to find everywhere. In the first couple of episodes I've been a little bit disappointed, or rather shocked, because like I've already said, ""The Boys"" describes what the MCU never did. Of course, the movies and shows from Marvel are destined to other public's category, but this show is tough. It has all you could not expect from a TV series with superheroes. It has violence, gore, nudity, astonishing CGI effects and a very unpredictable and solid storyline. In the end it seems that this one delivered what I didn't expect it to and I am pleased with that. The show is definitely worth watching."
10.0,27 July 2019,
9.0,26 July 2019,"Excellent dystopian reimagining for Superhero nerds. Surprising, violent, always twisting. Binge-watched in 2 days! So glad for a second season, though will be so impatient! Thumbs up.
1,035 out of 1,201 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
10.0,27 July 2019,
10.0,26 July 2019,"First it's just a very interesting take on the whole superhero genre. But there's also a lot more. Great actors, great storyline and very nice picture. I guess for me it's the best superhero series yet, followed by Titans and Umbrella Academy."
10.0,26 July 2019,Just finished watching the four first episodes. The pilot has to be one of greatest pilots I've ever seen. It has everything and I was hooked immideately. And it keeps getting better. I didn't know I needed this. It's really bold and a fresh wind for TV.
10.0,1 August 2019,With all these awful shows like supergirl and legends of tomorrow etc..The Boys is the perfect antidote to that insipid moralistic tripe that's spewed our TVs so thank you Amazon Prime for treating us like adults and I can't wait for the second season
10.0,28 August 2022,"There's nothing more that I can really say about The Boys that hasn't already been said. It's just a flat out awesome show! It's easily become one of my favorite new shows in years! I binged the entire first two seasons in just a few days when they first came out and rewatched them again for the second time before Season 3 came out. I was expecting a little bit of a drop off for Season 3 because Season 1 and 2 were so great, and there is a little drop in quality but it's still a very good show! It takes everything you loved about Season 1 and 2 (the violence, humor, heart, craziness, character development, etc.) and takes it all to a whole new level! This show has such an original take on the Superhero genre that is both exciting and hilarious! I can not recommend this show enough! Just a warning though...once you start watching it it's hard to stop. Give yourself enough time because you'll want to binge it as quickly as possible!"
10.0,15 August 2019,
