Rating,Review_Date,Review,Release_Date
6.0,"Jun 11, 2023","Most of this movie is boring, even when there is action on the screen. The first 1h30 should have been cut to an hour, and it would have been more entertaining. Up until this point, it was a middling 5/10 for me, just like the rest of these movies (bar 1 perhaps).

HOWEVER, the final act/fight is honestly stellar - I actually sat up and properly enjoyed the battle, the fact that the people were actually involved (due to what I thought was a pretty neat, if cliché device).

It actually felt like there were some stakes too, both on large and small scale. The music, both soundtrack and needle drops were on point. Just a pity that the rest of the movie didn't have this level of quality.","June 9, 2023 (United States)"
6.0,"Aug 30, 2023","As a neutral, I went in there with no real expectations. Regardless of the critics out there, I have personally enjoyed it. There is a new direction along with some exciting new characters and overall it was fun viewing.

I felt the storyline was simple and comprehensive and the chemistry among the characters were solid. To be honest though, it may not be everyone's couple of tea. Especially for people who may have enjoyed the earlier versions of it.

Nevertheless, the action sequences were ok, they are plenty room of improvements and at times it lacked innovation. Despite this, the introduction of Anthony Ramos was interesting and he didn't disappoint in his performance.

Overall, it was an enjoyable experience but don't expect too much fireworks from this movie, looking forward to see how this franchise unfolds !","June 9, 2023 (United States)"
7.0,"Apr 9, 2024","I usually don't write movie reviews. Since, I liked all previous 'Transformer' movies, I just couldn't stop myself from writing this one. The autobots and maximals did not fail in their visual effects and performance. What made the entire storyline weaker was the two lead roles They delivered quite a lacklustre performance. Was the director/producer trying to bring diversity to the plot? Every minute of watching them was making the movie taste bland. The onus is somewhat on the screenplay.and direction of the movie. Overall, the movie deserves 7/10 (if you like Transformers). For someone watching Transformers for the first time, it may be a disappointment.","June 9, 2023 (United States)"
7.0,"Jun 9, 2023","After the success of 'Bumblebee' I was hoping that this instalment might offer a more rewarding viewing experience than the previous cash grab Transformers outings, but I was sorely mistaken. It is unfortunately a rather drab affair.

Within about 5 minutes every cliche possible is ticked off the list. The dialogue is grating and so corny it hurts. The action is messy and disorienting. The newly introduced 'Maximals' are severely wasted with limited screen time. The plot centres around a silly doohickey that is hard to care about. The human characters are kind of annoying and poorly written. None of the humour really lands and neither do any of the emotional story beats. The story sags a little in the middle. I could go on.

Saying all that, this film is mildly entertaining and does have its moments, although they are too few and far between. I guess it's worth watching if you are into your Transformers films, but the casual movie goer should probably save their money and skip this one.","June 9, 2023 (United States)"
7.0,"Jul 29, 2023","6.5/10 Well at least it's better than the Bumblebee movie and way better than Revenge Of The Fallen, but Rise Of The Beasts still hasn't have that epicness of both story telling and action combined like the Michael Bay version and yes i still much prefer those one say whatever you want, it just my opinion, i did have a problem with Rise Of The Beasts from Dominique Fishback bad acting, Pete Davidson's Mirage characters that are just annoying and loud at times, the decision of making Bumblebee sort of die again for like a thousand time (Spoiler! I guess), the long distance build up for the re-introduction of Optimus Primal that are too long making it his appearance can be said not too much in the movie, and the exact problem from previous movies happening again, which is when they make Optimus Prime takes too much L, the way they make Optimus so weak neither in the beginning or in the middle while they always hailed him as the most powerful one and the legend and the leader of all Autobots kinda of pissed me off, that's basically most of my problem with the movie, while the goods of Rise Of The Beasts is of course the action, the battle scene are pretty exciting and the last battle was great, Anthony Ramos ok performance and characters itself overall is a W, all of the Autobots and the Maximals team were fine, Optimus got a lot of screen time, Noah's little brother and friend performance was fine, some cool and even funny scene, liked some of the soundtrack, and Scourge was a good villain, overall Transformers: Rise Of The Beasts is problematic and have a lot of flaws but it also still fills with entertaining action, villain, ok performance male lead, and not ridiculous main plot, it's not terrible but it's not amazing or incredible either, (the half plus score i gave for the movie is because Rise Of The Beasts have more stuff in it than the Bumblebee movie and that's why i am not giving it the same score which is only a 6 for Bumblebee).","June 9, 2023 (United States)"
6.0,"Jun 9, 2023","Where do I start? Let's start with the positive; the CGI was amazing. The bad; the acting, and the casting was terrible. I don't know who wrote the script, but it was awful also. Nothing against the actors, but some of them seem so miscast in their roles. The girls voice was absolutely annoying. Sometimes over acting, sometimes not acting at all. But all in all just terrible. Sometimes great dialogue can say bad acting, in this case, the dialogue was just as bad. Cringe worthy. I was hoping for more as I love the transformers movies. I wanted to stop watching within the first 15 minutes, but I also wanted to give it a chance to see if it would get better. It didn't. If this is the best they've got they should stop now.","June 9, 2023 (United States)"
4.0,"Jun 9, 2023","After being disappointed with Age of Extinction, loathing The Last Knight, and being one of the few that disliked Bumblebee, I went into this movie expecting it to be terrible. But I am ecstatic after watching the best Transformers movie since Dark of the Moon.

I found myself smiling for most of the runtime. For the first time in years, I kept thinking ""Transformers are so damn cool."" There are so many beautiful shots with these CGI creations, so many moments to screenshot and frame. The action is miles better than the last three entries.

They fixed so many of the issues that plagued the last three movies. There are actual characters with motivations we understand, conflicts where we can see both sides of the argument. Even the Transformer characters are significantly more fleshed out. I felt for them.

There is an actual story instead of nonsense to move the plot forward. You don't even have to turn your brain off to enjoy it. And the comedy actually works! I laughed more times than the previous three movies combined.

This experience made me so happy, and I look forward to any future projects if this is the direction they're taking. It's a perfect example of how, if you do it right and create with care and passion, the result will be endlessly better.

EDIT: I loved it even more the second time. Multiple action sequences give me goosebumps, similar to how I feel when watching the Dark of the Moon highway scene and the Optimus rage scene at the end. And I can't believe I didn't mention it originally, but the musical score is AMAZING. It elevates every scene and gives me the feels.

(3 viewings, early fan screening UltraScreen 6/7/2023, UltraScreen 6/14/2023, SuperScreen 7/3/2023)","June 9, 2023 (United States)"
6.0,"Jun 9, 2023","I have to start by saying that I was not expecting much from this movie so I'm thrilled with joy about how much I got from it. I think I'm bias because the movie takes place in 1994, a good year for me and a good time for music which was used very effectively to give you a vibe of New York (or rather Brooklyn) in general. I will be blunt on how the Black and Brown culture meshing with the Transformers also realty gave the franchise a breath of fresh air. It's strange how that works. Black and LantinX has existed forever yet somehow putting it in a movie franchise about giant robots from space gave it a uniqueness that gets attention.

As Martin Scorsese would say ""it's a roller coaster ride"", but I love roller coaster rides. The Action was fantastic beautiful visual scenes but I'll admit my one nick pick would be don't see it in 3D. The format flattens the visual effects making everything look faker than it already is.

Also love the interaction of the humans and Transformers. The Transformers have more personality now than they did as basic background for Michael Bay's film.

Plus, there are some bells and whistles that truly put the smile of the 8-year kid on my face.

Worth it!","June 9, 2023 (United States)"
4.0,"Aug 6, 2023","It's an ok movie. If you have an interest in seeing Transformers' action then check it out. The lead up is solid, not great but not terrible either, but this movie really shines at the end. Watching the Transformers come together and fight is epic, and if you have a good sound system, it's even better. I gave it a 6 but I feel it's between a 6 and a 7. I can also understand why some would rate it higher. I don't know what political stuff other reviewers are complaining about. There wasn't any in the movie, that I saw. The scores of 1-5 are ridiculous imo. If you're a fan of Transformers, I think you'll enjoy it. Cheers.","June 9, 2023 (United States)"
8.0,"Jun 8, 2023","While this film isn't groundbreaking it gives fans of the franchise some hope of a resurgence. The film takes place in 1994 and it lends itself to that time period with the music choices and the aesthetics of New York. Anthony Ramos's character was that of a stereotypical Latino from New York. In the film he's down on his luck searching for a job to help his single mother take care of his ailing younger brother. While out trying to make money illegally he gets caught up with the transformers who are trying to retrieve an artifact.

Ramos is funny in his role and his chemistry with Pete Davidson (Mirage) works well. There was a point in the film where he took charge of the situation and it came off as a bit forced. Overall, I enjoyed his performance and what he added to this film. The direction of his character during the final battle added to the entertainment of this film.

Dominique Fishbacks's character started off interesting but by the time the film ended she was underwhelming. More could have been done with her character.

Dean Scott Vasquez was okay as he added a bit of humor but some of his scenes that were meant to be emotional weren't as touching as the film tried to make them.

The landscapes of Peru were very beautiful to see and it was nice seeing the action taken away from the city. The character designs were nice but some of the characters were underutilized (Cheetah, Rhino...). The beasts were shown here and there but it felt like a very surface level introduction. The villain had a clear-cut motive which helped carry the story.

In all this film was a decent introduction to these new characters with room for improvement. I look forward to the next film and hope they can capitalize on what they started in this film.","June 9, 2023 (United States)"
