Rating,Review_Date,Review
10.0,4 July 2021,"I have never watched a show that is as consistently genuine and engaging as Breaking Bad. This is undoubtedly one of the greatest shows ever, and it consistently improves as it progresses.

The Journeys of Walter White and Jesse Pinkman are unforgettable. These are some of the best-written characters to ever come from a pen-hitting paper.

My praises for the acting and cinematography are unending. Some of the shots are intricate works of art, and I was rarely distracted by the acting. The performances are excellent to the extent that it feels improper to refer to them as performances.

Overall, Breaking Bad consistently maintains a level of engagement and technical quality seen in only the best of movies, and in terms of tone, every intense moment is executed with excellence and always achieves the impact it reaches for.

I feel like the show's plot in the early seasons lacks a certain level of complexity due to it not having a vast amount of plot threads, and the start is a bit slow-paced, but Breaking Bad is an absolute must-watch. If you have mixed feelings towards Season 1, trust me, it is only uphill from there.

If there was ever a series you could call perfect, I think this might be it."
10.0,7 March 2019,"Re-Watched it 7 times and counting. I guess I liked it.
4,701 out of 5,084 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
10.0,30 July 2021,"One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan."
10.0,19 February 2020,"I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.
1,694 out of 1,862 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
10.0,9 November 2021,"Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!"
10.0,31 May 2019,"When you finish the show you'll never be the same..I guarantee you
2,006 out of 2,277 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
10.0,16 November 2019,"I wanna delete my brain and watch it again like I never knew it.
1,537 out of 1,759 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
10.0,18 July 2021,"Direction- PERFECT!!

Screenplay-PERFECT!!

Writing-PERFECT!!

Score-PERFECT!!

Cinematography-PERFECT!!

Casting-PERFECT!!

Beginning-PERFECT!!

Climax-PERFECT!!

Acting-BEYOND PERFECT!!

Overall-(as I said) ABSOLUTE PERFECTION."
10.0,9 December 2022,Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!
10.0,13 November 2017,"'Breaking Bad' is one of the most popular rated shows on IMDb, is one of those rarities where every season has either been very positively received or near-universally acclaimed critically and where all of my friends have said nothing but great things about.

Very few shows in recent memory had me so hooked from the very start that before the week was over the whole show had been watched, especially when for a lot of shows now airing watching one episode all the way through can be an endeavour. 'Breaking Bad' had that effect on me, and its reputation as one of the best, consistently brilliant and most addictive shows in many years (maybe even ever) is more than deserved in my eyes. Its weakest season is perhaps the first season, understandable as any show's first season is the one where things are still settling.

Actually everything is established remarkably from the very start, but once the writing and characterisation becomes even meatier the show reaches even higher levels.

Visually, 'Breaking Bad' is one of those shows that is both stylish and beautiful, with photography and editing that are cinematic quality and put a lot of films today to shame, where there are a lot of visually beautiful ones but also some painfully amateurish looking ones. The music always has the appropriate mood, never too intrusive, never too muted.

The writing for 'Breaking Bad' is a fine example to all shows of how to have a lot of style but also to have a lot of substance. The dialogue throughout is thought-provoking and tense, while also have a darkly wicked sense of humour and heart-tugging pathos. The stories are texturally rich, intimate, tense and layered, with the pace of them consistently deliberate but taut. The direction couldn't be better.

Can't say anything bad about the acting. Bryan Cranston is phenomenal as one of the most fascinating anti-heroes, or even of any kind of character, in either film or television. Aaron Paul has never been better and Anna Gunn is affecting. The characters are compelling in their realism.

Overall, describing it as brilliant doesn't do 'Breaking Bad' justice. 10/10 Bethany Cox"
