,Rating,Review_Date,Review,Release_Date
0,10.0,7 November 2006,,"October 1, 2006 (United States)"
1,10.0,14 November 2020,"Thanks to the quarantine, I watched series that I never imagined I would ever see, one of these series Dexter, which I heard had a bad ending, so I decided not to watch it, what a nonsense I missed myself watching one of the best series ever. Dexter has eight seasons and a renewed new season to fix the poor ending and everyone's excited about it. All seasons are excellent, from the first to the seventh, with the exception of the last. You evaluate each season as follows. First 9.7 Second 9.6 Third 8.7 Fourth 9.9 Fifth 9.0 The sixth 8.9 Seventh 9.0 The ex Final season 7.0 Waiting for the new season","October 1, 2006 (United States)"
2,10.0,30 October 2006,"Dexter is the show I have been waiting for my whole television watching life! The complex and damaged characters, the twisted plot line and Dexter's foster dad grooming him, educating him, to make him the perfect avenger,its all so intoxicating! I am breathlessly anticipating the next episode. This show is not only well acted, with each and every main character holding my full attention, but written with such deep intensity that I find it absolutely irresistible! I really find it difficult to wait and see more of how Dex was traumatized as a child, more of Harry's lessons, more of the growing relationship with Rita, more of the ice truck killer, more forensics...More of this great show period. Kudos to all involved...this show will surely be a huge hit!","October 1, 2006 (United States)"
3,10.0,1 October 2006,"I read Lindsay's excellent books - Darkly Dreaming Dexter and Dearly Devoted Dexter - some time ago, and when I heard that there was to be a series based on the books, I was extremely excited. So much so, in fact, that I feared disappointment merely because my standards were so high.

Thankfully, ""Dexter"" absolutely delivers. The show maintains the uncomfortable atmosphere of the novels with better fidelity than one could ever have expected, and Dexter (played by Hall) is all there.

The visual elements from the show are stunning, to say the least. Disturbing, certainly, but more than that - fascinating. Watching the show, it's impossible to keep from finding a certain agreement in oneself for Dexter. He's a monster, and yet it's completely possible to identify with him.

10 out of 10. This one has a permanent spot on my DVR.","October 1, 2006 (United States)"
4,10.0,29 August 2023,"Dexter is absolutely, without a doubt, one of the best shows ever created! It follows Miami PD blood splatter expert Dexter Morgan (Michael C. Hall) as he both solves murders and commits them too. He only murders bad people who've gotten away from the law. Being a blood expert he's able to outmaneuver the police at every turn. It's a thrilling, one of a kind TV show that will keep you at the edge of your seat throughout the entire series. Michael C. Hall is perfect as Dexter and the rest of the supporting cast is just as fantastic! Yes, the ending was terrible but like Game of Thrones, Lost (or any other show with a bad final episode), a few bad episodes at the end doesn't spoil what an overall great show it was and that's what Dexter is...a GREAT show.","October 1, 2006 (United States)"
5,10.0,26 October 2020,Dexter is easily one of my favorite tv shows of all-time and one of the few shows I can watch all the way through several times over without getting bored. It's hard for me to put into words how much I love this show. The only thing that's not good about it is the ending. The ending was pretty bad but that still doesn't take away from how good the show is overall. You should watch this show for Michael C. Hall's performance as Dexter alone. He's amazing in this. If you haven't seen this incredible show yet just make sure you give yourself enough time because you're going to want to binge watch it as fast as you can. Once you start watching you won't be able to stop.,"October 1, 2006 (United States)"
6,10.0,1 October 2006,"Absolutely brilliant. True to Jeff Lindsay's books. The visual contrast between the darkness of Dexter's secret life and and the gloss of Miami adds an almost surreal quality. Character development is right on the money, bringing out the background slowly so one can see the development of Dexter's sociopath personality and his confusion of human behavior compared to his own. Dexter is an actor in his own life; his relationships between co-workers and his personal life are well shown in the video media. The fact that he is a blood splatter expert This is a dark work, but set in the bizarre world of life in Miami is almost believable. Developers of this series should also look to Andrew Vachss's books.","October 1, 2006 (United States)"
7,10.0,22 October 2006,"Dexter, a forensics expert at day, serial killer with a touch of vigilantism at night. Dexter is creating a believable and very detailed portrait of a, lets say troubled, sociopath. One of the parts about the show I like best is the emotions that normal people exhibit, thus forcing Dexter to mimic them. Good laugh when the emotions Dexter fake get real, and he is scared out of his mind, like in the relationship with his ""girlfriend"" Rita, mother of two and victim of her abusive ex-boyfriend. Also liked the acting of Jennifer Carpenter as Dexter's sister Debra, adds a nice touch colour to the show, without drifting into clichés.

Thrilling story, many details, and one of the best opening sequences ever.","October 1, 2006 (United States)"
8,10.0,28 April 2010,"This is going to be my first ever review on IMDb, there is not a day when I do not visit IMDb to check the reviews about movies or TV series that I watch, I watch lots of movies and series.

For the first time in my life it happened to me that I could not sleep after watching a series. I have seen prison break, heroes and a lot other. Prison break and heroes first season was awesome. They inspired me so much that I got some tattoo's done on my body. However both these series cut loose as soon they go to the next season. Heroes was big disappointment but DEXTER.. OMG series after series it starts to make me so curious about the next episode.. damn the season 4. I just could not sleep the whole night after watching it. I spent my weekend watching the episodes back to back.

To start with Dexter (Michael C. Hall) his darkness was off the edge he played the role so well that sometimes I wonder if he is the same in his real life but then I found that Debra Morgan (Jennifer Carpenter) is his real wife who is playing his sister in this series. Damn Debra is one character who is so confused and mostly been controlled by the people around her, she always end up doing something wrong but always gets credit for the good things too.

I love the part when you get to know what is going on in Dexters mind when he thinks about something or when someone is talking to him also the part when he talks to his dead father Harry. (he just thinks what his dad would say in that situation). All the episodes/characters and all the seasons are written and played so well that you can hardly find any flaw in it.

My favorite characters are Dexter (Quite obvious), Rita and Vince Masuka damn Vince is so funny, he just utter one word in his entire episode and comes out to be damn funny.

I just cant wait for the Season 5 and I am sure whosoever watched dexter feels the same way just like I did.

(Apologizes in case my first review has some mistakes and offends somebody's feelings)","October 1, 2006 (United States)"
9,7.0,27 October 2006,"Between Dexter and Weeds, Showtime has a corner on the original new shows market. Not only are both of these shows completely original and innovative, but they are REALLY good.

Dexter, in particular, should not be reviewed by anyone who hasn't seen more than three episodes. I almost feel as if the first episode in the series is a tad-bit melodramatic (note Dexter screaming in the face of his first victim) just to pull in viewers that otherwise need something more visceral than a great screenplay.

By two more episodes the viewer should be absolutely intoxicated by the complexity of the character Dexter and the acting of Michael C. Hall. His own co-stars admit to being almost ""scared"" by how well Hall absorbs his character. Personally, I think that without Hall's mastery of Dexter there would be nothing to watch. Don't get me wrong, the plot of this show is extremely intriguing (and original, to be redundant), but the excitement lies purely in the way Dexter/Hall responds to A) his girlfriend, B) blood, and C) other serial killers.

I think that it is very reasonable to chuckle at Dexter's attempts to ""fit in"" social situations and I believe the writers of this show planned on it. What I am still stuck on, however, is whether or not to cheer Dexter on in his methodology (serial killing serial killers). This had better be the first of many seasons, so spread the word...

...Edit: I watched this series finale last night and come back to this review (which I wrote after the conclusion of Season 1) with my hat in hand to say: ""I'm kind of sorry for the hype.""

If my review was the impetus for your 'Dexter' obsession (I, too, was obsessed) then I owe you an apology for the way it all ended. Sure, sure, I couldn't have known how poorly written the resolution of this once-magnificent series would be. But, you see, I shouted praises for this show from roof-tops...telling every friend who would engage me in discussion about pop-culture that they NEEDED TO WATCH DEXTER, it's the greatest drama on television!

Alas, I will not leave any spoilers here and if you've come along the journey with me then you will undoubtedly watch how it all ends, but I write this edit in vain so that you, internet friend, cannot say that I didn't warn you: 'Dexter' leaves me wanting a real ending.","October 1, 2006 (United States)"
