Rating,Review_Date,Review
9.0,3 December 2022,"I have loved Tulsa King so far. I actually love everything Taylor Sheridan does so I knew this would be no different. This is fun crime show that knows exactly what it wants to be and you can tell the cast, led by Sylvester Stallone, are all having a blast making this. It's about a New York mafia boss named Dwight ""The General"" Manfredi (Stallone) who is released from prison after 25 years. He thinks he coming out to a hero's welcome but gets sent to Tulsa to run things instead. After not feeling the love from his gang like he feels he should he starts to build his own in Tulsa. Some of it may come off as a little silly but overall it's a really good show that's definitely worth watching. It's obviously doing well because it's already been renewed for a second season which is great news!"
9.0,28 November 2022,"I figured this would be an entertaining show. We've grown accustomed to think that anything with Stallone in it nowadays would be a comedy, and Tulsa King does feature good amount of humor. But Taylor Sheridan isn't going to create a simple parody of a mob story and using Stallone as a joke and punchline.

The show has promising depth, despite the light-hearted premise of a former big shot mobster forced to make a new start in a new city after a long prison sentence. Some comedy ensues as a New York mobster finds his way around Tulsa to establish his turf using his ""old world"" ways.

Characters are genuinely likable across the board. While it's not unusual to root for a ""bad"" guy as the protagonist, his directness and old world commonsense values appeal to those of us looking for something refreshing amidst today's social nonsense. Irony in the message is that it takes a thug who bows down to no one to smash through and expose the shallow social hypocrisy. This is the same formula that made Yellowstone such a success, and Sheridan knows this is what so many of us want.

Stallone gives an excellent performance. Before he became a caricature from his later roles that drove Rocky and Rambo franchises into the ground, his acting and screen presence created those iconic roles. It's good to see him back on screen in a role that seems perfect for him, and leverage some of that cheeky persona to add depth to his character and the show, rather than undermine it.

Overall, highly entertaining show that I look forward to, and an excellent addition to Paramount+ portfolio."
9.0,21 November 2022,"Sylvester Stallone absolutely kills it in Tulsa King! For Stallone to do a tv show you knew it had to be a good script and of course it would be with Taylor Sheridan as the created. Sheridan continues to hit home run after home run. He is the best thing going on tv right now with incredible shows like Yellowstone, 1883, Mayor of Kingstown, etc. And movies like Sicario, Hell or High Water and Wind River. Everything he touches turns to gold. Also, one of the other writers is Terence Winter who wrote shows like The Sopranos & Boardwalk Empire. I mean come on? There was no way this show was going to be bad with those two at the helm. It has everything you want in a good show...drama, violence, comedy, etc. Stallone plays a very likable tough guy to perfection."
9.0,14 November 2022,"I watched this out of curiosity, no high expectations, I was just surprised to see Stallone in a tv series. You feel the tension in the scenes, it also feels fairly realistic as far as the plot would demand it. Wouldn't say it's humorous but a couple funny scenes as a result of Dwight (Stallone) coming out of 25yr prison sentence and not fully integrated into the way the world works now; so I'm assuming the abrupt transition will offer some interesting hiccups for him down the line for us. I'm glad someone told him how to use an Uber, it was funny while it lasted.

It's a pretty smart script but not in a forcefully witty way which bodes well. Of course Stallone is a huge presence but the rest of the cast seem pretty good.

The show literally feels like you took gangsters written for a movie from the early 90's and just threw them into 2022, makes for a good blend of humor and violence.

I thought it was just going to be a throwaway show as some of stallion's recent movies are; mostly just leaning on his name and performances but Taylor Sheridan does a good job here with writing worthy of Stallone's performances. I think it's gonna be fun to watch macho Stallone building a criminal empire from scratch, middle of nowhere Tulsa. I love how it has this western oater feel to it at times while still being mafia. I think the show could end up going under the radar, then get buzz later on with people asking how they never caught on to it earlier, because I haven't seen that much advertisement from Paramount.

I went in with no high expectations, but if the premier episode is anything to go by this could be a really fun watch. If it keeps on like this, great, if it gets better that'll be fantastic. I'll add a rating after more episodes release and update if anything changes drastically about the show."
8.0,28 December 2022,"I've always liked Stallone, over the years, yes he's sequel addicted but has made some really enjoyable films scattering a few classics along the way. In Tulsa King could very well be his best work just from a acting perspective, he's just stone cold nailing the role of a mafia capo. The series itself has a interesting story, it's well written taking full advantage of the humor of a New York mobster in Tulsa Oklahoma without becoming silly at all, throw in a healthy dose of violence, good writing and dialogue, and a great cast of supporting actors and characters and they have a winner. Fun to watch, well worth a look."
9.0,20 November 2022,"Sylvester Stallone 's Rocky, old school, hard a$$ acting style fits this show perfectly. From narrating to cruising through Tulsa it just shows that this role is perfect for him. Also acting as a guy his age and style definitely helps to blend in perfectly. As for the show, the buil up in first two episode was great and moving pretty quickly. It will be interesting with coming towards the end of the season how good and how big twist they have prepared. In the meantime if you are Sly's fan you definitely have to give this show a chance, even if you're not, I would still recommend it for the sake of gangster shows."
9.0,26 November 2022,"I don't think any other actor could have played this role. Sly is bigger than the small screen and he's given the best lines in this show. I only saw the 1st ep on YT, I don't have Paramount, but if there's more being released on YT I would definitely see it.

His supporting cast is no-name, I didn't recognize any other actors. And filming in Tulsa gives the show ""flavor"" vs filming on a backlot in Hollywood. I think Stallone has reached his peak with the Creed movies and this TV show. Age does him well. Glad he's away from those action movies, which I think he outgrew. This is the fit for him."
6.0,13 November 2022,"Exactly what you're looking. Tulsa King delivers. Stallone hits the mark with a brooding no nonsense performance that blends humor and violence to near perfection.

The classic fish out of water scenario is well played. And the first episode does a great job at setting up what looks like a stellar cast. Right from the start the plot begins to weave together. Frankly I was pleasantly surprised.

We'll see how the season unfolds but so far it's a great change of pace from some other series debuts lately. There's no cgi to be sure. Just great characters, authentic dialogue, a smart story, and a first class cast."
8.0,23 November 2022,"The writing is good - Stallone's narration is well written. He's also good in this role. The show moves along and is entertaining. Problem is you have to believe that in today's world, someone would just show up to a town like Tulsa, start knocking people around and making demands and people would just fall in line and not call the police.

In reality, every incident in this show where he knocks someone around and gets what he wants wouldn't happen. Ever. The person would simply call the police, they'd come, see that he did in fact commit an assault, that's he's an ex con recently released from prison and he'd be in jail waiting a new trial.

But in this fantasy world from 1960 (that takes place today) he just makes demands and people does what he wants.

If you can accept that, you can enjoy the show."
6.0,4 December 2022,"Likeable and relatively deep characters, plausible plot, tolerable pacing are the driving forces behind this show. Stallone is good being the main protagonist, but I like Andrea Savage and her character a lot, very nice performance. I respected a lot that Stallone is not trying to look younger when his character Dwight honestly mentions his age and how it could affect his relationships with younger woman.

Cinematography and music are nothing to write home about, both are good enough to help keep the show entertaining, but not really adding value and not standing out. My review make the show look pretty average, yet I'm rating it at 8/10 because it is a solid entertainer, not a TV/ Cinema masterpiece or tour de force."
