,Unnamed: 0,Rating,Review_Date,Review,Release_Date,Review_clean,Sentiment
0,0,9.0,3 December 2022,"I have loved Tulsa King so far. I actually love everything Taylor Sheridan does so I knew this would be no different. This is fun crime show that knows exactly what it wants to be and you can tell the cast, led by Sylvester Stallone, are all having a blast making this. It's about a New York mafia boss named Dwight ""The General"" Manfredi (Stallone) who is released from prison after 25 years. He thinks he coming out to a hero's welcome but gets sent to Tulsa to run things instead. After not feeling the love from his gang like he feels he should he starts to build his own in Tulsa. Some of it may come off as a little silly but overall it's a really good show that's definitely worth watching. It's obviously doing well because it's already been renewed for a second season which is great news!","November 13, 2022 (United States)",i have loved tulsa king so far i actually love everything taylor sheridan does so i knew this would be no different this is fun crime show that knows exactly what it wants to be and you can tell the cast led by sylvester stallone are all having a blast making this its about a new york mafia boss named dwight the general manfredi stallone who is released from prison after years he thinks he coming out to a heros welcome but gets sent to tulsa to run things instead after not feeling the love from his gang like he feels he should he starts to build his own in tulsa some of it may come off as a little silly but overall its a really good show thats definitely worth watching its obviously doing well because its already been renewed for a second season which is great news,POSITIVE
1,1,9.0,28 November 2022,"I figured this would be an entertaining show. We've grown accustomed to think that anything with Stallone in it nowadays would be a comedy, and Tulsa King does feature good amount of humor. But Taylor Sheridan isn't going to create a simple parody of a mob story and using Stallone as a joke and punchline.

The show has promising depth, despite the light-hearted premise of a former big shot mobster forced to make a new start in a new city after a long prison sentence. Some comedy ensues as a New York mobster finds his way around Tulsa to establish his turf using his ""old world"" ways.

Characters are genuinely likable across the board. While it's not unusual to root for a ""bad"" guy as the protagonist, his directness and old world commonsense values appeal to those of us looking for something refreshing amidst today's social nonsense. Irony in the message is that it takes a thug who bows down to no one to smash through and expose the shallow social hypocrisy. This is the same formula that made Yellowstone such a success, and Sheridan knows this is what so many of us want.

Stallone gives an excellent performance. Before he became a caricature from his later roles that drove Rocky and Rambo franchises into the ground, his acting and screen presence created those iconic roles. It's good to see him back on screen in a role that seems perfect for him, and leverage some of that cheeky persona to add depth to his character and the show, rather than undermine it.

Overall, highly entertaining show that I look forward to, and an excellent addition to Paramount+ portfolio.","November 13, 2022 (United States)",i figured this would be an entertaining show weve grown accustomed to think that anything with stallone in it nowadays would be a comedy and tulsa king does feature good amount of humor but taylor sheridan isnt going to create a simple parody of a mob story and using stallone as a joke and punchline the show has promising depth despite the lighthearted premise of a former big shot mobster forced to make a new start in a new city after a long prison sentence some comedy ensues as a new york mobster finds his way around tulsa to establish his turf using his old world ways characters are genuinely likable across the board while its not unusual to root for a bad guy as the protagonist his directness and old world commonsense values appeal to those of us looking for something refreshing amidst todays social nonsense irony in the message is that it takes a thug who bows down to no one to smash through and expose the shallow social hypocrisy this is the same formula that made yellowstone such a success and sheridan knows this is what so many of us want stallone gives an excellent performance before he became a caricature from his later roles that drove rocky and rambo franchises into the ground his acting and screen presence created those iconic roles its good to see him back on screen in a role that seems perfect for him and leverage some of that cheeky persona to add depth to his character and the show rather than undermine it overall highly entertaining show that i look forward to and an excellent addition to paramount portfolio,POSITIVE
2,2,9.0,21 November 2022,"Sylvester Stallone absolutely kills it in Tulsa King! For Stallone to do a tv show you knew it had to be a good script and of course it would be with Taylor Sheridan as the created. Sheridan continues to hit home run after home run. He is the best thing going on tv right now with incredible shows like Yellowstone, 1883, Mayor of Kingstown, etc. And movies like Sicario, Hell or High Water and Wind River. Everything he touches turns to gold. Also, one of the other writers is Terence Winter who wrote shows like The Sopranos & Boardwalk Empire. I mean come on? There was no way this show was going to be bad with those two at the helm. It has everything you want in a good show...drama, violence, comedy, etc. Stallone plays a very likable tough guy to perfection.","November 13, 2022 (United States)",sylvester stallone absolutely kills it in tulsa king for stallone to do a tv show you knew it had to be a good script and of course it would be with taylor sheridan as the created sheridan continues to hit home run after home run he is the best thing going on tv right now with incredible shows like yellowstone mayor of kingstown etc and movies like sicario hell or high water and wind river everything he touches turns to gold also one of the other writers is terence winter who wrote shows like the sopranos boardwalk empire i mean come on there was no way this show was going to be bad with those two at the helm it has everything you want in a good showdrama violence comedy etc stallone plays a very likable tough guy to perfection,POSITIVE
3,3,9.0,14 November 2022,"I watched this out of curiosity, no high expectations, I was just surprised to see Stallone in a tv series. You feel the tension in the scenes, it also feels fairly realistic as far as the plot would demand it. Wouldn't say it's humorous but a couple funny scenes as a result of Dwight (Stallone) coming out of 25yr prison sentence and not fully integrated into the way the world works now; so I'm assuming the abrupt transition will offer some interesting hiccups for him down the line for us. I'm glad someone told him how to use an Uber, it was funny while it lasted.

It's a pretty smart script but not in a forcefully witty way which bodes well. Of course Stallone is a huge presence but the rest of the cast seem pretty good.

The show literally feels like you took gangsters written for a movie from the early 90's and just threw them into 2022, makes for a good blend of humor and violence.

I thought it was just going to be a throwaway show as some of stallion's recent movies are; mostly just leaning on his name and performances but Taylor Sheridan does a good job here with writing worthy of Stallone's performances. I think it's gonna be fun to watch macho Stallone building a criminal empire from scratch, middle of nowhere Tulsa. I love how it has this western oater feel to it at times while still being mafia. I think the show could end up going under the radar, then get buzz later on with people asking how they never caught on to it earlier, because I haven't seen that much advertisement from Paramount.

I went in with no high expectations, but if the premier episode is anything to go by this could be a really fun watch. If it keeps on like this, great, if it gets better that'll be fantastic. I'll add a rating after more episodes release and update if anything changes drastically about the show.","November 13, 2022 (United States)",i watched this out of curiosity no high expectations i was just surprised to see stallone in a tv series you feel the tension in the scenes it also feels fairly realistic as far as the plot would demand it wouldnt say its humorous but a couple funny scenes as a result of dwight stallone coming out of yr prison sentence and not fully integrated into the way the world works now so im assuming the abrupt transition will offer some interesting hiccups for him down the line for us im glad someone told him how to use an uber it was funny while it lasted its a pretty smart script but not in a forcefully witty way which bodes well of course stallone is a huge presence but the rest of the cast seem pretty good the show literally feels like you took gangsters written for a movie from the early s and just threw them into makes for a good blend of humor and violence i thought it was just going to be a throwaway show as some of stallions recent movies are mostly just leaning on his name and performances but taylor sheridan does a good job here with writing worthy of stallones performances i think its gonna be fun to watch macho stallone building a criminal empire from scratch middle of nowhere tulsa i love how it has this western oater feel to it at times while still being mafia i think the show could end up going under the radar then get buzz later on with people asking how they never caught on to it earlier because i havent seen that much advertisement from paramount i went in with no high expectations but if the premier episode is anything to go by this could be a really fun watch if it keeps on like this great if it gets better thatll be fantastic ill add a rating after more episodes release and update if anything changes drastically about the show,POSITIVE
4,4,8.0,28 December 2022,"I've always liked Stallone, over the years, yes he's sequel addicted but has made some really enjoyable films scattering a few classics along the way. In Tulsa King could very well be his best work just from a acting perspective, he's just stone cold nailing the role of a mafia capo. The series itself has a interesting story, it's well written taking full advantage of the humor of a New York mobster in Tulsa Oklahoma without becoming silly at all, throw in a healthy dose of violence, good writing and dialogue, and a great cast of supporting actors and characters and they have a winner. Fun to watch, well worth a look.","November 13, 2022 (United States)",ive always liked stallone over the years yes hes sequel addicted but has made some really enjoyable films scattering a few classics along the way in tulsa king could very well be his best work just from a acting perspective hes just stone cold nailing the role of a mafia capo the series itself has a interesting story its well written taking full advantage of the humor of a new york mobster in tulsa oklahoma without becoming silly at all throw in a healthy dose of violence good writing and dialogue and a great cast of supporting actors and characters and they have a winner fun to watch well worth a look,POSITIVE
5,5,9.0,20 November 2022,"Sylvester Stallone 's Rocky, old school, hard a$$ acting style fits this show perfectly. From narrating to cruising through Tulsa it just shows that this role is perfect for him. Also acting as a guy his age and style definitely helps to blend in perfectly. As for the show, the buil up in first two episode was great and moving pretty quickly. It will be interesting with coming towards the end of the season how good and how big twist they have prepared. In the meantime if you are Sly's fan you definitely have to give this show a chance, even if you're not, I would still recommend it for the sake of gangster shows.","November 13, 2022 (United States)",sylvester stallone s rocky old school hard a acting style fits this show perfectly from narrating to cruising through tulsa it just shows that this role is perfect for him also acting as a guy his age and style definitely helps to blend in perfectly as for the show the buil up in first two episode was great and moving pretty quickly it will be interesting with coming towards the end of the season how good and how big twist they have prepared in the meantime if you are slys fan you definitely have to give this show a chance even if youre not i would still recommend it for the sake of gangster shows,POSITIVE
6,6,9.0,26 November 2022,"I don't think any other actor could have played this role. Sly is bigger than the small screen and he's given the best lines in this show. I only saw the 1st ep on YT, I don't have Paramount, but if there's more being released on YT I would definitely see it.

His supporting cast is no-name, I didn't recognize any other actors. And filming in Tulsa gives the show ""flavor"" vs filming on a backlot in Hollywood. I think Stallone has reached his peak with the Creed movies and this TV show. Age does him well. Glad he's away from those action movies, which I think he outgrew. This is the fit for him.","November 13, 2022 (United States)",i dont think any other actor could have played this role sly is bigger than the small screen and hes given the best lines in this show i only saw the st ep on yt i dont have paramount but if theres more being released on yt i would definitely see it his supporting cast is noname i didnt recognize any other actors and filming in tulsa gives the show flavor vs filming on a backlot in hollywood i think stallone has reached his peak with the creed movies and this tv show age does him well glad hes away from those action movies which i think he outgrew this is the fit for him,POSITIVE
7,7,6.0,13 November 2022,"Exactly what you're looking. Tulsa King delivers. Stallone hits the mark with a brooding no nonsense performance that blends humor and violence to near perfection.

The classic fish out of water scenario is well played. And the first episode does a great job at setting up what looks like a stellar cast. Right from the start the plot begins to weave together. Frankly I was pleasantly surprised.

We'll see how the season unfolds but so far it's a great change of pace from some other series debuts lately. There's no cgi to be sure. Just great characters, authentic dialogue, a smart story, and a first class cast.","November 13, 2022 (United States)",exactly what youre looking tulsa king delivers stallone hits the mark with a brooding no nonsense performance that blends humor and violence to near perfection the classic fish out of water scenario is well played and the first episode does a great job at setting up what looks like a stellar cast right from the start the plot begins to weave together frankly i was pleasantly surprised well see how the season unfolds but so far its a great change of pace from some other series debuts lately theres no cgi to be sure just great characters authentic dialogue a smart story and a first class cast,POSITIVE
8,8,8.0,23 November 2022,"The writing is good - Stallone's narration is well written. He's also good in this role. The show moves along and is entertaining. Problem is you have to believe that in today's world, someone would just show up to a town like Tulsa, start knocking people around and making demands and people would just fall in line and not call the police.

In reality, every incident in this show where he knocks someone around and gets what he wants wouldn't happen. Ever. The person would simply call the police, they'd come, see that he did in fact commit an assault, that's he's an ex con recently released from prison and he'd be in jail waiting a new trial.

But in this fantasy world from 1960 (that takes place today) he just makes demands and people does what he wants.

If you can accept that, you can enjoy the show.","November 13, 2022 (United States)",the writing is good stallones narration is well written hes also good in this role the show moves along and is entertaining problem is you have to believe that in todays world someone would just show up to a town like tulsa start knocking people around and making demands and people would just fall in line and not call the police in reality every incident in this show where he knocks someone around and gets what he wants wouldnt happen ever the person would simply call the police theyd come see that he did in fact commit an assault thats hes an ex con recently released from prison and hed be in jail waiting a new trial but in this fantasy world from that takes place today he just makes demands and people does what he wants if you can accept that you can enjoy the show,POSITIVE
9,9,6.0,4 December 2022,"Likeable and relatively deep characters, plausible plot, tolerable pacing are the driving forces behind this show. Stallone is good being the main protagonist, but I like Andrea Savage and her character a lot, very nice performance. I respected a lot that Stallone is not trying to look younger when his character Dwight honestly mentions his age and how it could affect his relationships with younger woman.

Cinematography and music are nothing to write home about, both are good enough to help keep the show entertaining, but not really adding value and not standing out. My review make the show look pretty average, yet I'm rating it at 8/10 because it is a solid entertainer, not a TV/ Cinema masterpiece or tour de force.","November 13, 2022 (United States)",likeable and relatively deep characters plausible plot tolerable pacing are the driving forces behind this show stallone is good being the main protagonist but i like andrea savage and her character a lot very nice performance i respected a lot that stallone is not trying to look younger when his character dwight honestly mentions his age and how it could affect his relationships with younger woman cinematography and music are nothing to write home about both are good enough to help keep the show entertaining but not really adding value and not standing out my review make the show look pretty average yet im rating it at because it is a solid entertainer not a tv cinema masterpiece or tour de force,POSITIVE
10,10,8.0,29 September 2024,"The first season was great, entertaining, fresh. Sure, some things were far-fetched, but okay I'll play ball - Sly cracks a joke here there, so all forgiven and forgotten.

The second season is hard to believe (even more so), full of family/girlfriend drama, and I just cannot help it bt laugh at their supposed toughness. I guess Sheridan was busy with other projects, lol.

Also, what is wrong with the wardrobe? They wear ridiculously silly suits and yet carry themselves like kings. Please, someone from Tulsa tell me this isn't how you dress over there:)

Don't get me wrong. This isn't your Netflix BS, it is entertaining. But it has flaws.","November 13, 2022 (United States)",the first season was great entertaining fresh sure some things were farfetched but okay ill play ball sly cracks a joke here there so all forgiven and forgotten the second season is hard to believe even more so full of familygirlfriend drama and i just cannot help it bt laugh at their supposed toughness i guess sheridan was busy with other projects lol also what is wrong with the wardrobe they wear ridiculously silly suits and yet carry themselves like kings please someone from tulsa tell me this isnt how you dress over there dont get me wrong this isnt your netflix bs it is entertaining but it has flaws,NEGATIVE
11,11,7.0,14 November 2022,"I really like this show . It's a bit unbelievable but mostly entertaining . The humour Stallone brings to the character ( of the writers ) evens out the bits that are absurd.

Stallone brings a nuanced performance of a recently released from prison monster. Who is given the opportunity to move to a south western state and earn for the bosses back home .

He makes the best of a situation he rather not be in .

A fish out of water no . A shark in a different ocean maybe more like it .

This looks like it's going to be a fantastic addition to a historical and legendary career of one of hollywoods greatest box office draws of all time .

Stallone is in his element and he delivers the goods .","November 13, 2022 (United States)",i really like this show its a bit unbelievable but mostly entertaining the humour stallone brings to the character of the writers evens out the bits that are absurd stallone brings a nuanced performance of a recently released from prison monster who is given the opportunity to move to a south western state and earn for the bosses back home he makes the best of a situation he rather not be in a fish out of water no a shark in a different ocean maybe more like it this looks like its going to be a fantastic addition to a historical and legendary career of one of hollywoods greatest box office draws of all time stallone is in his element and he delivers the goods,POSITIVE
12,12,1.0,23 May 2023,"The series is off to a great start! At least I had to grin a lot during the first episode, because I found the realization good. Sylvester Stallone as Kapo is excellent, the role fits him perfectly. You can say that the series is not the reinvention of the wheel, but you have from episode to episode desire to look further. Not many series manage to do that in this day and age. Apart from Stallone, the other actors are also well cast. The acting level varies a lot, but that's not too bad. It is not a documentary 😉. Only the end of the season was a bit disappointing for me, I expected a bigger bang. Nevertheless, I look forward to the future seasons 🤗. I can recommend the series with a clear conscience, even if it gets ""only"" 7/10⭐ from me.

Overview of the individual episode rating: Episode 1 = 9/10⭐ Episode 2 = 7/10⭐ Episode 3 = 7/10⭐ Episode 4 = 7/10⭐ Episode 5 = 7/10⭐ Episode 6 = 7/10⭐ Episode 7 = 6/10⭐ Episode 8 = 7/10⭐ Episode 9 = 7/10⭐","November 13, 2022 (United States)",the series is off to a great start at least i had to grin a lot during the first episode because i found the realization good sylvester stallone as kapo is excellent the role fits him perfectly you can say that the series is not the reinvention of the wheel but you have from episode to episode desire to look further not many series manage to do that in this day and age apart from stallone the other actors are also well cast the acting level varies a lot but thats not too bad it is not a documentary only the end of the season was a bit disappointing for me i expected a bigger bang nevertheless i look forward to the future seasons i can recommend the series with a clear conscience even if it gets only from me overview of the individual episode rating episode episode episode episode episode episode episode episode episode,POSITIVE
13,13,9.0,4 May 2024,"I'm a big fan of mafia shows/movies and after watching Sopranos for the third or fourth time, I looked for something somewhat similar and was suggested Tulsa King by Google and many positive reviews.

Stallone is not believable as a mob boss and the general vibe of the show feels cheesy. The first episode also makes it clear that being ""inclusive"" was one of their main concerns when making the show, rather than being realistic. I found this to be a huge turn-off and after things got even more unrealistic in the second episode, I turned it off.

If you like mafia shows and movies that have a realistic feel to them, this show isn't for you.","November 13, 2022 (United States)",im a big fan of mafia showsmovies and after watching sopranos for the third or fourth time i looked for something somewhat similar and was suggested tulsa king by google and many positive reviews stallone is not believable as a mob boss and the general vibe of the show feels cheesy the first episode also makes it clear that being inclusive was one of their main concerns when making the show rather than being realistic i found this to be a huge turnoff and after things got even more unrealistic in the second episode i turned it off if you like mafia shows and movies that have a realistic feel to them this show isnt for you,NEGATIVE
14,14,9.0,13 November 2022,"I didn't know anything about this. I found out by accident. Look, I am a Stallone fan. Have been since Rocky, Rambo, Cobra. Even M. A. S. H. (1970...yeah I'm dated now). Stallone, in my eyes, deserves the upmost respect for his craft. When I was a kid he was a talking point for humor from my peers. Fast forward to today, this man has weathered the hollywierd storm. He has outlasted his peers and become something so much more. Ahnold? Willis? This man is a gem. Imagine, 75 and going strong. Great actor, good eye for a dying business and very, very good start to his first adventure into streaming tv. I take me hat off for you sir.","November 13, 2022 (United States)",i didnt know anything about this i found out by accident look i am a stallone fan have been since rocky rambo cobra even m a s h yeah im dated now stallone in my eyes deserves the upmost respect for his craft when i was a kid he was a talking point for humor from my peers fast forward to today this man has weathered the hollywierd storm he has outlasted his peers and become something so much more ahnold willis this man is a gem imagine and going strong great actor good eye for a dying business and very very good start to his first adventure into streaming tv i take me hat off for you sir,POSITIVE
