,Unnamed: 0,Rating,Review_Date,Review,Release_Date,Review_clean,Sentiment
0,0,9.0,25-Jul-24,"Hugh Jackman is the perfect Wolverine. What a fun movie. I like the dialogue and clever quips with f bombs sprinkled in. It's definitely not taking itself too seriously. There is tons of fun cameos I didn't expect! I normally watch spoiler videos ahead of time, but I didn't on this occasion and I'm glad I didn't because there was some oh snap moments! It's a very good action packed fun film. The breaking the Fox jokes and speaking to the camera jokes are too funny. I can definitely see more sequels for these two on the horizon. They are promoting this movie hard I just watched these two on Hot Ones eating chicken wings They make a dynamic duo. Until your 90 Wolverine ...until your 90 lol.","July 26, 2024 (United States)",hugh jackman is the perfect wolverine what a fun movie i like the dialogue and clever quips with f bombs sprinkled in its definitely not taking itself too seriously there is tons of fun cameos i didnt expect i normally watch spoiler videos ahead of time but i didnt on this occasion and im glad i didnt because there was some oh snap moments its a very good action packed fun film the breaking the fox jokes and speaking to the camera jokes are too funny i can definitely see more sequels for these two on the horizon they are promoting this movie hard i just watched these two on hot ones eating chicken wings they make a dynamic duo until your wolverine until your lol,POSITIVE
1,1,9.0,24-Jul-24,"What a crazy blast ! Bonkers !!Sooo !... What I can say about this movie is that they (the whole team behind the movie) never hesitated a second to go all in, with everything they have in stores, throwing the kitchen sink in there and everything else.What's to love is how highly satisfying the movie is from the very first to the very last second, when it comes to all the little (or not so little) winks at the audience, especially if you connect with the characters and their previous iterations...But what you can really appreciate and which makes the entire movie (and scenes / story bits) more enjoyable is the whole emotional layer of it and really fun connections that occur (the come-back or introduction of various characters was so well done and really great to see) ...These guys clearly know what they are doing.Between the one-liners and the endless flow of jokes... The chemistry between Ryan Reynolds and Hugh Jackman knocks it out of the park !It is so overflowingly cray-cray and the frame is oh so overfilled with stuffs...Oh, and the tone of the movie is something else !The intro sequence is a masterpiece... The ""corridor"" type of fight scene (that's in fact in a street) around the end the movie, it's just...a banquet of madness.Plus, the soundtrack is -like in the previous movies- super satisfying.I am quite excited for what there is to come next in the MCU and for these characters we've seen in this movie...","July 26, 2024 (United States)",what a crazy blast bonkers sooo what i can say about this movie is that they the whole team behind the movie never hesitated a second to go all in with everything they have in stores throwing the kitchen sink in there and everything elsewhats to love is how highly satisfying the movie is from the very first to the very last second when it comes to all the little or not so little winks at the audience especially if you connect with the characters and their previous iterationsbut what you can really appreciate and which makes the entire movie and scenes story bits more enjoyable is the whole emotional layer of it and really fun connections that occur the comeback or introduction of various characters was so well done and really great to see these guys clearly know what they are doingbetween the oneliners and the endless flow of jokes the chemistry between ryan reynolds and hugh jackman knocks it out of the park it is so overflowingly craycray and the frame is oh so overfilled with stuffsoh and the tone of the movie is something else the intro sequence is a masterpiece the corridor type of fight scene thats in fact in a street around the end the movie its justa banquet of madnessplus the soundtrack is like in the previous movies super satisfyingi am quite excited for what there is to come next in the mcu and for these characters weve seen in this movie,POSITIVE
2,2,8.0,24-Jul-24,"We've waited so long for this moment, and it was beyond fun, wholesome, full of surprises, emotional and epic! Ryan Reynolds, Hugh Jackman and Shawn Levy pour out their hearts for this movie to be what is it.It's beyond the MCU timeline, it's beyond even FOX's ""X-Men"" movies. It's about all the kids who grew up with these movies and these characters. The kids, who are now adults, but still love every bit of it.You know it's going to be fun with these two, but man... I laughed so hard, even my stomach was feeling it. And the jokes... be sure this is not Deadpool watered down in the MCU, it's Deadpool at its best. The inevitable bromance unveiled before our eyes. The story is fine, nothing special, but you feel it, and knowing the past knowledge about these characters and their respective universes makes everything hit the emotions.What about the cameos, you'd ask, I guess? Well, we already know about a bunch of them, but be sure, there's a bunch more and even the ones we already knew are more than what meets the eye.Emma Corrin as the villain Cassandra Nova is such a good addition to the movie and to the MCU as a whole. She is smart, strong, cold-blooded and also makes fun of our two leads.The action and the visuals are beyond amazing. There are some really, really creative scenes, where adamantium swords and claws create such a mayhem, that makes everything so bloody!The music choice is great and fun, at times could crack you so much. The opening scene is pure gold!Can't praise the movie enough, but ""Deadpool & Wolverine"" is definitely in my top 5 cinema experiences, and you can easily guess the other ones. The whole theater was laughing, cheering and sobbing like a one person. What more could you ask for? Also, the movie got such a rewatchability factor, the length is perfect and be sure it will make tons of money! You can't possibly catch all the details in the first viewing for sure, but you will want to, so you'll go again and again... and again.What about the credit scene, you might ask? I kind of don't want to say anything about it because I don't want to spoil even the possible direction your thought is taking. Just stay for it, also during the credits there is something really beautiful. It's nowhere near ""fun filler"", it's not ""Infinity War"" level too, but it's a great movie, and it's one of MCU's finest!","July 26, 2024 (United States)",weve waited so long for this moment and it was beyond fun wholesome full of surprises emotional and epic ryan reynolds hugh jackman and shawn levy pour out their hearts for this movie to be what is itits beyond the mcu timeline its beyond even foxs xmen movies its about all the kids who grew up with these movies and these characters the kids who are now adults but still love every bit of ityou know its going to be fun with these two but man i laughed so hard even my stomach was feeling it and the jokes be sure this is not deadpool watered down in the mcu its deadpool at its best the inevitable bromance unveiled before our eyes the story is fine nothing special but you feel it and knowing the past knowledge about these characters and their respective universes makes everything hit the emotionswhat about the cameos youd ask i guess well we already know about a bunch of them but be sure theres a bunch more and even the ones we already knew are more than what meets the eyeemma corrin as the villain cassandra nova is such a good addition to the movie and to the mcu as a whole she is smart strong coldblooded and also makes fun of our two leadsthe action and the visuals are beyond amazing there are some really really creative scenes where adamantium swords and claws create such a mayhem that makes everything so bloodythe music choice is great and fun at times could crack you so much the opening scene is pure goldcant praise the movie enough but deadpool wolverine is definitely in my top cinema experiences and you can easily guess the other ones the whole theater was laughing cheering and sobbing like a one person what more could you ask for also the movie got such a rewatchability factor the length is perfect and be sure it will make tons of money you cant possibly catch all the details in the first viewing for sure but you will want to so youll go again and again and againwhat about the credit scene you might ask i kind of dont want to say anything about it because i dont want to spoil even the possible direction your thought is taking just stay for it also during the credits there is something really beautiful its nowhere near fun filler its not infinity war level too but its a great movie and its one of mcus finest,POSITIVE
3,3,1.0,24-Jul-24,"So many Easter Eggs, so true to the comic characters, and may have possibly single handedly saved the MCU. Everything you'd expect from a deadpool movie plus. Haven't left a theatre so buzzy in a very long time. Rips to shreds the tedium of the last 5 years of the MCU and makes you think there may be life after Endgame after all. Cinematic feel was great, amazing soundtrack and I'll probably go back again over the weekend to watch again. So lucky in NZ to get these preview nights w to 3 days before the rest of the world see them. God bless you Mr's Levy, Reynolds and Jackman, a laugh a minute ride!","July 26, 2024 (United States)",so many easter eggs so true to the comic characters and may have possibly single handedly saved the mcu everything youd expect from a deadpool movie plus havent left a theatre so buzzy in a very long time rips to shreds the tedium of the last years of the mcu and makes you think there may be life after endgame after all cinematic feel was great amazing soundtrack and ill probably go back again over the weekend to watch again so lucky in nz to get these preview nights w to days before the rest of the world see them god bless you mrs levy reynolds and jackman a laugh a minute ride,POSITIVE
4,4,9.0,26-Jul-24,"I read an IGN review where the guy gave it a 7 because the story was poor.The guy really needs to read the room.You do not go to see Deadpool for a great, in-depth story which will make you think.You go to see Deadpool for fun, for obscene fight scenes, great jokes, bad jokes... Ridiculous deaths, sarcasms, obnoxious non PC comments and most importantly the most amazing music which brings it all together.And Deapool and Wolverine has that on every possible way.If you want to see this film, go to the cinema, don't wait for TV because you will miss one of the biggest and best watches to ever hit the big screen.","July 26, 2024 (United States)",i read an ign review where the guy gave it a because the story was poorthe guy really needs to read the roomyou do not go to see deadpool for a great indepth story which will make you thinkyou go to see deadpool for fun for obscene fight scenes great jokes bad jokes ridiculous deaths sarcasms obnoxious non pc comments and most importantly the most amazing music which brings it all togetherand deapool and wolverine has that on every possible wayif you want to see this film go to the cinema dont wait for tv because you will miss one of the biggest and best watches to ever hit the big screen,POSITIVE
5,5,9.0,24-Jul-24,"Went to an early midnight screening in a packed Imax. The whole theater was laughing and cheering throughout the movie. The story can be a little confusing, but it was fun all the way, I didn't feel bored even for a second. The action was very bloody and goofy, the jokes were hardcore and the movie is very meta. The one thing I especially liked is that there are actually emotional scene that aren't actually undercut with jokes, a thing that a lot of newer MCU movies tend to do. But this is still more of a Fox than a MCU movie. If you liked previous Deadpool movies you'll like this one too. Hugh Jackman is amazing as Wolverine and the cameos are really something special, especially because they're usually more that just that.It's a fan service, but who cares - it's a entertaining fun summer blockbuster that gives you what you've paid for.","July 26, 2024 (United States)",went to an early midnight screening in a packed imax the whole theater was laughing and cheering throughout the movie the story can be a little confusing but it was fun all the way i didnt feel bored even for a second the action was very bloody and goofy the jokes were hardcore and the movie is very meta the one thing i especially liked is that there are actually emotional scene that arent actually undercut with jokes a thing that a lot of newer mcu movies tend to do but this is still more of a fox than a mcu movie if you liked previous deadpool movies youll like this one too hugh jackman is amazing as wolverine and the cameos are really something special especially because theyre usually more that just thatits a fan service but who cares its a entertaining fun summer blockbuster that gives you what youve paid for,POSITIVE
7,7,9.0,24-Jul-24,"I saw this at an early fan screening and it was pure cinematic candy. I'm confident that it's the best movie of the summer!The whole audience was constantly either laughing, cheering or clapping. The jokes were hilarious and the cameos were amazing (and so many of them!). I won't spoil anything, but there were multiple cameos by characters you'll never see in any other movie, and I loved them. Fans of comic book movies will have a field day with all the references.It might be recency bias, but it's probably my favourite Deadpool movie (and I loved the first two). They definitely knew what the fans wanted (and what they didn't know they wanted) and gave it to them. Another hit from Shawn Levy.","July 26, 2024 (United States)",i saw this at an early fan screening and it was pure cinematic candy im confident that its the best movie of the summerthe whole audience was constantly either laughing cheering or clapping the jokes were hilarious and the cameos were amazing and so many of them i wont spoil anything but there were multiple cameos by characters youll never see in any other movie and i loved them fans of comic book movies will have a field day with all the referencesit might be recency bias but its probably my favourite deadpool movie and i loved the first two they definitely knew what the fans wanted and what they didnt know they wanted and gave it to them another hit from shawn levy,POSITIVE
10,10,5.0,23-Sep-24,"I should have known this would be a disappointment. I was too excited by the prospect of Jackman returning and the relatively high rating. But I didn't like Deadpool 2 much and Deadpool & Wolverine continues with a similar tone and even worse weaknesses.This is clearly not a serious movie. I get that. But that comes with a trade-off. By being less serious, Deadpool 3 has more freedom to do whatever crazy, silly, ""offensive"", incongruous stuff the filmmakers want to. But that also sets the bar higher. If you can do anything, you better do some cool things. If you're gonna go crazy, you better go full crazy. But this movie really feels lazy, uninspired and as if it's pulling its punches.Reynolds and Jackman are likeable in the main roles, but they don't have much to do. They're both practically immortal and end up shooting and stabbing each-other hundreds of times. It gets old quickly. And it has no weight or implications. The actors were able to milk many of the lines, so I did laugh at times, but it leaves an empty feeling afterwards. Contrast that with Infinity War where the comedy has more weight because of the desperation of the situation. The comedy truly is relief, but in a comedy movie, jokes need to be bigger, better or more varied.A movie is only as good as its villain and Deadpool 3's villain is awful. Some bald lady doing a performance which would feel below average at a high school play. She has zero charisma or presence. Just this lame intense eye thing and waving her hands around. Her powers seem to be arbitrary and she doesn't consistently use them. Her motivation is also unclear and uninteresting. No idea why they got this actress.The cameos were mildly exciting at first but largely turn out to be gimmicky. Many characters are brought back only to do absolutely nothing at all. I'm reminded of Sheeva in Mortal Kombat: Annihilation. Sure, you get your cheap laugh, but then what? Several characters are killed unceremoniously with no real wit, shock or meaning. Compared to what could have been done, it's really lazy and disappointing. It feels like Family Guy flashbacks - cheap jokes and nothing more.Of all the worlds in the MCU, this movie seems to build on the world of the Loki TV show more than anything else. A show with no consistent rules and several mediocre actors. Again, of all the things you could do, given such freedom, this is super lame. It feels like they knew they needed time travel and/or multiverse shenanigans to make the plot work and so chose Loki for that reason. Again, it's just lazy - a choice made for convenience rather than passion or potential.There is a relatively serious subplot concerning Wolverine but it seems like things were cut out - we never seem to learn the key facts or context. I thought at least there might be some gravitas or insight with that part of the movie, but it led nowhere.Reynolds is pretty good at breaking the 4th wall, but that's not enough to save an otherwise weak movie. And just because you joke about X, doesn't mean you can get away with X, whatever X might be. For example, sloppy multiverse shenanigans. Oh, we're joking about it too, so that means it's okay. Not really.Channing Tatum was completely miscast in his role. His accent wasn't too bad, but he's way too bulky and just not a good actor overall and not for comedy. One cameo was pretty cool, including his grey streaks of hair, even though I haven't seen any of his movies. Others felt ironic, like look at this obscure character you'd probably forgotten about. Maybe it's a bit nostalgic, but there's a reason certain movies and characters were unpopular.Every step of the way, the movie goes for the obvious, easy, dumb joke, rather than anything risky or more deeply creative. For example, part of the movie clearly evokes Mad Max, which got me a bit excited. Are we gonna get some over-the-top Mad Max style action? What other movies will this pay homage to? But no. It does nothing with it. Here's a character with some history. But let's not delve into that or pay anything off, let's just kill them.Aside from anything else, the filmmaking itself is mediocre. The action is generic, the comedy is generic, several actors are below average, if that. There's too much slow motion which makes boring scenes even more so. Reynolds and Jackman deserve better.And the violence, while generally inoffensive, is nevertheless gratuitous and mean-spirited. At times, it seems the movie has nothing to offer BUT violence, and not very stylised violence at that. Just the same things again and again, done far more effectively in other movies, in terms of VFX, choreography, stakes, style, etc.It's also disappointing to see some characters from the first movie do nothing at all. What's the point? The first one was better and the sequels have gone the wrong way. Nolan's Batman trilogy is funnier while also vastly more original, masterful, challenging and dark. The best MCU movies have much better action, acting and humour. I could've easily skipped this one in hindsight...","July 26, 2024 (United States)",i should have known this would be a disappointment i was too excited by the prospect of jackman returning and the relatively high rating but i didnt like deadpool much and deadpool wolverine continues with a similar tone and even worse weaknessesthis is clearly not a serious movie i get that but that comes with a tradeoff by being less serious deadpool has more freedom to do whatever crazy silly offensive incongruous stuff the filmmakers want to but that also sets the bar higher if you can do anything you better do some cool things if youre gonna go crazy you better go full crazy but this movie really feels lazy uninspired and as if its pulling its punchesreynolds and jackman are likeable in the main roles but they dont have much to do theyre both practically immortal and end up shooting and stabbing eachother hundreds of times it gets old quickly and it has no weight or implications the actors were able to milk many of the lines so i did laugh at times but it leaves an empty feeling afterwards contrast that with infinity war where the comedy has more weight because of the desperation of the situation the comedy truly is relief but in a comedy movie jokes need to be bigger better or more varieda movie is only as good as its villain and deadpool s villain is awful some bald lady doing a performance which would feel below average at a high school play she has zero charisma or presence just this lame intense eye thing and waving her hands around her powers seem to be arbitrary and she doesnt consistently use them her motivation is also unclear and uninteresting no idea why they got this actressthe cameos were mildly exciting at first but largely turn out to be gimmicky many characters are brought back only to do absolutely nothing at all im reminded of sheeva in mortal kombat annihilation sure you get your cheap laugh but then what several characters are killed unceremoniously with no real wit shock or meaning compared to what could have been done its really lazy and disappointing it feels like family guy flashbacks cheap jokes and nothing moreof all the worlds in the mcu this movie seems to build on the world of the loki tv show more than anything else a show with no consistent rules and several mediocre actors again of all the things you could do given such freedom this is super lame it feels like they knew they needed time travel andor multiverse shenanigans to make the plot work and so chose loki for that reason again its just lazy a choice made for convenience rather than passion or potentialthere is a relatively serious subplot concerning wolverine but it seems like things were cut out we never seem to learn the key facts or context i thought at least there might be some gravitas or insight with that part of the movie but it led nowherereynolds is pretty good at breaking the th wall but thats not enough to save an otherwise weak movie and just because you joke about x doesnt mean you can get away with x whatever x might be for example sloppy multiverse shenanigans oh were joking about it too so that means its okay not reallychanning tatum was completely miscast in his role his accent wasnt too bad but hes way too bulky and just not a good actor overall and not for comedy one cameo was pretty cool including his grey streaks of hair even though i havent seen any of his movies others felt ironic like look at this obscure character youd probably forgotten about maybe its a bit nostalgic but theres a reason certain movies and characters were unpopularevery step of the way the movie goes for the obvious easy dumb joke rather than anything risky or more deeply creative for example part of the movie clearly evokes mad max which got me a bit excited are we gonna get some overthetop mad max style action what other movies will this pay homage to but no it does nothing with it heres a character with some history but lets not delve into that or pay anything off lets just kill themaside from anything else the filmmaking itself is mediocre the action is generic the comedy is generic several actors are below average if that theres too much slow motion which makes boring scenes even more so reynolds and jackman deserve betterand the violence while generally inoffensive is nevertheless gratuitous and meanspirited at times it seems the movie has nothing to offer but violence and not very stylised violence at that just the same things again and again done far more effectively in other movies in terms of vfx choreography stakes style etcits also disappointing to see some characters from the first movie do nothing at all whats the point the first one was better and the sequels have gone the wrong way nolans batman trilogy is funnier while also vastly more original masterful challenging and dark the best mcu movies have much better action acting and humour i couldve easily skipped this one in hindsight,NEGATIVE
11,11,8.0,24-Jul-24,"So that was a trip. I really enjoyed that film, and think both casual and hardcore fans will be pleased. Not perfect, but still pretty darn entertaining. There's a temptation lately for films that aren't perfect to be seen as a disappointment, and I hope that isn't the case here.The Deadpool and Wolverine team up has been teased since 2009's disaster X-Men Origins: Wolverine movie. The film aims to strike a balance between being accessible to casual viewers while also satisfying die-hard fans of the characters.However, the film also faces the challenge of navigating the complex and intricate web of continuity that exists within the Marvel universe. With close to 50 (!) films in its continuity (not including the TV shows and Sony's films), the Deadpool and Wolverine movie needed to carefully thread the needle to ensure that it honors the established lore while also delivering a fresh and engaging story.Despite the potential baggage of its expansive continuity, the Deadpool and Wolverine works as a standalone.","July 26, 2024 (United States)",so that was a trip i really enjoyed that film and think both casual and hardcore fans will be pleased not perfect but still pretty darn entertaining theres a temptation lately for films that arent perfect to be seen as a disappointment and i hope that isnt the case herethe deadpool and wolverine team up has been teased since s disaster xmen origins wolverine movie the film aims to strike a balance between being accessible to casual viewers while also satisfying diehard fans of the charactershowever the film also faces the challenge of navigating the complex and intricate web of continuity that exists within the marvel universe with close to films in its continuity not including the tv shows and sonys films the deadpool and wolverine movie needed to carefully thread the needle to ensure that it honors the established lore while also delivering a fresh and engaging storydespite the potential baggage of its expansive continuity the deadpool and wolverine works as a standalone,POSITIVE
12,12,8.0,24-Jul-24,"My first review.I'm not a huge Marvel fan, but I've watched all Deadpool and loved them.Don't know what it is about this one but I've found it hilarious, and it would seem that whole theatre did as well. All jokes are spot on, acting is awesome (with few exceptions), action is great - all in all a movie I would recommend to anyone who can stomach a bit of adult (and childish) humour and gore.Story is OK, nothing special, but execution makes up for it. Cameos are, as far as I'm concerned, awesome as well.And one more thing - pacing is also spot on - 2 hours flew by.I'll keep it short - just go and watch it!","July 26, 2024 (United States)",my first reviewim not a huge marvel fan but ive watched all deadpool and loved themdont know what it is about this one but ive found it hilarious and it would seem that whole theatre did as well all jokes are spot on acting is awesome with few exceptions action is great all in all a movie i would recommend to anyone who can stomach a bit of adult and childish humour and gorestory is ok nothing special but execution makes up for it cameos are as far as im concerned awesome as welland one more thing pacing is also spot on hours flew byill keep it short just go and watch it,POSITIVE
