,Unnamed: 0,Rating,Review_Date,Review,Release_Date,Review_clean,Sentiment
1,1,10.0,14 November 2020,"Thanks to the quarantine, I watched series that I never imagined I would ever see, one of these series Dexter, which I heard had a bad ending, so I decided not to watch it, what a nonsense I missed myself watching one of the best series ever. Dexter has eight seasons and a renewed new season to fix the poor ending and everyone's excited about it. All seasons are excellent, from the first to the seventh, with the exception of the last. You evaluate each season as follows. First 9.7 Second 9.6 Third 8.7 Fourth 9.9 Fifth 9.0 The sixth 8.9 Seventh 9.0 The ex Final season 7.0 Waiting for the new season","October 1, 2006 (United States)",thanks to the quarantine i watched series that i never imagined i would ever see one of these series dexter which i heard had a bad ending so i decided not to watch it what a nonsense i missed myself watching one of the best series ever dexter has eight seasons and a renewed new season to fix the poor ending and everyones excited about it all seasons are excellent from the first to the seventh with the exception of the last you evaluate each season as follows first second third fourth fifth the sixth seventh the ex final season waiting for the new season,POSITIVE
2,2,10.0,30 October 2006,"Dexter is the show I have been waiting for my whole television watching life! The complex and damaged characters, the twisted plot line and Dexter's foster dad grooming him, educating him, to make him the perfect avenger,its all so intoxicating! I am breathlessly anticipating the next episode. This show is not only well acted, with each and every main character holding my full attention, but written with such deep intensity that I find it absolutely irresistible! I really find it difficult to wait and see more of how Dex was traumatized as a child, more of Harry's lessons, more of the growing relationship with Rita, more of the ice truck killer, more forensics...More of this great show period. Kudos to all involved...this show will surely be a huge hit!","October 1, 2006 (United States)",dexter is the show i have been waiting for my whole television watching life the complex and damaged characters the twisted plot line and dexters foster dad grooming him educating him to make him the perfect avengerits all so intoxicating i am breathlessly anticipating the next episode this show is not only well acted with each and every main character holding my full attention but written with such deep intensity that i find it absolutely irresistible i really find it difficult to wait and see more of how dex was traumatized as a child more of harrys lessons more of the growing relationship with rita more of the ice truck killer more forensicsmore of this great show period kudos to all involvedthis show will surely be a huge hit,POSITIVE
3,3,10.0,1 October 2006,"I read Lindsay's excellent books - Darkly Dreaming Dexter and Dearly Devoted Dexter - some time ago, and when I heard that there was to be a series based on the books, I was extremely excited. So much so, in fact, that I feared disappointment merely because my standards were so high.

Thankfully, ""Dexter"" absolutely delivers. The show maintains the uncomfortable atmosphere of the novels with better fidelity than one could ever have expected, and Dexter (played by Hall) is all there.

The visual elements from the show are stunning, to say the least. Disturbing, certainly, but more than that - fascinating. Watching the show, it's impossible to keep from finding a certain agreement in oneself for Dexter. He's a monster, and yet it's completely possible to identify with him.

10 out of 10. This one has a permanent spot on my DVR.","October 1, 2006 (United States)",i read lindsays excellent books darkly dreaming dexter and dearly devoted dexter some time ago and when i heard that there was to be a series based on the books i was extremely excited so much so in fact that i feared disappointment merely because my standards were so high thankfully dexter absolutely delivers the show maintains the uncomfortable atmosphere of the novels with better fidelity than one could ever have expected and dexter played by hall is all there the visual elements from the show are stunning to say the least disturbing certainly but more than that fascinating watching the show its impossible to keep from finding a certain agreement in oneself for dexter hes a monster and yet its completely possible to identify with him out of this one has a permanent spot on my dvr,POSITIVE
4,4,10.0,29 August 2023,"Dexter is absolutely, without a doubt, one of the best shows ever created! It follows Miami PD blood splatter expert Dexter Morgan (Michael C. Hall) as he both solves murders and commits them too. He only murders bad people who've gotten away from the law. Being a blood expert he's able to outmaneuver the police at every turn. It's a thrilling, one of a kind TV show that will keep you at the edge of your seat throughout the entire series. Michael C. Hall is perfect as Dexter and the rest of the supporting cast is just as fantastic! Yes, the ending was terrible but like Game of Thrones, Lost (or any other show with a bad final episode), a few bad episodes at the end doesn't spoil what an overall great show it was and that's what Dexter is...a GREAT show.","October 1, 2006 (United States)",dexter is absolutely without a doubt one of the best shows ever created it follows miami pd blood splatter expert dexter morgan michael c hall as he both solves murders and commits them too he only murders bad people whove gotten away from the law being a blood expert hes able to outmaneuver the police at every turn its a thrilling one of a kind tv show that will keep you at the edge of your seat throughout the entire series michael c hall is perfect as dexter and the rest of the supporting cast is just as fantastic yes the ending was terrible but like game of thrones lost or any other show with a bad final episode a few bad episodes at the end doesnt spoil what an overall great show it was and thats what dexter isa great show,POSITIVE
5,5,10.0,26 October 2020,Dexter is easily one of my favorite tv shows of all-time and one of the few shows I can watch all the way through several times over without getting bored. It's hard for me to put into words how much I love this show. The only thing that's not good about it is the ending. The ending was pretty bad but that still doesn't take away from how good the show is overall. You should watch this show for Michael C. Hall's performance as Dexter alone. He's amazing in this. If you haven't seen this incredible show yet just make sure you give yourself enough time because you're going to want to binge watch it as fast as you can. Once you start watching you won't be able to stop.,"October 1, 2006 (United States)",dexter is easily one of my favorite tv shows of alltime and one of the few shows i can watch all the way through several times over without getting bored its hard for me to put into words how much i love this show the only thing thats not good about it is the ending the ending was pretty bad but that still doesnt take away from how good the show is overall you should watch this show for michael c halls performance as dexter alone hes amazing in this if you havent seen this incredible show yet just make sure you give yourself enough time because youre going to want to binge watch it as fast as you can once you start watching you wont be able to stop,POSITIVE
6,6,10.0,1 October 2006,"Absolutely brilliant. True to Jeff Lindsay's books. The visual contrast between the darkness of Dexter's secret life and and the gloss of Miami adds an almost surreal quality. Character development is right on the money, bringing out the background slowly so one can see the development of Dexter's sociopath personality and his confusion of human behavior compared to his own. Dexter is an actor in his own life; his relationships between co-workers and his personal life are well shown in the video media. The fact that he is a blood splatter expert This is a dark work, but set in the bizarre world of life in Miami is almost believable. Developers of this series should also look to Andrew Vachss's books.","October 1, 2006 (United States)",absolutely brilliant true to jeff lindsays books the visual contrast between the darkness of dexters secret life and and the gloss of miami adds an almost surreal quality character development is right on the money bringing out the background slowly so one can see the development of dexters sociopath personality and his confusion of human behavior compared to his own dexter is an actor in his own life his relationships between coworkers and his personal life are well shown in the video media the fact that he is a blood splatter expert this is a dark work but set in the bizarre world of life in miami is almost believable developers of this series should also look to andrew vachsss books,POSITIVE
7,7,10.0,22 October 2006,"Dexter, a forensics expert at day, serial killer with a touch of vigilantism at night. Dexter is creating a believable and very detailed portrait of a, lets say troubled, sociopath. One of the parts about the show I like best is the emotions that normal people exhibit, thus forcing Dexter to mimic them. Good laugh when the emotions Dexter fake get real, and he is scared out of his mind, like in the relationship with his ""girlfriend"" Rita, mother of two and victim of her abusive ex-boyfriend. Also liked the acting of Jennifer Carpenter as Dexter's sister Debra, adds a nice touch colour to the show, without drifting into clichés.

Thrilling story, many details, and one of the best opening sequences ever.","October 1, 2006 (United States)",dexter a forensics expert at day serial killer with a touch of vigilantism at night dexter is creating a believable and very detailed portrait of a lets say troubled sociopath one of the parts about the show i like best is the emotions that normal people exhibit thus forcing dexter to mimic them good laugh when the emotions dexter fake get real and he is scared out of his mind like in the relationship with his girlfriend rita mother of two and victim of her abusive exboyfriend also liked the acting of jennifer carpenter as dexters sister debra adds a nice touch colour to the show without drifting into clichés thrilling story many details and one of the best opening sequences ever,POSITIVE
8,8,10.0,28 April 2010,"This is going to be my first ever review on IMDb, there is not a day when I do not visit IMDb to check the reviews about movies or TV series that I watch, I watch lots of movies and series.

For the first time in my life it happened to me that I could not sleep after watching a series. I have seen prison break, heroes and a lot other. Prison break and heroes first season was awesome. They inspired me so much that I got some tattoo's done on my body. However both these series cut loose as soon they go to the next season. Heroes was big disappointment but DEXTER.. OMG series after series it starts to make me so curious about the next episode.. damn the season 4. I just could not sleep the whole night after watching it. I spent my weekend watching the episodes back to back.

To start with Dexter (Michael C. Hall) his darkness was off the edge he played the role so well that sometimes I wonder if he is the same in his real life but then I found that Debra Morgan (Jennifer Carpenter) is his real wife who is playing his sister in this series. Damn Debra is one character who is so confused and mostly been controlled by the people around her, she always end up doing something wrong but always gets credit for the good things too.

I love the part when you get to know what is going on in Dexters mind when he thinks about something or when someone is talking to him also the part when he talks to his dead father Harry. (he just thinks what his dad would say in that situation). All the episodes/characters and all the seasons are written and played so well that you can hardly find any flaw in it.

My favorite characters are Dexter (Quite obvious), Rita and Vince Masuka damn Vince is so funny, he just utter one word in his entire episode and comes out to be damn funny.

I just cant wait for the Season 5 and I am sure whosoever watched dexter feels the same way just like I did.

(Apologizes in case my first review has some mistakes and offends somebody's feelings)","October 1, 2006 (United States)",this is going to be my first ever review on imdb there is not a day when i do not visit imdb to check the reviews about movies or tv series that i watch i watch lots of movies and series for the first time in my life it happened to me that i could not sleep after watching a series i have seen prison break heroes and a lot other prison break and heroes first season was awesome they inspired me so much that i got some tattoos done on my body however both these series cut loose as soon they go to the next season heroes was big disappointment but dexter omg series after series it starts to make me so curious about the next episode damn the season i just could not sleep the whole night after watching it i spent my weekend watching the episodes back to back to start with dexter michael c hall his darkness was off the edge he played the role so well that sometimes i wonder if he is the same in his real life but then i found that debra morgan jennifer carpenter is his real wife who is playing his sister in this series damn debra is one character who is so confused and mostly been controlled by the people around her she always end up doing something wrong but always gets credit for the good things too i love the part when you get to know what is going on in dexters mind when he thinks about something or when someone is talking to him also the part when he talks to his dead father harry he just thinks what his dad would say in that situation all the episodescharacters and all the seasons are written and played so well that you can hardly find any flaw in it my favorite characters are dexter quite obvious rita and vince masuka damn vince is so funny he just utter one word in his entire episode and comes out to be damn funny i just cant wait for the season and i am sure whosoever watched dexter feels the same way just like i did apologizes in case my first review has some mistakes and offends somebodys feelings,POSITIVE
9,9,7.0,27 October 2006,"Between Dexter and Weeds, Showtime has a corner on the original new shows market. Not only are both of these shows completely original and innovative, but they are REALLY good.

Dexter, in particular, should not be reviewed by anyone who hasn't seen more than three episodes. I almost feel as if the first episode in the series is a tad-bit melodramatic (note Dexter screaming in the face of his first victim) just to pull in viewers that otherwise need something more visceral than a great screenplay.

By two more episodes the viewer should be absolutely intoxicated by the complexity of the character Dexter and the acting of Michael C. Hall. His own co-stars admit to being almost ""scared"" by how well Hall absorbs his character. Personally, I think that without Hall's mastery of Dexter there would be nothing to watch. Don't get me wrong, the plot of this show is extremely intriguing (and original, to be redundant), but the excitement lies purely in the way Dexter/Hall responds to A) his girlfriend, B) blood, and C) other serial killers.

I think that it is very reasonable to chuckle at Dexter's attempts to ""fit in"" social situations and I believe the writers of this show planned on it. What I am still stuck on, however, is whether or not to cheer Dexter on in his methodology (serial killing serial killers). This had better be the first of many seasons, so spread the word...

...Edit: I watched this series finale last night and come back to this review (which I wrote after the conclusion of Season 1) with my hat in hand to say: ""I'm kind of sorry for the hype.""

If my review was the impetus for your 'Dexter' obsession (I, too, was obsessed) then I owe you an apology for the way it all ended. Sure, sure, I couldn't have known how poorly written the resolution of this once-magnificent series would be. But, you see, I shouted praises for this show from roof-tops...telling every friend who would engage me in discussion about pop-culture that they NEEDED TO WATCH DEXTER, it's the greatest drama on television!

Alas, I will not leave any spoilers here and if you've come along the journey with me then you will undoubtedly watch how it all ends, but I write this edit in vain so that you, internet friend, cannot say that I didn't warn you: 'Dexter' leaves me wanting a real ending.","October 1, 2006 (United States)",between dexter and weeds showtime has a corner on the original new shows market not only are both of these shows completely original and innovative but they are really good dexter in particular should not be reviewed by anyone who hasnt seen more than three episodes i almost feel as if the first episode in the series is a tadbit melodramatic note dexter screaming in the face of his first victim just to pull in viewers that otherwise need something more visceral than a great screenplay by two more episodes the viewer should be absolutely intoxicated by the complexity of the character dexter and the acting of michael c hall his own costars admit to being almost scared by how well hall absorbs his character personally i think that without halls mastery of dexter there would be nothing to watch dont get me wrong the plot of this show is extremely intriguing and original to be redundant but the excitement lies purely in the way dexterhall responds to a his girlfriend b blood and c other serial killers i think that it is very reasonable to chuckle at dexters attempts to fit in social situations and i believe the writers of this show planned on it what i am still stuck on however is whether or not to cheer dexter on in his methodology serial killing serial killers this had better be the first of many seasons so spread the word edit i watched this series finale last night and come back to this review which i wrote after the conclusion of season with my hat in hand to say im kind of sorry for the hype if my review was the impetus for your dexter obsession i too was obsessed then i owe you an apology for the way it all ended sure sure i couldnt have known how poorly written the resolution of this oncemagnificent series would be but you see i shouted praises for this show from rooftopstelling every friend who would engage me in discussion about popculture that they needed to watch dexter its the greatest drama on television alas i will not leave any spoilers here and if youve come along the journey with me then you will undoubtedly watch how it all ends but i write this edit in vain so that you internet friend cannot say that i didnt warn you dexter leaves me wanting a real ending,POSITIVE
11,11,7.0,13 April 2021,"Hard to believe that Showtime would let a piece of gold turn into a turd after four seasons, but they did. Seasons 1-4 are as good as any show I've ever seen, a solid 10, would recommend to anyone and beg them to watch. Holds up wonderfully even in 2021. Seasons 5,6,7 were not good, but had some good moments. Season 8 is as bad as you will find anywhere. Honestly think it was written by sixth graders, I was begging for it to be over - how the actors could put up with the idiocy is beyond me, but I guess they were being paid plenty by then. If you love the first four seasons, watch the next three and enjoy the characters, then read the spoilers to see how season 8 ends. It will truly leave a bad taste in your mouth if you watch the last season.","October 1, 2006 (United States)",hard to believe that showtime would let a piece of gold turn into a turd after four seasons but they did seasons are as good as any show ive ever seen a solid would recommend to anyone and beg them to watch holds up wonderfully even in seasons were not good but had some good moments season is as bad as you will find anywhere honestly think it was written by sixth graders i was begging for it to be over how the actors could put up with the idiocy is beyond me but i guess they were being paid plenty by then if you love the first four seasons watch the next three and enjoy the characters then read the spoilers to see how season ends it will truly leave a bad taste in your mouth if you watch the last season,POSITIVE
12,12,5.0,9 September 2013,"What started out to be a phenomenal series, Is not ending well :(. I crack up weekly at everyone's reviews but never got irritated enough to post my own. Well 8yrs later the day has come this is by far the worst season.... OK sure it has a few highs but far more lows. I love Dex but he is turning into a whiny b**** which defeats the purpose of his original purpose. :/ So there's my rant I wont even get into the others or else I might as well right a report.Wtf is this 10 line crap I see one liners all the time????So they want us to write a whole report. Well this is my 1st review which is obvious at this point lol.So you want 10 lines here is your 10 lines.","October 1, 2006 (United States)",what started out to be a phenomenal series is not ending well i crack up weekly at everyones reviews but never got irritated enough to post my own well yrs later the day has come this is by far the worst season ok sure it has a few highs but far more lows i love dex but he is turning into a whiny b which defeats the purpose of his original purpose so theres my rant i wont even get into the others or else i might as well right a reportwtf is this line crap i see one liners all the timeso they want us to write a whole report well this is my st review which is obvious at this point lolso you want lines here is your lines,NEGATIVE
