,Unnamed: 0,Rating,Review_Date,Review,Release_Date,Review_clean,Sentiment
0,0,9.0,29 October 2023,"I never used to watch this show. My wife loved this show and whenever she would watch it I would never pay attention because I had no interest in it. But then one day I happen to look up and see something funny and I got hooked. Out of all the characters on this show the one I can relate to the most was Chandler.

I started watching all the reruns with my wife all the time on TBS. But after my wife passed away in September of last year I just can't bring myself to watch the show. All I have to say is the show is definitely worth watching and it was sad to see it go.

Thank you Matthew for making me and my wife laugh. Rest in peace.","September 22, 1994 (United States)",i never used to watch this show my wife loved this show and whenever she would watch it i would never pay attention because i had no interest in it but then one day i happen to look up and see something funny and i got hooked out of all the characters on this show the one i can relate to the most was chandler i started watching all the reruns with my wife all the time on tbs but after my wife passed away in september of last year i just cant bring myself to watch the show all i have to say is the show is definitely worth watching and it was sad to see it go thank you matthew for making me and my wife laugh rest in peace,POSITIVE
1,1,10.0,29 October 2023,"I must've have rewatched these 10 series dozens of times since it first aired.

After hearing the devastating news this morning that Matthew Perry had passed away, I'm watching it with a new pair of slightly sadder eyes.

'Friends' got me through a sad and difficult childhood. Sitting down to watch the new episodes at 9pm every Friday on channel 4, was one of the only things I can remember my family did together with no arguments.

First watched as a 12 year old, not getting most of the jokes, but laughing (mostly at Chandler!) all the way through each episode ....and now watching as a 40 year old, understanding far too well all the troubles of love and work, and life and friendship.

What a brilliant show.","September 22, 1994 (United States)",i mustve have rewatched these series dozens of times since it first aired after hearing the devastating news this morning that matthew perry had passed away im watching it with a new pair of slightly sadder eyes friends got me through a sad and difficult childhood sitting down to watch the new episodes at pm every friday on channel was one of the only things i can remember my family did together with no arguments first watched as a year old not getting most of the jokes but laughing mostly at chandler all the way through each episode and now watching as a year old understanding far too well all the troubles of love and work and life and friendship what a brilliant show,POSITIVE
2,2,10.0,29 September 2022,"What can be said about Friends that hasn't already been said? It's easily one of the best sitcoms of all-time. It's on every ""best sitcoms ever"" list for a reason...because it is! If that doesn't convince you just read through these reviews and you'll see just how loved this show really is. The cast is perfect, not a weak link on the entire show. Almost everyone can find someone on the show that they identify with. I've seen every episode numerous times (considering it's always on) and I still laugh just as much on every watch as I did the first time I watched it. I'll continue to watch reruns and laugh and I doubt that I'll ever get bored with this show.","September 22, 1994 (United States)",what can be said about friends that hasnt already been said its easily one of the best sitcoms of alltime its on every best sitcoms ever list for a reasonbecause it is if that doesnt convince you just read through these reviews and youll see just how loved this show really is the cast is perfect not a weak link on the entire show almost everyone can find someone on the show that they identify with ive seen every episode numerous times considering its always on and i still laugh just as much on every watch as i did the first time i watched it ill continue to watch reruns and laugh and i doubt that ill ever get bored with this show,POSITIVE
4,4,10.0,12 November 2020,"Are you happy? watch Friends! are you sad? watch Friends! not sure! yet, watch Friends!","September 22, 1994 (United States)",are you happy watch friends are you sad watch friends not sure yet watch friends,POSITIVE
5,5,10.0,12 August 1998,"There never has been a sitcom that truly pictures life among the singles (twenty-something) as good as this show does. It's not just comedy, it presents the episodes in such a way that one can truly identify with the situations they face so the audience has something to talk about in coffee shops too. The humor is universal. I feel like I'm part of the group every time I watch it because I feel the different emotions they go through. Plus, of course, it is so much fun because it's fast-paced. Every scene and every moment is relative to what is going to happen next so you don't feel like it is dragging you onto nothing. Just like how a sitcom should be. Funny!","September 22, 1994 (United States)",there never has been a sitcom that truly pictures life among the singles twentysomething as good as this show does its not just comedy it presents the episodes in such a way that one can truly identify with the situations they face so the audience has something to talk about in coffee shops too the humor is universal i feel like im part of the group every time i watch it because i feel the different emotions they go through plus of course it is so much fun because its fastpaced every scene and every moment is relative to what is going to happen next so you dont feel like it is dragging you onto nothing just like how a sitcom should be funny,POSITIVE
6,6,10.0,26 July 2005,"'Friends' is simply the best series ever aired. The acting is amazing; after watching a few episodes you stop referring to the actors by their real names altogether, even if they appear in another movie. The characters are addictive, none are completely positive or negative. It would be quite easy to get along with or to be very annoyed by any of them in real life. Yet, all of them together (or even divided in groups) create this amazing chemistry that most people desire and few lucky ones have. The humor is wonderful, no matter what type of humor you like, you will get to a point where you will find at least something absolutely hilarious. There is slapstick, some light humor, some dark humor, some raunchiness, some cheesiness - a little bit of everything. The story is captivating; viewers keep coming back to see what situation fate (being the writers) puts the characters in today. It is truly a television masterpiece.

There are, however, many people who scoff at the mentioning of 'Friends'. My guess is they've never seen or paid attention to the show. It's easy to discard something because ""everyone likes it"" and be ""unique"", when in reality the uniqueness is actually bias. Just watch a few episodes with before making any judgements - chances are you'll fall in love with it too. I would have serious doubts about one's sense of humor if I heard that they hated 'Friends'.","September 22, 1994 (United States)",friends is simply the best series ever aired the acting is amazing after watching a few episodes you stop referring to the actors by their real names altogether even if they appear in another movie the characters are addictive none are completely positive or negative it would be quite easy to get along with or to be very annoyed by any of them in real life yet all of them together or even divided in groups create this amazing chemistry that most people desire and few lucky ones have the humor is wonderful no matter what type of humor you like you will get to a point where you will find at least something absolutely hilarious there is slapstick some light humor some dark humor some raunchiness some cheesiness a little bit of everything the story is captivating viewers keep coming back to see what situation fate being the writers puts the characters in today it is truly a television masterpiece there are however many people who scoff at the mentioning of friends my guess is theyve never seen or paid attention to the show its easy to discard something because everyone likes it and be unique when in reality the uniqueness is actually bias just watch a few episodes with before making any judgements chances are youll fall in love with it too i would have serious doubts about ones sense of humor if i heard that they hated friends,POSITIVE
7,7,10.0,27 September 2022,"Okay, so i watched friends 3 4 years ago and now it has become a daily part of my life. Im engineering student so i often come home exhausted from uni and watch friends with my sister all day to relax . I love the show the characters make me laugh and i forget my worries. A lot of people have complaints about the show saying it doesnt having enough POC characters and being unfunny? As POC i literally have no problem with the show's lack of POC characters honestly, i mean it doesnt bother me that much and i agree Seinfeld has better jokes than friends but it doesnt mean that friends isnt funny, its different and simple and flawed and that what makes the show so good to watch. A lot of people watch friends to learn english too so its fun. Not everything has to be ""woke"" and a masterpiece for people to enjoy and cherish and please do not forget the show came out in 90s and back then creators didnt focus that much about different agendas.","September 22, 1994 (United States)",okay so i watched friends years ago and now it has become a daily part of my life im engineering student so i often come home exhausted from uni and watch friends with my sister all day to relax i love the show the characters make me laugh and i forget my worries a lot of people have complaints about the show saying it doesnt having enough poc characters and being unfunny as poc i literally have no problem with the shows lack of poc characters honestly i mean it doesnt bother me that much and i agree seinfeld has better jokes than friends but it doesnt mean that friends isnt funny its different and simple and flawed and that what makes the show so good to watch a lot of people watch friends to learn english too so its fun not everything has to be woke and a masterpiece for people to enjoy and cherish and please do not forget the show came out in s and back then creators didnt focus that much about different agendas,POSITIVE
8,8,10.0,24 August 2022,"The series aged like fine wine. I finished this whole series within a month like 236 episodes or more like 78 hours of content, that's how much interesting this series is. Some cliff hangers at the end of seasons is very suspenseful that i couldn't wait to watch the next season. Joey, Phoebe, Chandler, Monica, Ross & Rachel we like my friends by the end of the series. The comedic timing and all the funny elements of the show is on point. And the most important fact is that after finishing the series we could just start the series all over again and feel fresh. It has an immense amount of repeat value that we wouldn't get bored even after watching several times. I could go on for pages but the memes, the sitcom references, the stars the show created all speak form them selves.","September 22, 1994 (United States)",the series aged like fine wine i finished this whole series within a month like episodes or more like hours of content thats how much interesting this series is some cliff hangers at the end of seasons is very suspenseful that i couldnt wait to watch the next season joey phoebe chandler monica ross rachel we like my friends by the end of the series the comedic timing and all the funny elements of the show is on point and the most important fact is that after finishing the series we could just start the series all over again and feel fresh it has an immense amount of repeat value that we wouldnt get bored even after watching several times i could go on for pages but the memes the sitcom references the stars the show created all speak form them selves,POSITIVE
9,9,9.0,25 March 2020,"I cannot remember the amount of times I've sat down and thought ""I want to watch a new series on Netflix and start a new film!"" And after 5 minutes of watching something new I thought, why bother?!? And switch over to watching friends 😂 easy to watch, great comedy and full of content that's completely original. The more I watch it the more I learn about the characters I grew up with, and how I would respond to certain situations, with or without the overhead laughter in the background. I don't know a single person that hasn't seen this, so if your one of them reading my review, do yourself a favour and grab a glass of wine, or whatever, and prepare for back to back television greatness. Thank you ""Friends""","September 22, 1994 (United States)",i cannot remember the amount of times ive sat down and thought i want to watch a new series on netflix and start a new film and after minutes of watching something new i thought why bother and switch over to watching friends easy to watch great comedy and full of content thats completely original the more i watch it the more i learn about the characters i grew up with and how i would respond to certain situations with or without the overhead laughter in the background i dont know a single person that hasnt seen this so if your one of them reading my review do yourself a favour and grab a glass of wine or whatever and prepare for back to back television greatness thank you friends,POSITIVE
10,10,7.0,18 October 2022,I won't lie when I say I'm probably one of the people who think this show is not funny. This has been recommended to me multiple times before I actually did give it a try. The first episode was meh but I kept watching until I found myself actually loving this show and it's really good and super chill. I think you actually have to know the characters more for you to appreciate their humor. This show is one of my go-to's when I'm feeling so down. Friends is so overrated and is always in most people's recommendations that you just keep on scrolling past through the list but seriously it's a good show and worth giving a shot!,"September 22, 1994 (United States)",i wont lie when i say im probably one of the people who think this show is not funny this has been recommended to me multiple times before i actually did give it a try the first episode was meh but i kept watching until i found myself actually loving this show and its really good and super chill i think you actually have to know the characters more for you to appreciate their humor this show is one of my gotos when im feeling so down friends is so overrated and is always in most peoples recommendations that you just keep on scrolling past through the list but seriously its a good show and worth giving a shot,POSITIVE
