,Unnamed: 0,Rating,Review_Date,Review,Release_Date,Review_clean,Sentiment
0,0,8.0,21 September 2022,"I had high expectations of this. After seeing Evan Peters in AHS, I just knew he would be great in this role. He did not disappoint.

I haven't seen many docos on Dahmer so don't really know that much about his personality or demeanor, but the character that Peters portrays is complex, creepy, and just plain twisted and evil.

One of the most disturbing details of Dahmer's crimes that this series highlights is how the police ignored and dismissed witness reports, and their lack of action allowed Dahmer to stay free and kill more men.

This series is excellent. I suggest you start watching it early in the afternoon as you will want to binge watch the whole series.","September 21, 2022 (United States)",i had high expectations of this after seeing evan peters in ahs i just knew he would be great in this role he did not disappoint i havent seen many docos on dahmer so dont really know that much about his personality or demeanor but the character that peters portrays is complex creepy and just plain twisted and evil one of the most disturbing details of dahmers crimes that this series highlights is how the police ignored and dismissed witness reports and their lack of action allowed dahmer to stay free and kill more men this series is excellent i suggest you start watching it early in the afternoon as you will want to binge watch the whole series,POSITIVE
1,1,9.0,21 September 2022,"This was a hard watch....for many reasons. Having been a young adult when all this happened, it....what do the kids say?...it hits different.

Well, it's the Dahmer story. So by default, it's hard and gross and scary.

The acting is top notch. Every performance...it's like you're right there in the room watching this God awful series of events unfold in real time. How the actors got through this is beyond me.

The timeline shifts can be a bit hard to follow. It's not the kind of thing you can just pause and come back to. You have to rewind or start the episode over.

Overall, arguably...this is the best Dahmer depiction. I would recommend watching ""My Best Friend Dahmer"" prior to watching this, as it accidentally and appropriately serves as a prequel.

Recommend for cast iron stomachs. Don't watch this if you're prone to puking.","September 21, 2022 (United States)",this was a hard watchfor many reasons having been a young adult when all this happened itwhat do the kids sayit hits different well its the dahmer story so by default its hard and gross and scary the acting is top notch every performanceits like youre right there in the room watching this god awful series of events unfold in real time how the actors got through this is beyond me the timeline shifts can be a bit hard to follow its not the kind of thing you can just pause and come back to you have to rewind or start the episode over overall arguablythis is the best dahmer depiction i would recommend watching my best friend dahmer prior to watching this as it accidentally and appropriately serves as a prequel recommend for cast iron stomachs dont watch this if youre prone to puking,POSITIVE
2,2,9.0,21 September 2022,"When I clicked to watch the ""Dahmer""-release on Netflix, I thought it would be the so-many'th documentary on him. But what a surprise it was to see that it is actually a mini-series of the crimes that Dahmer committed. And what a mini-series it is!

The acting is superb. The script is top-notch! The cinematography one of the best that I have seen in a true crime series of a serial killer!

I am a big fan of Mindhunter, the show about the origins of the FBI's Behavioral Science Unit. And I must admit that Dahmer fits right into this type of shows! The show captured me from the first episode and it was a single binge from then on.

I know that there are many other movies from for instance ""People's Magazine"" that portray the crimes commited by notorious killers. But what Netflix has shown with Dahmer, is a complete new level of enactment! The movies from People's Magazine are just amateur hour compared to the Dahmer-series.

Netflix really surprised me big time with this great show! It deserves a solid 9 stars! And I don't easily give away a 9 star rating!","September 21, 2022 (United States)",when i clicked to watch the dahmerrelease on netflix i thought it would be the somanyth documentary on him but what a surprise it was to see that it is actually a miniseries of the crimes that dahmer committed and what a miniseries it is the acting is superb the script is topnotch the cinematography one of the best that i have seen in a true crime series of a serial killer i am a big fan of mindhunter the show about the origins of the fbis behavioral science unit and i must admit that dahmer fits right into this type of shows the show captured me from the first episode and it was a single binge from then on i know that there are many other movies from for instance peoples magazine that portray the crimes commited by notorious killers but what netflix has shown with dahmer is a complete new level of enactment the movies from peoples magazine are just amateur hour compared to the dahmerseries netflix really surprised me big time with this great show it deserves a solid stars and i dont easily give away a star rating,POSITIVE
3,3,10.0,22 September 2022,"There are no doubts that Evan Peters has killed this role by delivering one of the most engrossing performances of his career, and that's saying something considering the aptitude of his many esteemed performances to date. Dahmer's entire childhood outfitted for audiences to get a further in depth understanding of his delving into degeneracy and the reasons behind his atrocious actions. The fault of a system that didn't care about helping those who showed signs of psychosis and allowed a young man to fall through the cracks along with a corrupt and negligent police department that chose to turn blind eyes and deaf ears due to the nature of homosexuality and people of color being Dahmer's main victims because of obvious systemic racism...all of it set to Evan's performance was outstanding. I can only hope people learn from the many lessons this horrible tragedy, but the engrossing way that Mr. Peter's acted in this very challenging role is an absolute stunner.","September 21, 2022 (United States)",there are no doubts that evan peters has killed this role by delivering one of the most engrossing performances of his career and thats saying something considering the aptitude of his many esteemed performances to date dahmers entire childhood outfitted for audiences to get a further in depth understanding of his delving into degeneracy and the reasons behind his atrocious actions the fault of a system that didnt care about helping those who showed signs of psychosis and allowed a young man to fall through the cracks along with a corrupt and negligent police department that chose to turn blind eyes and deaf ears due to the nature of homosexuality and people of color being dahmers main victims because of obvious systemic racismall of it set to evans performance was outstanding i can only hope people learn from the many lessons this horrible tragedy but the engrossing way that mr peters acted in this very challenging role is an absolute stunner,NEGATIVE
4,4,9.0,22 September 2022,"For those interested in the psychology of a serial killer, there is no more fascinating character study than Jeffrey Dahmer. He was a psychiatric enigma and a profoundly sick individual. A chronic alcoholic from a very young age. A sexual deviant with all manner of unusual fetishes. A necrophiliac. A cannibal.

A pure psychopath and the product of a perfect storm of schizotypal/borderline personality disorder, developmental toxicity (exposure to psychoactive drugs in utero), negative parental influence, neglect and childhood trauma, a morbid curiosity with the macabre, social exclusion at school and deep feelings of loneliness, sexual confusion and insecurity.

He longed to be cared about and loved by his family. He longed to be accepted by his peers. But, at the same time, knew deep down that he would inevitably disappoint his parents because of his inability to live a normal life and that he wouldn't be accepted by friends due to his odd personality.

We all tend to seek out like-minded people and make connections with those we have something in common with. The problem was that Jeffrey knew there wasn't anybody out there with the same interests or outlook as him. Left to his own devices by absent parents and socially isolated, he became increasingly withdrawn and followed a path of introversion and solitude.

He must have felt like he didn't belong in this world, and that there wasn't a place for him within society, so he abandoned all attempts to participate and pursued a voyeuristic way of life. He lacked a clear or positive self-image, meaning his perspective of other people was skewed, which resulted in him fully embracing his warped perception of pleasure and satisfaction. The men he felt attracted to were purely sex objects to him; walking, talking sex dolls. His interest was solely in their aesthetic, or physical appearance.

He appeared to have been a deeply troubled soul from the outset and his behaviours were predominantly a consequence of his genetic constitution, exacerbated by negative life experiences. If his childhood had been a more positive one then he may have been able to adapt better to his personal limitations and dysfunctions, but there is no way of knowing the extent of the damage his upbringing had on him.

It was evident from his own admissions that he felt predestined to live a peculiar and unorthodox lifestyle due to his innately bizarre persona. The conventional joys of life simply didn't float Jeffrey's boat.

I rarely, if ever, feel sorry for multiple murderers, especially ones who commit such heinous and sickening crimes as Dahmer. But I have to admit that I found his story to be tragically sad.

My usual take away from accounts of serial killers is wondering how and why someone could do that to another human being over and over again!? In Dahmer's case, I am left feeling conflicted with a strange understanding of, and empathy for, his actions. Of course I'm not condoning what he did, but I can appreciate how and why the sequence of events transpired.

In his televised interviews he was so open, frank and forthcoming which is exceptionally rare for someone in his situation. He came across as a gentle, thoughtful and articulate person who was genuinely tormented by his inner demons throughout his life. He freely admitted to his crimes in detail, demonstrated that he knew what he had done was evil and offered honest explanations for his actions. He wanted to pay the ultimate price for his sins, resisting advice to make a plea of insanity, and took personal responsibility for the choices he made.

The good part of him wanted to change and stop what the bad part had started, but he required external intervention to do so. The urges and compulsions that controlled him became an obsession and his psychosis led him down a progressively irreversible path that was impossible to resist. The dark side had an unrelenting grip on him.

My personal opinion is that he was clinically insane, due to a combination of psychiatric disorders, but at the same time I feel a legal judgement of insanity would have been an insult to the families of Dahmer's victims and an inadequate penalty for such a fiendish series of killings.

If you listen to him describe how he felt during his childhood and adolescence, it's clear that he should have been under the watchful eye of mental health professionals from an early age. His mother was so wrapped up in her own mental illness and his father preoccupied by work that he didn't receive the emotional support, medication and therapy he desperately needed. This was inexcusable given that both parents were acutely aware of their own emotional problems and the likelihood that these had been passed onto their son.

I can't help but feel pity for Dahmer, and also that the casualties of his maniacal way of life were preventable.

Between his mid-teens and early twenties he was basically a ""walking cry for help"" but nobody seemed to pay attention, try to understand him or find out what was wrong. In any case, because of the appalling and unspeakable nature of Dahmer's fantasies, it's unlikely that he would have felt able to share them with anyone, even those in a medical capacity. This would've made him feel trapped and that he might as well turn his fantasies into a reality because there was nobody to confide in and no way out of his spiralling mental condition. Like a lost cause.

I mean here was a guy who felt completely alone in the world. A total and utter misfit. So reckless and uncaring about what other people thought of him, making absolutely no attempts whatsoever to conform to social norms. A loner without even a rudimentary inclination or understanding of how to make friends, relate to others or find a romantic partner. He didn't seem to know what to look for or what he wanted in a partner. His perverted version of attachment and sexual arousal didn't allow him to.

I suppose all he had experienced was watching his parents at constant loggerheads and in a loveless marriage. This would have left him detached, emotionally stunted and unaware of how to express love and affection. I suspect realising that you're homosexual is a troubling and confusing time for anyone. But for someone like Dahmer, who was mentally unhinged and devoid of emotional support, it was a major dilemma and yet another psychological obstacle to contend with.

He was given such an unstable start to life by bickering, neglectful parents who appeared to be unwilling to put their children's welfare first. This obviously had a massively detrimental impact on his self-esteem and sense of security, leading to an intense fear of abandonment. Hence his preference for duping his victims into spending time with him and then incapacitating them so he could enjoy their company without that fear of rejection. That way he could exercise total control over their lifeless bodies and indulge in his fetishes to his heart's content without contest.

I expect he sank to unimaginable depths of depravity during those private moments, searching for the unachievable, ever-fleeting sense of fulfilment and satisfaction that he desperately wished to hold on to and savour.

I've read quite a lot about Dahmer online, watched a number of interviews and the brilliant film 'My Friend Dahmer'. Evan Peters portrays him with a seemingly effortless and convincing performance that is heavily nuanced and intensely creepy. He absolutely nails the flat affect, monotone voice and distinct lack of emotional expression typical of most psychopaths.

He really conveys the emptiness Dahmer had in his soul; the numbness, subdued anger and sexual frustration which engulfed him. He truly embodies Dahmer and was perfectly cast in this role.

Technically speaking this series is very well researched, skilfully put together and held my undivided attention throughout. The acting by the whole cast, especially Richard Jenkins as Lionel, is first class. The tone is pitched perfectly for such a grim and sordid story. The directors create numerous moments of highly suspenseful and tense drama including some horrifying, darkly-intimate and cringe-inducing scenes, but these are needed to tell the story of Dahmer's debauchery in full.

Episode 6 ""Silenced"" in particular is an exceptional and highly original piece of screenwriting with some of the most absorbing television I've seen for a long time. It was like a mini-masterpiece of melodrama.

I really feel the writers got inside the mind of Dahmer, not only giving us the facts of what happened but allowing us to feel what it was like to see things the way he did. There are a number of minor adjustments or expansions to the narrative, but equally some omissions in order to make the content more palatable for the viewer. None of this affects the credibility of the series in my opinion as we are given ample opportunity to form a mental image of what happened from the point of view of all parties concerned.

Despite having read up on the subject matter beforehand, and knowing how the events of his life unfolded, this excellent series has a real edginess and provides a fresh, unflinching and comprehensive account of the disturbing life of Jeffrey Dahmer.

If like me you're fascinated by how a monster like Dahmer is formed, you're in for a real treat.","September 21, 2022 (United States)",for those interested in the psychology of a serial killer there is no more fascinating character study than jeffrey dahmer he was a psychiatric enigma and a profoundly sick individual a chronic alcoholic from a very young age a sexual deviant with all manner of unusual fetishes a necrophiliac a cannibal a pure psychopath and the product of a perfect storm of schizotypalborderline personality disorder developmental toxicity exposure to psychoactive drugs in utero negative parental influence neglect and childhood trauma a morbid curiosity with the macabre social exclusion at school and deep feelings of loneliness sexual confusion and insecurity he longed to be cared about and loved by his family he longed to be accepted by his peers but at the same time knew deep down that he would inevitably disappoint his parents because of his inability to live a normal life and that he wouldnt be accepted by friends due to his odd personality we all tend to seek out likeminded people and make connections with those we have something in common with the problem was that jeffrey knew there wasnt anybody out there with the same interests or outlook as him left to his own devices by absent parents and socially isolated he became increasingly withdrawn and followed a path of introversion and solitude he must have felt like he didnt belong in this world and that there wasnt a place for him within society so he abandoned all attempts to participate and pursued a voyeuristic way of life he lacked a clear or positive selfimage meaning his perspective of other people was skewed which resulted in him fully embracing his warped perception of pleasure and satisfaction the men he felt attracted to were purely sex objects to him walking talking sex dolls his interest was solely in their aesthetic or physical appearance he appeared to have been a deeply troubled soul from the outset and his behaviours were predominantly a consequence of his genetic constitution exacerbated by negative life experiences if his childhood had been a more positive one then he may have been able to adapt better to his personal limitations and dysfunctions but there is no way of knowing the extent of the damage his upbringing had on him it was evident from his own admissions that he felt predestined to live a peculiar and unorthodox lifestyle due to his innately bizarre persona the conventional joys of life simply didnt float jeffreys boat i rarely if ever feel sorry for multiple murderers especially ones who commit such heinous and sickening crimes as dahmer but i have to admit that i found his story to be tragically sad my usual take away from accounts of serial killers is wondering how and why someone could do that to another human being over and over again in dahmers case i am left feeling conflicted with a strange understanding of and empathy for his actions of course im not condoning what he did but i can appreciate how and why the sequence of events transpired in his televised interviews he was so open frank and forthcoming which is exceptionally rare for someone in his situation he came across as a gentle thoughtful and articulate person who was genuinely tormented by his inner demons throughout his life he freely admitted to his crimes in detail demonstrated that he knew what he had done was evil and offered honest explanations for his actions he wanted to pay the ultimate price for his sins resisting advice to make a plea of insanity and took personal responsibility for the choices he made the good part of him wanted to change and stop what the bad part had started but he required external intervention to do so the urges and compulsions that controlled him became an obsession and his psychosis led him down a progressively irreversible path that was impossible to resist the dark side had an unrelenting grip on him my personal opinion is that he was clinically insane due to a combination of psychiatric disorders but at the same time i feel a legal judgement of insanity would have been an insult to the families of dahmers victims and an inadequate penalty for such a fiendish series of killings if you listen to him describe how he felt during his childhood and adolescence its clear that he should have been under the watchful eye of mental health professionals from an early age his mother was so wrapped up in her own mental illness and his father preoccupied by work that he didnt receive the emotional support medication and therapy he desperately needed this was inexcusable given that both parents were acutely aware of their own emotional problems and the likelihood that these had been passed onto their son i cant help but feel pity for dahmer and also that the casualties of his maniacal way of life were preventable between his midteens and early twenties he was basically a walking cry for help but nobody seemed to pay attention try to understand him or find out what was wrong in any case because of the appalling and unspeakable nature of dahmers fantasies its unlikely that he would have felt able to share them with anyone even those in a medical capacity this wouldve made him feel trapped and that he might as well turn his fantasies into a reality because there was nobody to confide in and no way out of his spiralling mental condition like a lost cause i mean here was a guy who felt completely alone in the world a total and utter misfit so reckless and uncaring about what other people thought of him making absolutely no attempts whatsoever to conform to social norms a loner without even a rudimentary inclination or understanding of how to make friends relate to others or find a romantic partner he didnt seem to know what to look for or what he wanted in a partner his perverted version of attachment and sexual arousal didnt allow him to i suppose all he had experienced was watching his parents at constant loggerheads and in a loveless marriage this would have left him detached emotionally stunted and unaware of how to express love and affection i suspect realising that youre homosexual is a troubling and confusing time for anyone but for someone like dahmer who was mentally unhinged and devoid of emotional support it was a major dilemma and yet another psychological obstacle to contend with he was given such an unstable start to life by bickering neglectful parents who appeared to be unwilling to put their childrens welfare first this obviously had a massively detrimental impact on his selfesteem and sense of security leading to an intense fear of abandonment hence his preference for duping his victims into spending time with him and then incapacitating them so he could enjoy their company without that fear of rejection that way he could exercise total control over their lifeless bodies and indulge in his fetishes to his hearts content without contest i expect he sank to unimaginable depths of depravity during those private moments searching for the unachievable everfleeting sense of fulfilment and satisfaction that he desperately wished to hold on to and savour ive read quite a lot about dahmer online watched a number of interviews and the brilliant film my friend dahmer evan peters portrays him with a seemingly effortless and convincing performance that is heavily nuanced and intensely creepy he absolutely nails the flat affect monotone voice and distinct lack of emotional expression typical of most psychopaths he really conveys the emptiness dahmer had in his soul the numbness subdued anger and sexual frustration which engulfed him he truly embodies dahmer and was perfectly cast in this role technically speaking this series is very well researched skilfully put together and held my undivided attention throughout the acting by the whole cast especially richard jenkins as lionel is first class the tone is pitched perfectly for such a grim and sordid story the directors create numerous moments of highly suspenseful and tense drama including some horrifying darklyintimate and cringeinducing scenes but these are needed to tell the story of dahmers debauchery in full episode silenced in particular is an exceptional and highly original piece of screenwriting with some of the most absorbing television ive seen for a long time it was like a minimasterpiece of melodrama i really feel the writers got inside the mind of dahmer not only giving us the facts of what happened but allowing us to feel what it was like to see things the way he did there are a number of minor adjustments or expansions to the narrative but equally some omissions in order to make the content more palatable for the viewer none of this affects the credibility of the series in my opinion as we are given ample opportunity to form a mental image of what happened from the point of view of all parties concerned despite having read up on the subject matter beforehand and knowing how the events of his life unfolded this excellent series has a real edginess and provides a fresh unflinching and comprehensive account of the disturbing life of jeffrey dahmer if like me youre fascinated by how a monster like dahmer is formed youre in for a real treat,NEGATIVE
5,5,8.0,31 December 2022,"Monster is a series created by Ryan Murphy (American Crime Story, American Horror Story, 9-1-1, Hollywood, Pose, Feud, etc.). Everything Murphy touches is pretty much successful and this is no different. Everyone knows this story by now...he's one of the most notorious serial killers in the history of the United States. He would lure young men to his apartment and not only kill them but eat them. This is a story that's been told many times but this show takes the unique perspective of largely telling the story from the victims point of view. Evan Peters is absolutely brilliant as Jeffrey Dahmer. He's so good that he should be talked about for an Emmy nomination next year. This series is worth watching for Peters performance alone. This is very dark, disturbing story and Ryan Murphy does a great job telling it.","September 21, 2022 (United States)",monster is a series created by ryan murphy american crime story american horror story hollywood pose feud etc everything murphy touches is pretty much successful and this is no different everyone knows this story by nowhes one of the most notorious serial killers in the history of the united states he would lure young men to his apartment and not only kill them but eat them this is a story thats been told many times but this show takes the unique perspective of largely telling the story from the victims point of view evan peters is absolutely brilliant as jeffrey dahmer hes so good that he should be talked about for an emmy nomination next year this series is worth watching for peters performance alone this is very dark disturbing story and ryan murphy does a great job telling it,POSITIVE
6,6,10.0,21 September 2022,"There's something dramatic, intense about how that man can transform into his character.

The producer (Ryan Murphy) has been working with Evan for more than a decade on American Horror Story so we've seen him in a few different roles and I'm always stunned at his talent.

Murphy's been known to produce gems or the worst; worth a binge this one.

Only 2 episodes in so my rating might change but this is a solid show with solid acting and even though some might find the start to be ""slow"", if you love creepy thrillers you're in for a wild ride and will love the pace.

Loving the sometimes ""eerie filming"", there's a sinister vibe in every aspects of the show!","September 21, 2022 (United States)",theres something dramatic intense about how that man can transform into his character the producer ryan murphy has been working with evan for more than a decade on american horror story so weve seen him in a few different roles and im always stunned at his talent murphys been known to produce gems or the worst worth a binge this one only episodes in so my rating might change but this is a solid show with solid acting and even though some might find the start to be slow if you love creepy thrillers youre in for a wild ride and will love the pace loving the sometimes eerie filming theres a sinister vibe in every aspects of the show,POSITIVE
7,7,7.0,26 September 2022,This is a solid true crime show with brilliant acting. Especially Evan Peters does an awesome job. It's exciting to see the horrible story of JD staged so carefully. Would have been an 8 but the last two episodes focus too much on JDs neighbour Glenda Cleveland. She surely suffered a lot when JDs crimes were discovered but 15 people had been killed whose friends and families certainly suffered a lot more. I think those people deserve more attention than a lady that indeed did a good job but was not involved in the matter so much. That's why the last episodes are a little bit slow moving. All in all worth a watch.,"September 21, 2022 (United States)",this is a solid true crime show with brilliant acting especially evan peters does an awesome job its exciting to see the horrible story of jd staged so carefully would have been an but the last two episodes focus too much on jds neighbour glenda cleveland she surely suffered a lot when jds crimes were discovered but people had been killed whose friends and families certainly suffered a lot more i think those people deserve more attention than a lady that indeed did a good job but was not involved in the matter so much thats why the last episodes are a little bit slow moving all in all worth a watch,POSITIVE
8,8,8.0,27 September 2022,"I want to star off by saying Dahmer - Monster: The Jeffrey Dahmer story (what a ridiculous title) is a very tough watch. I grew up about 30min from Milwaukee and even though I was a little kid when he was arrested I still remember this story being a huge, especially around here. How he was able to get away with what he did for as long as he did is very troubling. The police dropped the ball time and time again and lots of innocent lives were lost because of it. Evan Peters deserves every bit of recognition he's getting from this series, he was brilliant. The rest of the cast is good too but it's Peters who makes this show what it is.","September 21, 2022 (United States)",i want to star off by saying dahmer monster the jeffrey dahmer story what a ridiculous title is a very tough watch i grew up about min from milwaukee and even though i was a little kid when he was arrested i still remember this story being a huge especially around here how he was able to get away with what he did for as long as he did is very troubling the police dropped the ball time and time again and lots of innocent lives were lost because of it evan peters deserves every bit of recognition hes getting from this series he was brilliant the rest of the cast is good too but its peters who makes this show what it is,POSITIVE
9,9,6.0,26 September 2022,"While Evan Peters certainly deserves accolades for his particularly engrossing and gripping personification of the monster that was Dahmer, the series - the first half of which was excellent - leaves much to be desired.

Note: A special mention should also be made of actor Shaun Brown who delivered a stellar performance in his portrayal of Tracy Edwards, Dahmer's last would-be victim.

Like a good book that you just do not want to put down and which leaves you wanting to know what the next page will bring, the first episode of ""Dahmer, Monster"" is compelling enough that if you have the time, you will not even think about turning off episode two.

The issues, for me, began around episode 5. This is when the story began to move away from Dahmer and his actions somewhat, and began to concentrate on other aspects of the case and the people who surrounded him. This disconnect just grew and grew into the ensuing episodes, with Dahmer being present, less and less. While some viewers may not have minded this, and perhaps viewed it as being 'thorough', to me, it was fluff and fill. There's is no convincing me that this series would not have benefitted from being two episodes shorter. In fact, you could turn it off at episode 6, and could truthfully say you saw it in its entirety, ...or at least all its best parts.","September 21, 2022 (United States)",while evan peters certainly deserves accolades for his particularly engrossing and gripping personification of the monster that was dahmer the series the first half of which was excellent leaves much to be desired note a special mention should also be made of actor shaun brown who delivered a stellar performance in his portrayal of tracy edwards dahmers last wouldbe victim like a good book that you just do not want to put down and which leaves you wanting to know what the next page will bring the first episode of dahmer monster is compelling enough that if you have the time you will not even think about turning off episode two the issues for me began around episode this is when the story began to move away from dahmer and his actions somewhat and began to concentrate on other aspects of the case and the people who surrounded him this disconnect just grew and grew into the ensuing episodes with dahmer being present less and less while some viewers may not have minded this and perhaps viewed it as being thorough to me it was fluff and fill theres is no convincing me that this series would not have benefitted from being two episodes shorter in fact you could turn it off at episode and could truthfully say you saw it in its entirety or at least all its best parts,NEGATIVE
