,Unnamed: 0,Rating,Review_Date,Review,Release_Date,Review_clean,Sentiment
0,0,9.0,26 July 2019,"Having being all superheroed out with the never ending train of films this is so much welcome relief. It's not for kids and I love the choice language which is appropriate.
2,081 out of 2,363 found this helpful. Was this review helpful? Sign in to vote.
Permalink","July 26, 2019 (United States)",having being all superheroed out with the never ending train of films this is so much welcome relief its not for kids and i love the choice language which is appropriate out of found this helpful was this review helpful sign in to vote permalink,POSITIVE
1,1,10.0,26 July 2019,"Started watching this brilliant spin on a superhero show after dinner. Now it's 4 am and I have just watched the whole thing.

From the very first episode I was glued to this exciting, interesting and crazy ride.
966 out of 1,105 found this helpful. Was this review helpful? Sign in to vote.
Permalink","July 26, 2019 (United States)",started watching this brilliant spin on a superhero show after dinner now its am and i have just watched the whole thing from the very first episode i was glued to this exciting interesting and crazy ride out of found this helpful was this review helpful sign in to vote permalink,POSITIVE
2,2,8.0,6 December 2021,"I've had big expectations about this show, because I thought that is going to be exactly that kind of show, in which the good guys (the superheroes) fight the bad guys (the villains) and of course, they win. I couldn't have been more wrong, especially because ""The Boys"" it's not about a desperate attempt of superheroes to save the world from evil, instead this show takes a much more realistic approach, about what is going to happen if superheroes had really existed.

I'm saying that I had big expectations in the beginning, because I thought that it would be the same usual show with superheroes and villain, that is most likely to find everywhere. In the first couple of episodes I've been a little bit disappointed, or rather shocked, because like I've already said, ""The Boys"" describes what the MCU never did. Of course, the movies and shows from Marvel are destined to other public's category, but this show is tough. It has all you could not expect from a TV series with superheroes. It has violence, gore, nudity, astonishing CGI effects and a very unpredictable and solid storyline. In the end it seems that this one delivered what I didn't expect it to and I am pleased with that. The show is definitely worth watching.","July 26, 2019 (United States)",ive had big expectations about this show because i thought that is going to be exactly that kind of show in which the good guys the superheroes fight the bad guys the villains and of course they win i couldnt have been more wrong especially because the boys its not about a desperate attempt of superheroes to save the world from evil instead this show takes a much more realistic approach about what is going to happen if superheroes had really existed im saying that i had big expectations in the beginning because i thought that it would be the same usual show with superheroes and villain that is most likely to find everywhere in the first couple of episodes ive been a little bit disappointed or rather shocked because like ive already said the boys describes what the mcu never did of course the movies and shows from marvel are destined to other publics category but this show is tough it has all you could not expect from a tv series with superheroes it has violence gore nudity astonishing cgi effects and a very unpredictable and solid storyline in the end it seems that this one delivered what i didnt expect it to and i am pleased with that the show is definitely worth watching,POSITIVE
4,4,9.0,26 July 2019,"Excellent dystopian reimagining for Superhero nerds. Surprising, violent, always twisting. Binge-watched in 2 days! So glad for a second season, though will be so impatient! Thumbs up.
1,035 out of 1,201 found this helpful. Was this review helpful? Sign in to vote.
Permalink","July 26, 2019 (United States)",excellent dystopian reimagining for superhero nerds surprising violent always twisting bingewatched in days so glad for a second season though will be so impatient thumbs up out of found this helpful was this review helpful sign in to vote permalink,POSITIVE
6,6,10.0,26 July 2019,"First it's just a very interesting take on the whole superhero genre. But there's also a lot more. Great actors, great storyline and very nice picture. I guess for me it's the best superhero series yet, followed by Titans and Umbrella Academy.","July 26, 2019 (United States)",first its just a very interesting take on the whole superhero genre but theres also a lot more great actors great storyline and very nice picture i guess for me its the best superhero series yet followed by titans and umbrella academy,POSITIVE
7,7,10.0,26 July 2019,Just finished watching the four first episodes. The pilot has to be one of greatest pilots I've ever seen. It has everything and I was hooked immideately. And it keeps getting better. I didn't know I needed this. It's really bold and a fresh wind for TV.,"July 26, 2019 (United States)",just finished watching the four first episodes the pilot has to be one of greatest pilots ive ever seen it has everything and i was hooked immideately and it keeps getting better i didnt know i needed this its really bold and a fresh wind for tv,POSITIVE
8,8,10.0,1 August 2019,With all these awful shows like supergirl and legends of tomorrow etc..The Boys is the perfect antidote to that insipid moralistic tripe that's spewed our TVs so thank you Amazon Prime for treating us like adults and I can't wait for the second season,"July 26, 2019 (United States)",with all these awful shows like supergirl and legends of tomorrow etcthe boys is the perfect antidote to that insipid moralistic tripe thats spewed our tvs so thank you amazon prime for treating us like adults and i cant wait for the second season,NEGATIVE
9,9,10.0,28 August 2022,"There's nothing more that I can really say about The Boys that hasn't already been said. It's just a flat out awesome show! It's easily become one of my favorite new shows in years! I binged the entire first two seasons in just a few days when they first came out and rewatched them again for the second time before Season 3 came out. I was expecting a little bit of a drop off for Season 3 because Season 1 and 2 were so great, and there is a little drop in quality but it's still a very good show! It takes everything you loved about Season 1 and 2 (the violence, humor, heart, craziness, character development, etc.) and takes it all to a whole new level! This show has such an original take on the Superhero genre that is both exciting and hilarious! I can not recommend this show enough! Just a warning though...once you start watching it it's hard to stop. Give yourself enough time because you'll want to binge it as quickly as possible!","July 26, 2019 (United States)",theres nothing more that i can really say about the boys that hasnt already been said its just a flat out awesome show its easily become one of my favorite new shows in years i binged the entire first two seasons in just a few days when they first came out and rewatched them again for the second time before season came out i was expecting a little bit of a drop off for season because season and were so great and there is a little drop in quality but its still a very good show it takes everything you loved about season and the violence humor heart craziness character development etc and takes it all to a whole new level this show has such an original take on the superhero genre that is both exciting and hilarious i can not recommend this show enough just a warning thoughonce you start watching it its hard to stop give yourself enough time because youll want to binge it as quickly as possible,POSITIVE
11,11,6.0,11 October 2022,"The Boys is one of the best Superhero shows I've ever seen. While Season 1 was the best season of the series, Season 2 and 3 were also both very good and absolutely worth watching. Season 3 was fantastic, Jensen Ackles was the perfect actor to add to this already incredible show! This show continues to amaze as it's not afraid to try new things and is a show that is definitely for adults. It has no problems being offensive and making you feel squeamish. You don't even have to be a fan of superhero shows to enjoy this. It's violent, funny, thrilling, etc.. Everything you want in a good superhero show. Season 4 just added Jeffrey Dean Morgan to the cast. Another great addition to an already incredible cast. I don't know what else I can say except I absolutely love this series and can't wait for more to come!","July 26, 2019 (United States)",the boys is one of the best superhero shows ive ever seen while season was the best season of the series season and were also both very good and absolutely worth watching season was fantastic jensen ackles was the perfect actor to add to this already incredible show this show continues to amaze as its not afraid to try new things and is a show that is definitely for adults it has no problems being offensive and making you feel squeamish you dont even have to be a fan of superhero shows to enjoy this its violent funny thrilling etc everything you want in a good superhero show season just added jeffrey dean morgan to the cast another great addition to an already incredible cast i dont know what else i can say except i absolutely love this series and cant wait for more to come,POSITIVE
12,12,5.0,5 July 2024,"Season 4 of The Boys is close to unwatchable.

Violence and gore are ok as long as they're justified and part of the plot, in season 4, it feels like it's there just to A, fill up the time and B, because the writers are simply deranged

But the biggest problem, as many other viewers point out, is that it is way too political

Hollywood and Hollywood-adjacent screenwriters and showrunners need to understand that the audience does not want political views shoved down their throat

I guess it's going to take a few more years, box office bombs and scathing reviews for them to understand it, but they'll get there in the end

hopefully.","July 26, 2019 (United States)",season of the boys is close to unwatchable violence and gore are ok as long as theyre justified and part of the plot in season it feels like its there just to a fill up the time and b because the writers are simply deranged but the biggest problem as many other viewers point out is that it is way too political hollywood and hollywoodadjacent screenwriters and showrunners need to understand that the audience does not want political views shoved down their throat i guess its going to take a few more years box office bombs and scathing reviews for them to understand it but theyll get there in the end hopefully,NEGATIVE
