Rating,Review_Date,Review
3.0,27 June 2024,
1.0,22 June 2024,"There's something to be said about a truly disastrous film, a film forever indelible in your memory because it's so uniquely bad, it can only be deemed an achievement. The sort of film where everyone involved was definitely trying to do something; it's just not entirely clear what. Agent Recon is that film.

How do you mess up this badly when you have Chuck Norris? Chuck Norris deserved better than this. Not sure where they found that lead, but he is a complete buffoon. This film is an insult to Chuck Norris and deeply upsetting to his fans.

There is nothing good to be said about this film, except that Agent Recon is a good example of bad filmmaking."
1.0,24 June 2024,"Agent 1 was so bad I laughed. Agent 2 had me cringing. Agent 3 had me whimpering in a fetal position.

With Agent Recon, Derek Ting continues his hot streak of destroying his own franchise, his own career, and the careers of others with a laughably bad vanity project that is a strong awards contender for Worst Movie of 2024.

I feel bad for Chuck Norris and Marc Singer for getting put into such a horrible mess.

Watching this was pure torture. Even the CIA would not force prisoners to watch this. The writing, acting, and directing are uncomfortably embarrassing. The try-hard, goofy protagonist has no star power and his action scenes were total cringe. Each movie just makes him a bigger laughingstock.

Not worth watching, even if it's free."
1.0,22 June 2024,"When you write. Direct, and bill yourself above Chuck Norris, you know you're making a horrible movie that's soul purpose is to stroke your own ego.

I only watched this because I saw Chuck Norris and Marc Singer were in it, but there was no saving this disaster.

Chuck Norris and Marc Singer deserve better. I honestly feel sorry for both Chuck Norris and Marc Singer that they're in such a bad place that they now have to act in movies like this.

If you want to be an actor so badly that you have t write, direct, and star in your own movie, please do not get famous actors to be in your film. It hurts them and made you look bad as well."
1.0,22 June 2024,"I was honestly looking forward to seeing this movie mainly because of the one and only Chuck Norris. I was trying to decide if I should rent the film or watch for free on a pirated website. Of course chose the pirated. Sat back as the film started. 12 minutes go by and honestly I had no idea what the hell was going on. No sense of direction and the lead actor Derek Ting (who is also the director and writer) was just godawful and annoy. The antagonist was laughable. The random kills were hilarious. The editing was choppy. Chuck Norris was in the film for about 10 minutes and didn't do anything till the end which was honestly the good thing about this mess. Wish I tuned out after the 12 minutes went by. Dear Derek Ting, please never make another movie."
2.0,28 June 2024,
1.0,26 June 2024,"I had such high hopes!

Amazing actor Marc Singer together with legend Chuck Norris!

It should be a success!

Marc Singer did a fantastic job in the TV-series ""V"" as Mike Donovan back in the 80s, and Chuck Norris was one of the 80s greatest in everything from Delta Force.to Walker Texas Ranger!

In fact they have both done so many great things in so many productions since then, that this should be a walk in the park!

But, no. No, no, no!

The acting is just so bad! And I am not writing this as a movie critics opinion, I am just comparing to their previous roles!

And of course it is all due to the directing!

I love these actors and I feel so sorry for them having to team up with director (writer, actor) Derek Ting in this movie! Or should we say student film? The credits show only ten (10) people and one (1) voice-over. Also, the writing, lighting, cgi and music score all seem to be done to confuse and worsen the movie!

This movie is so bad that is...bad!

If for some reason you still want to see this, make sure you have very, very low expectations and you might somewhat enjoy it!"
1.0,27 June 2024,"I usually don't review films on here, but I had to voice my disgust. The acting is absolutely horrible. Chuck Norris is literally sitting still and talking like he is reading straight off a script for most of the movie. Then toward the end he stands in the middle of the open shooting a minigun he is holding, which is magically shooting endless bullets despite not having any ammo belt feeding it. Then he starts punching and kicking the bad guys just like any cranky 80-something year old man would. Almost the entire movie takes place in one compound out in the middle of nowhere. It is like some school kid wrote this script and directed this movie for a school assignment. I don't think the SyFy channel will even ever show this, which would say something."
1.0,29 June 2024,"I truly can't imagine why Chuck would even allow himself to be seen in this. The level of acting is below that of earthworms.

One of the worst films I've ever seen. Storyline is complete garbage. Fighting was so predictable and unexciting. It puts the term science fiction to shame by the lack of imagination and attention to detail. There's no unpredictable outcome that keeps you in suspense.

I fell asleep several times through this and will use it again if I have trouble falling asleep some nights.

I can't even think of other ways to describe how bad this was. What a complete waste of time it was to watch!

Don't watch this!"
2.0,29 June 2024,"Sometimes I like to watch movies that have a score of 3 or lower out of 10, just to see how terrible it is. How bad can it really be? I never believe a score can be that low and each and every time I go yeah that movie deserves it. I've seen a few movies like this now, and a lot of them have one thing in common that helps them all seem to be churned out by the same terrible movie factory. No it's not the bad acting , choppy editing, repetitive scores, even more bad acting and nonsensical writing. No, what they have in common is the protagonist, writer, producer and director are all the same person, instead of doing one thing well, or at the very least adequately, they do multiple jobs terribly. This may seem mean, but I don't think there is anyone else to blame, he took all the jobs. With only a handful of reviews it is possible that Derek Ting will read this, but really it doesn't matter because it won't discourage him from doing what he does. The idea that he can go around and tell people he's an actor, director, writer and producer irks me a little but what can you do? Irks me a little but what can you do.

2/10 because at least the camera was in focus and the audio was clear."
7.0,1 July 2024,"It's your heart out 60-year-old Plus martial artists who are still making films and we all wonder why - you know who! Here's Chuck Norris at 84 still looking good and it's amazing isn't it? Although not in the starring role and obviously not""his"" movie it's so great to see him after a few years and the movie itself is entertaining. Decent fights, decent scenery, decent story - what more do you really want? Good guys win over bad guys - gun fights, military stuff; earning really it's a decent mediocre action film. I don't know why it's not even a three - people need to quit beating up hard working actors and writers and give people a break and be more tolerant of other people's talents! A fairly fresh story, some fresh faces, I just don't know what's wrong with this movie I mean these are the same people that will sit happily through so-called celebrity reality and be thoroughly entertained and just a perfectly good action film like this. It just doesn't make sense to me. Give it a chance! And see this wonderful 84 year old man who has given so much to the entertainment business in what could be his last performance."
1.0,30 June 2024,"My son and I watched this because we are big Chuck Norris fans. We should have trusted the other reviews. Not only did the plot make almost no sense, it seemed to forgets on plot most of the time. You learn at the start that bad guys can only be killed with shots to the liver (so not a spoiler IMHO) yet most shots seem to be to the shoulder. Camera work really enjoyed lots of close ups over and over. They are in the desert, no it's forest mountains, I mean a cave, what? It just made no sense. Acting was average but hard to tell since lack of a plot tended to distract. Green screen was glaringly obvious, especially at the end."
