Rating,Review_Date,Review
5.0,15 March 2023,
3.0,15 April 2023,"Granted, I didn't really have any particular high hopes or expectations to the 2023 movie ""The Park"" from writer and director Shal Ngo, as I sat down to watch it. Sure, I hadn't heard about the movie, but after having read the synopsis, it sounded like a very bland run-of-the-mill movie with a storyline that has been done and seen before.

But still, I opted to sit down and watch it, as I might perhaps be in for something great here, though it hardly would seem so.

And I wasn't in for anything grand. I have to admit that I found the storyline in ""The Park"" laughably boring and ridiculous. It was, as I had believed, just another movie that uses the trope of all-adults-in-the-world-are-dead. It has been seen and done before, and writer and director Shal Ngo didn't exactly bring anything new or thrilling to the game.

I wasn't familiar with the cast ensemble, but the acting performances were fair enough, despite the fact that I abhorred the storyline and script.

Truth be told, then I didn't finish watching ""The Park"", and nor do I have any intentions of returning to attempt doing so, because the storyline utterly failed to entertain me.

My rating of ""The Park"" lands on a three out of ten stars."
4.0,24 April 2023,
2.0,17 March 2023,"The story drags out over the short run time, kids playing adults just doesn't play off the same. Find it's extremely hard to belive , and I really can't tell if the acting is bad or if it's just such an unbelievable and boring premise that it just plays off this way.

There are no answers to any questions you might have over the actual plot events, like what happened and why. But that isn't really important anyways because no one is even likeable in this story- I kind of just was hoping that everyone in it would die because it's so ridiculous.

Save yourself some time and forger this trash even exists !"
1.0,17 March 2023,
2.0,19 March 2023,
1.0,30 March 2023,"All adults are deadfrom a mystery virus. Only the children survive and they have an expiration date. Hit puberty and they die.

Interesting premise. Right. Could be good......wrong.

Firstly I can't really imagine this generation would survive long if this happened now. Just saying. Over sensitive cancel culture kids or those identifying as a toasters and pondered to wouldn't prepare them for a world without adults let's be honest.

Silly film really. Can't make mind up what it wants to be. Dark or tweeny.

Kids murdering each other....dark. With machetes darker..... but don't see anything at all and more about clichéd tweeny drama.

Too tame to be horror or an adult apocalyptic film with too dark theme for sensitive little kids of today. 🤷🏻 I was hoping for more of an intelligent Lord of the Flies type film. This is nothing as cerebral.

Potential Violence yet that never really happens l Or seen, frustrating. They try to make it tense and threatening and gritty, kids swearing and welding machetes but ultimately is so tame it's kinda embarrassing!? Why not just commit to one or the other. Maybe the tweens will enjoy it but as soon as past puberty I wanted to die than continue watching. But I did. And the ending was lazy and abrupt.

It tries to be philosophical and deep but its just kinda embarrassing how much it fails to achieve anything. A pointless endeavour."
7.0,25 March 2023,"Adults are dead and now it's Lord of the Flies at the theme park.

From frame one you know this is gonna be a really bad movie. Real bad.

The acting is horrendous. Actually, there is no acting. Just kids reading lines.

The entire concept of the film is dumb if you think about it for 10 seconds. There is no direction and the writing is idiotic.

The only saving grace is that it runs under 90 minutes. You should run away. I can't get that time back now.

The bottom line is....who paid to make this garbage? I hope they are feeling duped and never put up cash to support this horrible writer/director again."
8.0,21 March 2023,"I don't understand the low ratings. I actually love this! I love the story. It's very indulging. Makes me think how am i going to be in this situation where i am a kid again and had to deal with fellow kids.

It's a beautiful story of friendship, being tough and young love. The lead female was so good. You can feel her sincerity when she's crying.

This movie will take you back in time and make you reminisce your teen years and your first love maybe.

I love the shots, the natue, the sea. The scenery captured the lonely vibe of the film of surviving.

My only problem with this movie is it's very short. Only a little over an hour. But it's worth the watch. Not top notch but definitely not trashy. Deserves more than 5."
7.0,22 March 2023,"Stop with the superhero movies already!

My first impression seeing the previews was that this would be like Lord of the Flies in an amusement park. Once I got into the movie, the setting and the soundtrack played very well into the story of kids struggling in a dystopian world. The story is straight forward with some nice up and downs. The fact that they used lesser known actors (at least to me) was very refreshing because the movie banked on the story, setting, characters, which I loved. Overall, a very well made movie. I look forward to seeing more movies with these actors and by these writers."
10.0,5 July 2023,"Of all the people talking about bad acting or bad story, I'm not sure we watched the same movie. This is a movie with 99% child actors so expecting Oscar worthy performances (I found their acting to be better than average, and 100% better than the really bad movies that are constantly released, e.g. Cheap version of what's about to come out in theaters.) The premise of the movie was decent; how would kids who haven't reached puberty survive in a world without adults. Maybe others are disliking the movie for it being a female protagonist that is stronger than her male counterpart? Just a guess there, anyway....

There are a lot of routes this could go but this movie decided to somewhat focus around an amusement park. It didn't seem to be a primary focus of the ""Neverland"" the plot description implied so it kinda failed on that route. Regardless the movie does a good job of portraying a world where per-pubescent children have to survive. I enjoyed it and very much was not a waste of my time."
10.0,7 April 2023,"The cinematography, locations and plot were top notch. The premise and plot was interesting, although it wasn't the focus of the story.

The trailer is kind of misleading. Don't expect a horror, survival or action film. Think more of a indie character study rather than a plot driven film. The film can be dark due to it being post-apocalyptic but the kids balance it.

This film covers topics of humanity, survival and empathy. It's unconventional and kinda keeps you guessing on what will happen.

The writing wasn't bad. The dialogue is believable, which most writers struggle when it comes to kids but Shal Ngo did a great job with a nice message at the end.

Most of the reviews that are hating on this gem seem to be miserable boomers who are literally ""kids these days"" wouldn't survive... It's a fictional film... get over yourselves.

The acting is probably the weakest aspect of the film but it's kids. Some of the kids over act but it's bearable. The main character Ines played by Chloe Guidry is surprisingly well done and subtle. Kuan played Carmina Garay seemed to be over expressive but it kinda fits her character. It does drag towards the middle.

I had to give this film 10 stars to out weigh the unnecessary hate. But the film is probably 7/10. An above average film that made me remember the wonder and hope of being a kid."
5.0,3 April 2023,"This world rotates alongside what you believe, you define it as a cruel place where every kids kill others to survive until they grow up and die, or you can believe it as an amusement park where all kids can enjoy themselves and stay naive!

Faith needs motive, which in this story, is the pursuit of immortality, the hope of doing something from being forgotten, the courage of entering eternity without worrying about the actual harm & threat of death.

The reality is, believing can't prevent the virus to take away life, but it was so precious that survivors can use such belief to summon more of their kind, which is such an romantic reflection to reality."
