Rating,Review_Date,Review
4.0,30 May 2020,One step above parody. Without question it's the worst in the franchise.
4.0,18 September 2018,"The 'Predator' film series is a mixed bag, with the best being the 1987 film (a great film on its own) and its follow-up, the only great ones from personal opinion. Was actually really intrigued into seeing 'The Predator', despite hearing numerous bad things about it, and saw it anyway with an open mind. Just to make that clear in answer to the condescending accusations made by those defending the film without taking into account that those who didn't did see the film and simply didn't like it legitimately.

Can totally see why many were disappointed and share a lot of the criticisms directed against it. Didn't think it was that bad and it had its moments and decent assets, a 1-star film 'The Predator' isn't. Although towards the weaker end ranking films from 2018 seen, it is not one of the worst, being better than 'The First Purge' and 'Slender Man'. It's not a good film, hugely disappointing in fact, and has a lot of issues. As a Predator film 'The Predator' is a disgrace, but as a standalone film judged on its own terms it also doesn't work.

Before getting on to the faults, 'The Predator' has good points. It looks good, very slick and atmospheric with some of the effects being great and imposing.

At times, the action is fun and edge of your seat, contributing to the occasional glimpses of tension and excitement lacking elsewhere, with cohesive choreography and spectacular stunts. The film also begins promisingly, zippy in pace and quite thrilling.

When it comes to the predator, it is scary and imposing enough, as are the other creatures and their methods, and the gore does disturb and doesn't feel too gratuitous.

However, Shane Black's direction is constantly wayward and fails to generate much momentum, personality or clarity of storytelling. The character chemistry is not very natural and excepting perhaps Jacob Tremblay the acting doesn't seem very engaged or at ease. The characters are sketchy in development, are very difficult to get behind and their credibility is zero. There is effort to develop them, but through very clumsily written, superficially soap-operatic and blatant exposition that doesn't always feel necessary, adding nothing to the story or characters and failing to intrigue.

On top of that, the story, as well as being slight and at times sluggish, is far too complicated and busy which makes some of the film very hard to follow and at worst incoherent. There is lots of chaos and noise on the surface but no brains or soul underneath, while there is very little tension, suspense or surprises, relying on the action to make the film watchable which it marginally does. The atmosphere generally is bland and doesn't evoke enough scares, not enough to bite the nails anyhow. Nothing memorable about the music and the basic concept doesn't feel that much evolved, having not enough freshness, and it is too forgetful of what made the franchise at its best so great and too cheesy and bland to be a tribute or throwback.

It is the script that comes off the worst and nearly single-handedly brings 'The Predator' down, bad enough to warrant its own paragraph. It is far too talky in the exposition, it rambles often pointlessly and sometimes with not much cohesion, plausibility is as non-existent as the credibility, there is excessive sentimentality in spots and muddled moments and worst of all the over-reliance of humour. Next to none of the humour works which is a massive problem, it is eye-rollingly cheesy and not placed or timed very well too often, also being repetitive and distastefully vulgar.

Overall, not awful but mediocre. 4/10 Bethany Cox"
5.0,11 January 2019,"Predator killer? Franchise killer...then again it died after Predator 2. As an original fan that has got to be the biggest, most disjointed load of tripe l have ever witnessed. I don't want to watch Aliens or Predator as a comedy. It's meant to be an action sci-fi horror. I'm not sure what Shane Black was trying to do here but it was awful and he should never be allowed near the Predator movies again. So much potential to be great but sadly a steaming pile of disappointment."
2.0,17 September 2018,
6.0,25 December 2018,"I went into this movie trying my best to stay objective and take it for what it was. And I enjoyed it as a sci fi action movie, it wasn't bad. No where near as bad as some of the more fanatical fans seem to think it was here.

Acting was good, screenplay was good, pacing was good. Story was actually not that bad neither. Unless someone wanted to try and challenge the original in terms of plot, there's not many options that works, this kinda did work.

If you ignore the more crazy fans that like to bash on anything that's not on par with their own opinions, you'll enjoy this film.

People don't seem to understand that rating 5 out of 10 is ""watchable but not for me."" ratings. Yet there's individuals out there that give perfectly alright movies 2 and 3 stars just because they can't give objective opinions even if their lives depended on it.

But I digress.

The movie was a excellent action movie, a great sci fi movie and a questionable Predator movie. So how should we base the rating then?

7/10 action movie. 7/10 sci fi movie. 5/10 Predator movie.

Final verdict = 6/10"
3.0,21 November 2018,It is a parody of Predator. Don't expect science fiction or story line just a poor action comedy film.
6.0,2 February 2019,"I'd heard nothing but bad things about The Predator, wall to wall hatred and mockery. It was even suggested that it was one of the worst movies of 2018 and comparable with the messy AVP movies. Going in I was forced to have low expectations, and I firmly disagree.

Let's make something clear, I am not saying The Predator is a good film because it simply isn't but worst of 2018? Absolutely not. It's just a badly flawed addition to the franchise yet manages to be oddly loyal at the same time.

So a Predator comes to Earth but this time the government is ready for it. Cue lots of action, blood shed but a pretty wafer thin plot that doesn't exactly go anywhere.

With a stellar cast including Thomas Jane, the stunning Olivia Munn and the excellent Keegan-Michael Key it had no problems on that front. Okay actually I retract that, the leading man Boyd Holbrook is less than impressive and just wasn't up to the task.

With an odd amount of comedy and levity The Predators tone isn't exactly in keeping with the original movies yet manages to solidly feel like a Predator film thanks to the original score and franchise tropes. I loved the first movie, I thought the second was passable and hated the third but this right here is underwhelming yet perfectly watchable despite the lashings of Hollywoodness it has.

Sure it's goofy and badly flawed but I'm not sure exactly what everyone expected. There are certainly a lot of problems with the film, I'd have liked it to be darker, I'd have liked it to be longer and I'd liked the original Predator to have gotten more screentime.

Regardless despite it's many many problems it comes under the category of harmless take your brain out fun.

The Good:

Loyal score

Some great nods to previous movies

Quite a few very funny moments

Decent cast

The Bad:

Lacks elements that should be essential for a Predator movie

Naff ending

Much of the cast feel wasted"
1.0,9 October 2018,
7.0,12 September 2018,"So how many Predator sequels have there been? Not counting the ""vs."" films, it's at least two, all of which have tried to re-work a very basic premise that worked cause it was basic.

Now Shane Black, a screenwriter who has written some of the best action comedies ever, and Iron Man 3, tries to do the same in what amounts to a fun action flick, but a pretty average Predator one.

The plot all concerns a rogue predator who escapes his planet with a stolen object, which other predators on his planet want back. The planet where they all crash land of course is Earth.

Sterling K. Brown is a military official who will stop at nothing to acquire the technology first and Narco's Boydd Holbrooke is a decorated soldier who along with a team of misfits tries to stop him.

This is all taking place after the events of Predator 2. There is even a character played by Jake Busey who is playing the son of the Gary Busey character from that movie.

Black tries to swing for the fences in terms of a new story to tell but it's pretty obvious this movie works best when it's working on the hits. Sometimes you just wanna sit back and watch some gore.

Bodies gets severed, people get thrown across the room and clawed in the face, impaled, heads will roll.

What highlights the fun here even more is Black is a funny director who knows a good laugh when he sees one.

A scene with a severed arm, an ongoing dialogue about why we call the predator ""the predator"" in the first place. Just examples of how Black is very adept at visual comedy and snappy lines.

He's very good with characters too, not so much developing them here but giving them a chemistry that is irreverent lunacy.

Holbrooke and his whole crew, particularly Keegan Michael Key, Thomas Jane, Moonlights Trevante Rhodes kinda reminded me of the A-Team. These guys are total section 8's and I loved each one.

In fact better than the A-Team movie. In fact, i'd like to see Black do an A-Team movie with this cast.

Brown gets some of the best dialogue and Munn is actually quite good here too. Jacob Trembley and Alfie Allen are a bit wasted but the cast is having fun.

There's something off about this movie though and it involves the predators. This movie almost seems like a Sterling K. Brown vs. Holbrooke and his crew movie more than a predator film.

There's no real joy in the hunt cause for the most part they seem to just be making periodic appearances into the story of human vs. human.

In fact this movie actually had to reshoot it's entire third act because of poor test screenings and you can tell because the last act does pull a sharp detour, taking us into the woods for some incognito Predator action.

It almost seems like Black wanted to make this such a new concept that the very nature of why people like the predators in the first place sort of gets lost.

I still contend this is a funny, action-packed flick and I liked the characters too. Even the predator action, when its on screen, is good. Just you may not get enough of them as you might want.

If you liked this, check out Craig James Review on Youtube for more."
1.0,17 September 2018,
8.0,5 October 2023,"Although this is not along the same lines as the original, it is worth a watch. The acting is good, the plot is ok, but what makes this movie work for me is the humor. I found myself laughing out loud at times. They may have been better off billing this as a horror/comedy. It's not Oscar worthy, but for a Saturday night and some popcorn; it's fine. I actually found this movie more interesting than a lot of the other Predator movies. I assume that some will find some of the humor distasteful, maybe even offensive at times; however, most funny things are vulgar to someone. For those that say the plot is not realistic, surprise-it is about a race of aliens that visit Earth to hunt people as trophies. It is a Sci-fi/horror movie, not a documentary."
7.0,12 January 2021,"I first saw this in a theatre in 2018. Revisited it recently.

This is the fourth in the Predator franchise and it has nothing to do with the previous Adrien Brody one.

This time a U.S. Army Ranger sniper disables a Predator and has parts of its armor sent off by mail to prove the existence of extraterrestrial life thereby putting his son's life in danger. The sniper is aided by a group of PTSD-afflicted soldiers and a scientist, who all team up to fight off Predators and discover their plans for mankind.

This one has lots of action n gory moments, some good character development without sacrificing the pace. It is no doubt an entertaining action flick but Predator movies shud have dark n serious tone. I liked the characters but their jokes were silly.

Looking forward for the fifth one which is set during the Civil War. Hope for some good showdowns.

Can someone tell me how Brackett manages to arrive at the crash site n that too so soon?

Can someone tell me what happens to Lynch? The Predator severs his arm with his shoulder cannon. We don't see him get killed by the Predator, and it's interesting to note that the Predator was originally aiming at his head, then moved to sever his arm. If the Predator didn't kill him.....

The Predator's shoulder cannon is known to cauterize wounds?

The scene at Emily's house - the predator kills the agents but dont kno why it spares Emily. Some may say that Emily wasn't armed but so were the scientists. The main problem here is not the sparing of Emily. It is about the editing. The scene darted off to another one without any explanation."
3.0,6 June 2019,"I guess the main question is why. Why did they make this sequel? Why was the story so bad? Why were the characters so bad? Why did they take a classic movie and dump on it? More importantly, why did I watch it?

Everyone believes they need to put a new spin on things as though movies need an upgrade. Shame on you Shane Black. Yeah, you added more flash, more bang, more action, more everything but it lacked other more important things: quality, character, uniqueness.

They tried to incorporate too many characters, too many fields of expertise, and too many variations of the original. It just ended up being a dismemberment orgy of red and green blood with tons of one-liners, quips, and inept government henchmen. It was terrible.

In an attempt to be bigger, badder, better it came off as a cheap cash grab trying to profit off of the sacred name of a legend. I watched. I didn't pay but I watched. I knew better but I thought just maybe... A guy can wish can't he?"
2.0,23 September 2018,"Completely took the beauty away from this graceful monster. In a nutshell, it's so confused. Is it a marvel film is it a kids film or is it a genre film. The script is horrendous even though I did laugh, but that just made me sad. The characters are just, well pointless. There's zero suspense. There is some good ideas in there but nothing to redeem it. Why are studios so scared to just slow down and make a descent horror film. It's the predator fgs how can you screw this up, And a cgi predator that's just the worst way to go. If your not a fan don't bother if you are a fan definitely don't bother. Very very disappointing."
7.0,16 September 2018,
1.0,11 August 2022,"I'm 35 so too young to have been around when the first films came out, but I've always liked them.

This movie is the first one I've wanted to rewatch, multiple times. Am I dumb enough to find it entertaining? Maybe.

But I genuinely do not get the hate! It's a really fun movie. It's great escapism. It's much more fun than the others, but I suppose it's quite a tonal shift. Maybe that's it?"
6.0,17 September 2018,
1.0,24 November 2018,"Am I the only one that actually enjoyed this movie? Was it even in the same league as the original predator? Hell no. But the special effects were great, the predator looked amazing, the action was entertaining, the acting was okay, majority of the attempts at humour were cringy, and there was little to no tension. BUT I enjoyed it for what it was, a B flick monster popcorn movie. I guess my expectations weren't that high, I knew what I was getting into."
7.0,13 September 2018,"Like everybody else back in 1987, I was really impressed by Predator. It was pretty simple and straightforward movie, but it introduced a pretty neat and unique concept and, well, there was something special about the atmosphere. ""...the jungle... it just came alive and took him."" It was awesome. Unfortunately, sequel suffered from some seriously poor writing, while Aliens versus Predator franchise turned out to be a complete disaster. Everybody knows that and everybody wanted Predator franchise to return to its former glory one day. That's why I had some hope for this one. I seriously did. That's why I bought a ticket and went to see it the day one. I really expected to see a good Predator movie. I mean, there was no way they'll make a bad movie after all those big expectations, right? RIGHT? Well... I was naïve...

Long story short, the new Predator is EXACTLY like AvP. Only worse. Wa-a-ay worse. 999x+ times worse. Remember the first AvP movie? Remember how at the beginning it at least tried to create some atmosphere, but ended up with that girl fighting together with Predator in a very silly way? In this movie it's that exact silly stuff from very beginning and until the very end. It's so silly that it doesn't even feel like a real deal. It feels like a cheap comedy. A parody. A B-movie with AAA budget. The movie tries really hard to be like Deadpool, but the problem is... it shouldn't be like that! I mean, come on! Predator was supposed to be a mix between horror and sci-fi. With deep atmosphere. With suspense and a man versus alien in a brutal battle. Add Deadpool-like jokes about genitals and BOOM! The entire thing is ruined. Just like that. The entire audience laughed through the entire movie, can't argue with that. People like Deadpool's jokes. Not me, but... you know... as long as audience love it... If all you want is some cheap laughs, this movie has them. A lot of them. It's literally MADE of them. The entire movie is, like, one... big... JOKE. My problem, though, is that nobody warned me about the fact that this movie is a parody. It was advertised as a real deal, a big comeback, which turned out to be a cheap parody. Why? I mean... WHY???

Also, unfortunately, jokes are not the only problem here. Even though 2/3 of the movie are just that - dirty jokes. The thing is - the entire writing is bad. The entire IDEA is bad. It feels a lot like E.T., only E.T. is Predator now and kid's father is Ash freakin' Williams.

Talking About Evil Dead. Remember Army of Darkness? That's EXACTLY what this movie tries to achieve. And there are three problems with that. First: Boyd Holbrook is not Bruce Campbell. He doesn't have that thing that allowed Bruce to do his thing. He doesn't have that crazy spark in him. And as the result - his character feels absolutely, completely RIDICULOUS. Second: writers have no clue how to be crazy with style. Evil Dead franchise had that. This movie? Nope. It tries. Hard. Way too hard. But still... nope. And, finally, there was no reason to turn good ol' Predator into the Evil Dead. Evil Dead is good. Predator is good. Mix them together and here comes disaster.

The new Predator is something that may work for you at home, when you're way too drunk at your weekend to enjoy something real. When all you want is something on background with some cheap laughs, while you're eating your pizza and drinking your beer... this movie will do. Like any B-movie. Like Sharknado. But as a proper Predator movie... on big screen... for the full price... It's a disaster. Did I tell you that 3D also sucks and pretty much useless here? No? Well, it is. The new Predator is one of the very rare movies that totally made me regret paying for a ticket. Even as one time movie... it doesn't work. Back in the days, I believed that it's impossible to be worse than AvP. The new Predator proved me wrong. Ladies and gentlemen... here comes the very new bottom for the franchise.

P.S. There's one good thing about all that, though. It makes Predator 2 to look like timeless masterpiece."
1.0,16 September 2018,"Saw the movie last weekend. Was surprised about the bad/unfair reviews therefore decided to leave one of my own. It's an entertaining movie, funny, good acting, no glaring plot holes. Was well worth watching. I did not realize there were so many die heart predator fans. Sounds like they wanted more of the same. This movie isn't your typical predator movie, but in my openion it makes it more not less appealing."
8.0,26 November 2018,Feels like a 12 year old wrote and directed this nonsensical rubbish
6.0,12 September 2018,"Keeping my review and simple because I want you to watch yourself.

The Predator is definitely your typical Shane Black movie filled with typical Shane Black writing. However it is definitely not your typical Predator movie. Whether that's good or bad, it's entirely up to you.

I liked it."
1.0,10 September 2018,
2.0,25 November 2018,
7.0,18 September 2018,"It was like watching a sequel in a franchise when there's been 10 previous films and they were out of ideas. The location was wrong, the characters were wrong, the story was wrong, everything was wrong. It was very childish, every line in the film was trying to be funny. A kid had a major role...really? A kid? I thought I was watching a Disney film. The CGI was terrible, I felt I was watching a cheap TV series. It was funny at some points but it really is a bad film overall. The real Predator looked amazing, great suit and animatronics, but the CGI predahulk was terrible. I was gutted watching this😪😪"
