Rating,Review_Date,Review
7.0,30 May 2017,"I don't review movies too often, but when I saw all the horrible reviews for this movie, I felt the need to write my own. I have a feeling that most of the people who rated this movie poorly haven't seen the movie at all (like a lot of ratings on IMDb) or just have no sense of humor at all. Is this movie action-packed? Yes! Does the movie include a lot of dick jokes, bouncing boobs and swearing? Yes! Did I enjoy the movie? Oh yeah! Will it be an Oscar winner? Of course not! It's not that kind of movie. People take things too seriously.

If you liked Baywatch like I did, check out Zac Efron in Dirty Grandpa and Dwayne Johnson in The Other Guys."
7.0,22 February 2023,"My review for this movie is sort of late as I had zero interest in viewing it when it came out. The trailers looked silly, bad, cringy so I skipped. Now, almost 6 years later it has come to pass that there was nothing better on the TV, so I gave it a chance.

Is the movie Bad? Yes. It is very selfaware though, over the top, silly and dare I say... fun. The movie is just ridiculous in a good way, making fun of but also tributing the original series.

The plot is simple, the actors are just having fun on set. The CGI is laughable, but I believe on purpose. There is a part with a rescue from a burning boat. The flames look so fake that it was funny in it's own right (sharknado level CGI in fact).

Do not expect inteligent humor, do not expect a well thought out plot, effects or acting.

In fact, this movie is probably best consumed with a group of friends and a side of alcohol. I went into this movie with absolutely zero expectations and came out pleasantly surprised with how much I was entertained."
7.0,24 July 2019,"I can understand a bit why you guys rates it that low. You probably wanted a good plot. When I walked into the theaters I expected 3 things: Muscles, macho and action. It's not about the plot. It doesn't matter with a cliché-plot, because It's all about what I mentioned. Watch this movie again, and focus on those three things. I loves Baywatch because of these things!"
2.0,24 May 2017,"It's fair to say that Baywatch was never a great television show. Sure, it was popular but for reasons very different to it actually being a quality show. It was trashy as hell and combined slow-motion with a number of scantily clad supermodels running down the beach in bathing suits so no surprises at all that it attracted viewers.

There seems to be a bit of a trend in reviving franchises that were popular back in the 80s and 90s, and right now, it was the turn of Baywatch. Quite why is something that I'm still scratching my head about.

When Mitch Buchanan (Dwayne Johnson) butts heads with new recruit Matt Brody (Zac Efron) over how to run Baywatch, they uncover a local criminal plot that threatens the future of the bay.

As soon as the film started and we see Dwayne Johnson saving someone before Baywatch rises from the sea in giant letters behind him, I immediately thought this was going to be exactly what a Baywatch film should be if it was to be successful. A self aware comedy made as a parody of the show, in the same way that made the Jump Street films such a critical and financial success.

We get flashes of that formula however, for the most part, Baywatch is just an awful film. Painfully unfunny and not one memorable action sequence means it utterly fails as the action comedy it set out to be, and with a runtime of two hours it becomes one hell of a slog to sit through.

I tried to enjoy it and take it for what it is but the problem is I just can't do that when there seems to be no effort into making the film funny, particularly when watching a comedy. Literally every other joke is a dick joke, including an overly long joke about one of the new recruits getting their dick stuck in a deck chair. I knew it was going to be silly and I didn't have high expectations at all but sadly they weren't even met.

Coming to the performances, Baywatch is absolutely lifeless. Even Dwayne Johnson or Zac Efron, who has shown good comedic timing before, can't save this from becoming the absolute car wreck that it is. Alexandra Daddario, Kelly Rohrbach and Ilfenesh Hadera are sure nice to look at but the film fails them totally in giving them anything interesting to do, Daddario in particular who is actually quite a talented actress. Then there is Jon Bass who delivers an irritant of a performance as he hopelessly lusts after Rohrbach's CJ Parker. I felt embarrassed for them as they had to perform such a terrible script.

I won't even waste time in talking about the pathetic cameo that David Hasselhoff makes in the film. All I will say is what a waste of a cameo that had much better potential if they'd actually stopped to think about it.

So there you have it, Baywatch is an awful film that fails as both an action and a comedy. It's already one of the worst films I've seen this year and I won't be surprised if it's still up there come the year's end."
6.0,26 May 2017,"It's a warm, beautiful day on the beach. The pristine waves crash gently against the sand as the sun-kissed folk of Southern Florida come out to play. Lifeguard Post 1 stands like a sentinel - its windows permanently cocked forward towards the horizon. There's a change in the wind. A wind surfer looses control of his sail and is catapulted upward towards the sky before plummeting, head first into a coral reef. He's knocked unconscious...all seems lost. Then Mitch Buchannon (Johnson) appears on the scene.

What results is a valiant rescue that inexplicably involves slow-motion running, Dwayne ""The Rock"" Johnson flexing his pectorals underwater, fireworks and dolphins for some reason. The movie could have stopped right there as by that point we got the best version of what could have been the cinematic version of a far-fetched TV show. Unfortunately the first fifteen minutes aren't so much a harbinger of the hilarity to come but rather a visual metaphor for the movie's inflated sense of self.

The film energetically sets up its main characters with all-too-brief introductions on tryout day. We immediately endear ourselves veterans Stephanie (Hadera), C.J. (Rohrbach) and Mitch as they judge incoming trainees the tough and brainy Summer (Daddario), the dorky Ronnie (Bass) and disgraced former Olympic swimmer Matt Brody (Efron) whose ego Mitch sees as a liability. Much of the film's prouder moments are spent with The Rock and Efron doing what they do best; The Rock deflating Brody's ego with real-deal charisma and action hero one-liners - Efron playing the dim-witted, put-upon jock who deserves everything he has coming to him because he was in High School Musical (2006).

But just when you think everything will turn out for this movie, the narrative drastically shifts to a crime story that stops the movie's momentum cold. The narrative thrust involves the new owner of the beach's fancy yacht club (Chopra) and her suspicious connection to a new designer drug called Flaka. The rest of the movie doesn't so much spend time exploring that connection or its implications (Chopra compares herself favorably to a Bond villain pretty much from the get go) but instead it lays every aspect of the conspiracy out on the table and waits for the lifeguards to connect the dots.

This ploy not only doesn't work but it basically splits Baywatch into two completely unsatisfying pieces. The first piece brings a diversity of comic set-pieces which on their own, probably couldn't make a good sketch on Key and Peele (2012-2015). They lack a depth of character requiring one or two of them to be more gullible, less resourceful or otherwise dumber than what was previously established.

The other half of the movie plants its flag firmly on The Rock's ability to recap what we already know while Priyanka Chopra chews unhelpfully on the scenery until the timer runs out. All throughout the film drops hints that you should care about this or that - an insert shot of a watch brings more pause than a fiery boat rescue. Yet because nothing new is ever revealed, the film's call for attention becomes soporifically annoying.

The overall tone of the film is also aggressively reductive, treating the, in retrospect quaint misogyny of the original series with an uncomfortable amount of contrarian glee. Every time one of the girls of Baywatch justifiably call out the boys for being pervs, the payoff by the end of the film amounts to nothing more than quid pro quo ribbing or worse - they end up with the dude at the end. If Baywatch had just treated the subject as window-dressing, I might have been inclined to let it go (after all trash TV is trash TV). Unfortunately the movie stops just short of waving its d**k in the air while saying ""you think we're being sexist, f**k you bruh!"" Thus I think its worth a brief mention.

Baywatch has all the necessary ingredients to make a pretty satisfying comedic soup. Unfortunately apart from The Rock and Efron standing out as the film's sole saving graces, everything else is squandered on a useless story, oblivious editing and a unifying tone that's unnecessarily combative. Unless you're the type of person who truly believes Kelly Rohrbach's slo-mo runs along the beach are enough to maintain your attention, I suggest skipping out on this aggressively unfunny movie.

On a related note: Stop with the dorky guy gets the hot girl for doing nothing cliché. It's been done a hundred times before, you're bringing nothing new to the table and it's come to the point where if you do it at all it just feels icky. The Sam Witwickys of the the world should have to, you know, work for it now."
2.0,7 February 2020,Not that the original was a masterpiece but hell this is way too bad....
7.0,30 May 2017,
2.0,26 May 2017,"When will Hollywood comedies of this decade hire writers who at least have a clue of comedy? Why hire immature morons who think the idea of a dick is funny and can replace a good script. Hollywood seems to be obsessed with male nudity and full frontal at that in this decade.If it is in the right context it could be funny but haven't seen one this decade. What happened to the writers of 40-year old virgin,knocked up,etc? This movie is a pathetic excuse for a comedy and is particularly sad since there was an opening for a new franchise which has been firmly grounded. Avoid if you are lucky and watch 'Central Intelligence' if you want to see the Rock in a good comedy!"
7.0,29 May 2017,"I'm a giant fan of Kelly Rohrbach. I met her three times and at the latest time I asked her about her role on Baywatch. She said she was nervous about it, I told her she would do well and I'd be there in the theaters to watch her film debut. Fast forward a year, and this has happened. Kelly was so great and unbelievably sexy in the film which is great. That's really not all though. I'm not gonna lie I had a bit of a blast watching this film. Its stupid and crude but its a lot of fun and gave me all of what I was expecting.

The film is about a group of lifeguards on a beach and three trainees who try to make it into the squad. Once they join the team they realize all is not what it seems on the beach. Murder's are being covered up and drugs are being embezzled through the beach and the team must take the responsibility of uncovering what's going on while protecting their beach. I have never seen the TV show but from what I've heard the film is more R-rated and a bit more comedic than the TV show. I'll take it. I don't care what the critics say this film was satisfying. Its raucous and cheesy but fun. Its excessive on dick jokes, but you'll leave. The plot is pretty predictable but I can forgive it. The soundtrack is GREAT too, although I'll say the song placement isn't always great.

The main complaint I have is some characters really being bland. Especially that of Alexandra Daddario and Ilfenesh Hadera weren't developed and had no real depth. Hadera should have had more going on and it seemed like the ""love story"" between her was a bit under-filled. There was longing with these characters. Also wasn't that keen on the beauty and the geek scenario that was hammered in. I also didn't buy Priyanka Chopra as a villain. Hasslehoff and Pamela Anderson's names should be taken off the opening credits just for the nostalgic surprise appearances.

I also really liked that the film was self-aware. It was aware of the climate of the TV show, just like how they mention how everyone can see people moving in slow motion. I can't deny that Dwayne Johnson is a born movie star. Can do action and comedy equally and he always has great compatibility with Zac Efron (he always does well in the buddy scenario). All the jokes don't land but Efron provides some good comedy. Overall, there's a few laughs, a generic and predictable plot, but its a very fun time. It's a perfect summer movie with some 10/10 babes on the bitch. Its a lot of fun, enjoy. I hope there's a sequel.

7.5/10"
1.0,25 May 2017,"The humor was sophomoric.. I can't believe some of the lines being delivered by the actors. I guess if you're getting paid millions you'll concede to saying anything.

Could have been done so much better. Lazy writing. Lazy plot.. but I guess some audiences will fall for this. They will serve a certain demographic.. unfortunately it's not mine."
