Rating,Review_Date,Review
2.0,21 December 2019,"I've got nothing against movie musicals, director Tom Hooper, or even anybody who's a part of making this film. But goodness me, Cats is an absolute monstrosity. Garish, non-sensical, boring and everything in between, it's a pompous and pointless musical that plays out with barely a redeeming feature, proving one of the most unbearable cinema experiences I've had in a very long time.

While I haven't been a big fan of Hooper's work in the past, particularly Les Misérables, Cats pales in comparison to anything the director has made before, failing on all levels in its pathetic attempts to provide even a semblance of fun, magical theatre, and instead staggering along through its repetitive and frankly tedious story on its way to a terrible ending that can't come soon enough.

There's nothing positive I have to say about this movie. Les Misérables, for all its faults, at least had a degree of spectacle, emotion and drama, whereas Cats is little more than an experiment gone wrong: a horrifying Frankenstein's monster that attempts to blend modern cinematic techniques with classic West End storytelling.

First, the visual effects are extremely offputting. Whether it's the uncanny CGI human/cat-like figures, the inconsistent and distracting scaling and sizing issues, or even the plasticky, garish look of the whole film, Cats is a really unpleasant spectacle. And for all of the technical expertise that clearly went into pulling it off, it all feels squandered on a misguided and painfully showy movie.

Next, Hooper's directing is jagged and meandering throughout. While the screenplay is hardly a work of art, Cats lacks even the slightest bit of show-stopping stage energy, symptomatic of direction that leaves the film wandering aimlessly right the way through.

Hooper's visual style is uninspiring and unimaginative, the musical and dance numbers are repetitive and dull, and even the biggest, best dramatic set-pieces are completely missing any sort of real presence, instead just fading into the movie's jarringly inconsistent structure.

The pacing is a massive problem throughout, as the film shirks the need for even a basic three-act structure in exchange for a horribly repetitive yet still inconsistent layout. Basically, for two hours, it goes like this: Dialogue, mini song, big musical number. Dialogue, mini song, big musical number. And repeat. Again and again and again.

In that, Cats proves so boring, so predictable, and clearly so without life that it's happy to just sit and move you from one musical number to the next. A great movie musical should organically blend song and dialogue, with each complementing the other with the goal of developing the story wherever possible.

Cats is so aimless and repetitive, that the pathetic excuse for a story barely seems to move at any point. Instead, it's just a vehicle for big West End musical numbers on the big screen, all built up to in jarring fashion that makes each song more awkward than the last.

That story, too, is almost unbearable throughout. I won't pass judgment on the original stage show, but in the case of this film, the plot is non-sensical, the characters uninteresting, the screenplay unfocused, and the emotion painfully superficial.

A little bit of fantasy is fine by me, but when a film is constantly repeating its fantasy mumbo-jumbo about cats being sent to heaven or something or other, it gives no incentive to keep watching, worsened by a total lack of character focus or even a consistent main lead.

Francesca Hayward plays the young, new cat to join the tribe, so you'd think that she would be the main focus for the story. However, the movie is so distracted by trying to cram in as many A-listers and side characters as possible that the whole thing feels like an endless meet-and-greet, still introducing new characters deep into the latter stages, and not even giving a second to let Hayward's cat take centre stage.

There's no story because it barely gets going. For what feels like an hour and a half, the film jumps between random characters' introductory musical numbers, and then, remembering it has to wrap things up in a two-hour window, abruptly shifts to tying up loose ends that were never really established in the first place.

As a result, despite the immense acting talent on display, none of the characters are memorable, and none play even a leading role for you to connect with at any point. Alongside Hayward, there's Robbie Fairchild and Laurie Davidson, both of whom seem to be on screen enough to warrant a leading role, but neither even gets the slightest bit of attention from the screenplay.

So, whenever their characters take any sort of role in the main plot, it comes across as sudden and out of left-field, a problem only caused because the movie spends so much time trying to entertain you with A-listers dressed as CGI cats. But even for all the Taylor Swift cameos in the world, it's surely not worth steamrolling simple character and narrative development.

In short, Cats is an absolute atrocity. From a director with an already wobbly track record in the musical genre, this film is an utter disaster, failing to capture any sense of spectacle or fun, and instead meandering and wandering through a non-sensical, boring and predictable story that's seemingly used mostly as a platform for some big West End musical numbers and A-list cameos.

There's nothing good to say about Cats, and unless you really want two hours of pain at the cinema, I suggest you stay as clear as possible."
2.0,20 December 2019,"I can't imagine how much the actors must've been paid to have this in their resume. From Swift to Elba, JHud to Rebel Wilson. Judy Dench, even! No amount of acting talent could save this sorry excuse for a self-indulgent furry fantasy"
2.0,28 December 2019,
1.0,25 December 2019,"There is a wall in my house. The wall is a simple wall, eight feet tall, and fifteen feet wide, it sits in a corner in the basement. It has been painted beige, with a few coats to cover up the bumps and scratches from coats before. It's got it's idiosyncrasies, the way the light jumps off the paint, the not so even drywalling underneath. Stare at it long enough, and it begins to speak to you - or at least allow you to speak to it. Maybe there's something to the wall - or maybe it's just my romantic illusions of inspiration and contemplation that bring life to it. My point is this - staring at that blank wall for two hours is far more inspiring, interesting and enlightening than watching even just two minutes of the cinematic colonoscopy that is ""Cats."" A film so awful, so ridiculous and so void of substance its very existence is an affront to musicals, film and theatre. Unless you're a fan of 'so bad it's good' cinema, stay away. This is a watershed moment in bad movie history.
1,106 out of 1,259 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1.0,21 December 2019,"Sorry to pile on, but in my 55 years I have never walked out of a movie until now. We had high hopes, we love musicals, but good lord, this was awful on every level.
1,272 out of 1,498 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1.0,2 February 2020,The most entertaining part of this entire movie was reading these hilariously bad reviews. It was SO boring and hard to watch.
1.0,5 January 2020,"In 25 years this film will have a weird cult following, and an aged James Franco will make a ""meta"" film about it. Until then, it will remain universally regarded as an utter shambles."
1.0,25 December 2019,Honestly I wish I was joking. Just everything was completely terrible. James Corden was cripplingly awful but that's nothing particularly surprising. Leaving the cinema I'd felt as if my soul had been sucked dry. Avoid at all cost.
1.0,24 December 2019,"This film is truely a masterpeice in unintentional horror. The effects are so special I'm going to have nightmares for weeks to come. Why they didn't just dress the actors in costumes and makeup I have no idea, either the filmmakers are lazy or someone wanted to push the boundries of visual effects. Cats pushes those effects right off a cliff into the uncanny valley. The design and look is freakin disgusting.

I never saw the stage musical, so I didn't know what I was in for. This movie that has no plot, it's just a bunch of random cats introducing themselves. I tried to enjoy it as a so-bad-it's-good cringefest, but the lack of plot and the terrible effects make it impossible.

If you can't even look at the screen without feeling annoyed & disgusted, it's impossible to enjoy it in anyway.

Thanks Tom Hooper."
1.0,25 December 2019,"I'm not a praying man, but I was praying so hard for this movie to end. From the fist minute, I knew this movie was going to be a disaster. What a waste of talented actors."
