Rating,Review_Date,Review
5.0,9 July 2024,"Ewan McGregor's mother Ellen Burstyn visits a furniture store and doesn't want to leave. Ever.

That's the basic plot of ""Mother, Couch"", a small and very odd film with an all-star cast.

Is the film supposed to be taken at face value or is it an allegory? Is Ellen Burstyn's titular mother in God's Waiting Room, or simply a lady who doesn't want to get off the couch?

I will say that the film sits a little better now having slept on it than it did when I was actually watching it. It clocked in at only 1hr 36 min but felt way longer. There are no big moments or cinematic fireworks but rather a sober and somewhat off-beat exploration of the human condition.

McGregor plays David, a harried and anxiety-prone family man whose unhappy life gets weirder when his elderly mother sits down on a couch at Oakbeds Furniture store and decides that she's not going anywhere, come hell or high water. (We get a little bit of both).

David's two adult siblings are of little use during this family crisis. There's the forgetful slacker Gruffeld (Rhys Ifans) and the bitter and put-upon Linda (Lara Flynn Boyle). The film exposes their toxic relationship as they try to bring their mother home. Or as Linda suggests, should they just leave her there?

The store is about to close, but an employee has at least a temporary solution: there's a bed near the couch and David can stay the night. Taylor Russell plays the pretty employee Bella and is a ray of sunshine in this dark film. There's a hint that there might be a sexual spark between she and David, but he should be so lucky.

Burstyn at 91 is one tough-as-nails broad in the central role playing a less less than sympathetic character. She's a mean mother but we can see where she's coming from.

The film was inspired, at least in part, by a Swedish novel called 'Mamma i soffa'. The film's writer and director Niclas Larsson making his first full-length feature said at a screening I attended that he read the first 10 pages of the book when he paused and wrote his own script. It's allowed, he said, as this is art. True; just don't look for an accurate page-to-screen adaptation.

Larsson did assemble an absolutely stellar cast with F. Murray Abraham and Lake Bell in supporting roles."
4.0,17 September 2024,"Surreal yet drab drama ""Mother Couch"" is another pretentious art-house bore that tries so hard to be clever with its analogies & hidden meanings that it ends up as incomprehensible tosh... wasting in this case a fine & under-rated cast. When bitter old Ellen Burstyn refuses to leave a run-down warehouse-like furniture store run by Taylor Russell (terrific) & F Murray Abraham, her kids Ewan MacGregor (with wife Lake Bell), Rhys Ifans & Lara Flynn Boyle get involved... resulting in old (and new!) wounds opening. This debut of writer (adapting Jirker Virdborg's novel 'Mamma I Soffa') / director Niclas Larsson won't have many hungering to see what he serves up next. Hard pass."
6.0,18 September 2024,"""Mother Couch"" (2024), directed by Niclas Larsson, is an ambitious and daring exploration of the abstract, fusing dark drama and comedy in a way that defies traditional storytelling.

What stands out most in ""Mother Couch"" is its bold attempt to blend art with narrative. Larsson's vision feels more like a visual art installation than a conventional film, designed for viewers who have an appreciation for the slow, dark, and often bizarre corners of cinema. The film's pacing is deliberate, with long, introspective scenes that some might find tiresome, but those with a passion for art-house films will likely find it thought-provoking. This is a movie that requires patience and an openness to unconventional forms of storytelling.

At its core, ""Mother Couch"" seems to be about the art of healing, showing how unresolved family dynamics can manifest in strange ways. The characters, though emotionally distant at times, ultimately search for closure, making this film a contemplative piece on the complexities of human relationships.

While it may not cater to mainstream tastes, ""Mother Couch"" is a unique entry for cinephiles who seek something different, especially those interested in the fusion of art and film. It's an experimental journey that, while imperfect, deserves credit for its originality and daring approach to dark comedy."
3.0,14 September 2024,"I have no idea what this film was about and neither will you. The storyline goes like this, three children who go and find their mother sitting on a couch in a furniture store and tries to get her to leave the store but she doesn't want to leave. And from there, you're left to think that the story is actually going to lead up to something spectacular or tragic to unfold and it literally does neither. From the beginning to the very end, you don't know what the message in the film is actually relaying. It's just a bunch of incoherent scenes meshed together leading up to a climax that leaves you pondering wtf did I just watch, I kid you not. Excellent cast but a very incoherent story that literally made no sense."
7.0,16 September 2024,"Wanted to watch this for a really long time! The premise looked extremely intriguing and the plot is really unique and special! Love these types of unique films and innovative plots!

Ewan McGregor is one of my all time favourite actors and does a amazing performance! One of his best!

This was really a movie in my taste! That mixes different genres and atmospheres!

First of all, It gives you that feeling you want from a good and intense psychological thriller/drama!

Niclas Larsson does a amazing job! Definitely a promising talent in filmmaking! Its really well put together and directed!

Soundtrack is perfect and really fits the film!

I really recommend this unique film!

However i don't understand the ending fully, which was abit disappointing! But its a very deep film which let the viewer decide! I really like that!

A intrestring study of the mind and the fate, and the mind's acceptance through trauma, family and loss!

It leaves you with a very special and wierd feeling after.

Excellent, artistic, deep and unique psychological thriller/drama. Definitely worth watching!"
2.0,17 September 2024,"OK so here's what happens. Mother (Ellen Burstyn) is in a store and sits down on a couch and refuses to move. Her 3 children Gruffud (Rhys Ifans), David (Ewan McGregor) and Linda (Lara Flynn Boyle) all meet up at the store to chat to their mother. They are perturbed at her not telling them why she won't move from the couch. There's lots of chat, but it is inane and banal chat which doesn't mean anything and doesn't tell us anything except all 3 of them seem slightly inept at life. This continues, until the end of the film. There are no redeeming factors. Ewan McGregor is his usual low grade self, quite how he gets jobs I have no idea. The dialogue is awful, there's no explanation of development of any characters, it really is appalling.

There does not seem to be a coherent story here, the score appears to match that of a farcical comedy, the acting is well below par except for Ellen Burstyn, and the dialogue is confusing and irritating in it's banal nonsensical way.

I honestly can't tell you what it's about because it doesn't seem to be about anything. I gave it a 2 and that's solely for Ellen Burstyn's part in it."
7.0,18 September 2024,"I think this film deserves a review even though I'm still processing some of the scenes.

This is not an easy story to describe. So I understand some negative reviews that may be posted.

Much of the investment is with McGregor's character and his relationship with his mother. This unfolds initially as a straight-forward affair of a son whose mom refuses to leave a furniture store (staking her claim on a specific couch in the store).

As the story progresses, you begin to realize not everything is as it seems. Once you realize this, the film takes on a different light and the focus on McGregor's character becomes a bit more justified.

Still, I think the brother and sister deserved a little more substance of character than what was provided. Kudos to Lara Flynn Boyle for making the most out of something less."
2.0,19 September 2024,"Once more we see a writer who thinks he can direct.

Why is it so hard for you to stick to one profession and do it well instead of creating garbage like this that does nothing but stroke your ego.

Some advice for your future projects.

Writers should only write.

Actors should only act.

Directors should only direct.

You do more than one and you end up wasting the talents of great actors who suffer due to a badly written story and directed by a non-director. You are not a film director. Not a good writer either.

You directed your own music videos in your twenties, but that does not make you a film director. Not by a long shot.

Write, act or direct. Otherwise you create weak stories steered by very bad directing that results in a waste of time and the talents of your actors, not to mention the pain you inflict upon your views who have to endure your ego trips.

Pick a career and stick with it."
6.0,26 September 2024,"'An elderly mother visits a furniture store, and refuses to leave a couch that she sits on'. If, after that synopsis you still go ahead and watch, then you should be open minded enough to accept what follows?

Great acting performances by everyone involved, especially Ewan McGreggor, who gives possibly the performance of his career. The dialogue, whilst sometimes bland, is suited to the family dynamics of the three siblings and their mom, in what is an increasingly bizarre scenario. What does it all mean? Who knows, but it engrossed me to the end. You either take the journey or you hop off at the first stop. The ending is unexplained, surreal, maybe dream like, and undoubtedly allegorical ( of what? I have my own view but its likely wrong so will not explain here).

Mother Couch gave me a similar vibe to 'His Three Daughters' which I also saw very recently and which also split viewers into two camps."
3.0,15 October 2024,"I must say at the outset that I wanted to like this film, because symbolic, metaphorical, low-budget, chamber-drama-like works are very close to my heart. Unfortunately, Niclas Larsson (who is responsible for such great works as... well, yeah) hasn't the faintest idea how to direct a film or write a script, because the end result is so fake, incoherent, wannabe-deep, boring and so frustratingly roundabout that anything the film was trying to say (not that there haven't been a million films made about grief work and letting go...) is completely meaningless because it just babbles, stammers, and then urinates under itself.

I have no idea how Larsson was able to blackmail these stars into appearing in this botched film experiment, perhaps kidnapping their child or poisoning them with the venom of a rare species of South American snake for which only he has an antidote. In any case, it is certain that ""Mother, Couch"" will not ennoble anyone's CV. But one thing must be acknowledged: it's a perfect film for snobs, who are ready to project everything and its opposite into the infertile, barren nothingness at any time, if it makes them feel that they are more than the average cinema-goer, despite their mediocre intellect and awful taste."
