Rating,Review_Date,Review
1.0,"Jan 13, 2023","They need to remove the comedy tag. Seriously, in no way shape or form could this be considered a comedy.

Imagine taking a kids show and turning it into a disgusting college frat house drama where everyone is a bully and vomiting for laughs. This might be the most hate filled re-interpretation of a cartoon I've ever seen.

The people who created this show obviously have an agenda here. Are they really going for 100% rage views? Is destroying an established franchise going to get them into some secret Hollywood club? Do the creators have some kind of personal vendetta against Scooby-Doo from their childhood? I really don't get it."
1.0,"Jan 12, 2023","This was atrocious. I watched the entire first episode and did not laugh once. Not even a chuckle. The jokes were so juvenile, so heavy handed and the premise so far removed from the original IP, it was embarrasing. I was checking my watch throughout the episode. They made 27 minutes feel like an hour. Will she ever find her mom? I do not know, nor do I care. Why is this series about sex and what does any of the random sexual situations have to do with Scooby Doo? I also don't know, nor care. Speaking of which, where is Scooby and Shaggy? Shouldn't they be a part of this too? If the one kid is supposed to be Shaggy, I only assume because of his clothes, then I would like nothing to do with this alternate universe version of Scooby Doo. Personally, I feel like HBO and Mindy Kaling owe everyone and apology for this abomination of a series.

0 orgin stories out of 5."
1.0,"Jan 18, 2023","I heard how bad this was so had to see for myself.

I was expecting to be laughing at how atrocious it was but it's not even bad enough to laugh at, like some terrible shows and movies. This was just so bad it was hard to believe what I was watching. My mouth was open in astonishment at how revolting it was.

How the hell did this get made? It's abysmal on every level. It's not even a train wreck. A train is on it's way performing its duty before it crashes. This train never left the construction yard. Shame the idea did.

The jokes aren't funny. It's not cool. It's not hip. It's the opposite. It's majorly offensive. Offensive for two reasons.

One for how terrible it is and it is really bottom of the barrel terrible, and two for it's obvious sexism and racism. What an absolute insult, really, to anyone with half a shred of respectability. I'm just staggered that this even exists.

And to have it based on a CHILDREN'S decades long loved series is just mind blowing. It's wrong.

Shame on the execs who passed this giant steaming turd. Every single person involved with green lighting and creating this 'show' deserves to never work again.

One of the worst programs ever made. Without exaggeration."
1.0,"Jan 12, 2023","I'll preface this review by saying I have no problems with adult humor, or with a family friendly franchise being reimagined to include such. Nor am I outraged by the diverse casting. I approached Velma with an open mind, and it's just not good.

Like another HBO Max show, Harley Quinn, Velma is full of edgy and fourth wall breaking humor. Unlike that show, Velma seemingly holds nothing but contempt for its source material. Not one character behaves anything like you'd expect, and none of them are enjoyable to watch. Daphne is vapid and mean, Fred is a rich douchebag, and Shaggy is a bore. Velma herself comes across as Mindy Kaling's self-insert Scooby Doo fanfic character. She is the coolest, smartest, and funniest person in the room at any given time and multiple characters want to have sex with her. Everyone else is a loser. It's more sad than it is funny."
1.0,"Jan 12, 2023","This show HATES its audience. It should not have been named Velma. Even the dubbing is odd. Glenn Howerton basically plays Dennis from IASIP as usual but in Fred's body. Daphne is crass, mean and vulgar and Velma is Mindy Kailing.

I don't understand why this is what we get when attempting something adult with the Scooby Doo IP. No one asked for this. The hate is warranted - it's an acceptable, albeit unfunny animation show that thinks it's a lot better than it is.

This was my main issue with the first two episodes: you can tell the writer's room was comprised of mostly ""yes"" people who thought every idea was edgy and current. Instead the finished product resulted in a convoluted, mean-spirited and just all around embarrassing start."
1.0,"Jan 19, 2023","When you see reviews about a TV Show, usually there are two extremes. One side loves the show for its biases, and the other hates it. This is a rare occasion where the general audience opinion comes together and the majority is united in agreeing that this show is truly the lowest tier in almost every way possible.

Poorly written dialogues, inconsistent animation, and some of the saddest attempts at humor since Transylmania.

This show is only capable of satisfying a tiny group of people, which consists of the writers and kids with an underdeveloped sense of life that is solely based on Social Media. This show proves that we truly do need a 0 rating in IMDB, a new low in modern media."
1.0,"Jan 12, 2023","This show is one of the worst things I've ever seen, and I would give it 0 stars if I could. I can't believe how poorly written this show is, how mean-spirited it is and how much contempt it has for its source material. It's not like it resonates with people because of the themes of teamwork, or found family, or about how different people with different personalities and goals and outlooks on life can be friends and love each other.

No, we have to character assassinate everyone, especially Fred and have everyone talk in petty, tired and divisive cliches. There's no word for it other than cringe. I am so sick and tired of these types of shows. At least they're keeping Scooby himself out of his this garbage.

Off to palette cleanse with the original show."
1.0,"Jan 14, 2023","This show literally insults you. I've never known a show to actively try and make you hate it, this is abominable and one of the worst things I've ever seen, I can't stand it. It feels like a straight up slap in the face and I cannot stress this enough, it doesn't even have SCOOBY-DOO in it, what in the everloving God? I have no clue how this got greenlit and the okay from the higher-ups because I'd rather get hemorrhoids than watch anymore of this. It's mentally tiring and I've never sighed from disappointment more than I have while watching this poor excuse for a show... Cancel this, please."
1.0,"Jan 14, 2023","Writing sucks, jokes don't land, doesn't feel like scooby doo at all.

More like they wrote a show and put scooby doo characters over their own characters.

This is the type of show you start watching and you literally can't bring yourself to finish it because it hurts to watch, even if it wasn't scooby doo related it'd still be awful.

The humor is like I'm watching family guy or big mouth, but instead of there being a joke, it's literally just a pop culture reference with no ""funny"" attached to it.

If shows were to be represented with cereal, this show would definitely be a bowl of wheat with no milk. No flavor, no comedy, nothing.

Honestly I'd actually rather eat a bowl of wheat instead of watch this."
1.0,"Jan 15, 2023",It needs to be canceled Immediately and whoever approved this needs be fired it isn't funny It's cringe and offensive it has nothing to do with Scooby-Doo and it is destroying any versions of the velma character it is way to snarky and I don't see how anyone can find it entertaining what is wrong with HBO I'm tempted to cancel my subscription because I don't want to associate myself with people who put out crap like this I hope it backfires and blows up in your face also whoever finds this show entertaining needs to check their own morals Please do better Warner Brothes and put out better shows like Johnny Bravo.
8.0,"Jan 12, 2023","I've been enjoying this new take on Velma and the gang. It looks straight on at all the very well known stereotypes that everyone always associates with this show. Ascot wearing, Ken doll looking, Fred, is exactly who we all thought he might be. Daphne, fits the bill in her role as pretty girl this time with an edge. It's a cartoon aimed at adults about kids in high school, weird things happen and everyone is confused about sex and life and then a lot of murders happen. It's humor is along the lines of South Park or Beevis and Butthead, somewhat ridiculous, a little bit shocking. It's funny, it's unique and it's not the same old Scooby Doo!"
7.0,"Jan 29, 2023",I thought it was hilarious. It's like the most inappropriate version of Scooby. It's not good but it's not terrible. It's just sorta weird. When you're tired and you need to de-stress then it's hilarious. That's the best way to describe it. It's nothing like the original show. I'm not even sure they're solving a mystery lol laughing but serious! Loads of profanity and sexual situations. It would be funnier if the focused on the terrible cop characters and the mystery. But they are trying to make statements about gender roles and beauty expectations but these messages don't belong here. No one should take this show seriously but it's not terrible.
1.0,"Jan 28, 2023","You know when someone thinks they are being really funny, when instead they are just being kind of rude and hateful? That would be this show. It felt more like an edgy YouTube spoof from the early 2000s than an actual show. You really didn't need to mess with such a great, wholesome and generation spanning IP. People are hateful and will review bomb movies and shows because they disagree with the politics or idea of the show. I figured that would be the case, but please know that these reviews are accurate. This show is truly insulting to its audience, the original creators and actors of these characters, and human decency in general."
1.0,"Jan 14, 2023","I'll say this: the collection of voice actors they hired for this show is probably the best thing that show has going for it. The ""comedy"" is...it's just simply awful. Kaling turned a beloved character into a college course on how not to write characters or a show. I forced my way through episode one (really wanted to give this an honest review) but I won't be returning for episode 2...or possibly anything else produced by Kaling (or for that matter Grandy and/or Sekar it seems). Why did they try so hard to destroy the source material? I get that Scooby isn't in it so it was supposed to be its own thing but it almost seems...mean? Like they made it while angry at fans of the original? This one just sailed over the goal. Oh well. HBO Max is more like HBO Minimum now I guess..."
2.0,"Jan 15, 2023",This show is obviously trying to be the next Harley Quinn not realizing what made that show good . Harley Quinn writers unlike the writers of this show respected the dc lore and the characters still felt like their comic counterparts . I have nothing against Mindy Kalling . She was funny in the office . But she was miscast as Velma . This show is just a generic mystery show with Scooby Doo Character names being used . Did they seriously think this wouldn't flop . You can't do the mystery inc gang without Scooby . The original show wouldn't have become so big if it was just a group of kids solving mysteries . Seriously they couldn't figure away to include scooby . If you want a darker Scooby Doo watch Scooby-Doo! Mystery Incorporated Instead . That's a much better show with good character development and overarching plots . All they had to was do something similar to Mystery Incorporated . This is just bad and they changed the ethnicity of Velma and Shaggy for sake of representation . I'm a brown guy and have nothing against representation but I would have rather they have made new characters instead of changing existing characters.
1.0,"Jan 12, 2023","Just saw Velma show up as a new show and I went into watching the first episode with no spoilers or expectations. It was both disappointing and a huge waste of time. I get that they're going for raunchy comedy, a spin on the original series isn't a bad idea but this was so poorly executed. The writing was absolutely effortless and unfunny.

The idea of a show with Velma as the focal point is great, the idea of recreating scooby-doo to be for a more mature audience is great, and this is wasted potential. I just don't understand who could both write and then ""ok"" this and believe it was good content.

Just really disappointing and shouldn't be associated with the scooby-doo franchise whatsoever."
1.0,"Jan 12, 2023","YES... 1 star means that it's a thing. I mean a lot of people worked (not very hard) on the project so it deserves at least 1 star. But why only 1 star?

Let's start with visuals, it seems at times that the artists didn't have enough time to make enough frames, this not only resulted in boring or overly generic backdrops but the character animations seem jittery at times.

Audio- the audio quality is weird. It's almost like the characters didn't record their conversations together so the quality between characters in the same scene having the same conversation have 2 different audio qualities to listen to... imagine listening to 2 people talk in a room and one persons voice is unnaturally crystal clear and the other sounds like they have several layers of napkins infront of their mouth.

Characters: it seems like someone wrote a spoof of each character but was allowed to keep the names. It's like using the Venture Brothers characters but releasing the show as ""Johnny quest 2023""

Dialogue: this show really needs laugh tracks... because nothing they say/do is remotely funny. I feel like we need an audio queue to know when a joke bombed.

Plot: well the first episode did a great job of assuming you should know what's going on without really going into detail of what is actually happening.

I am glad I survived the first episode, I don't know if I'll make it through the 2nd."
1.0,"Jan 12, 2023","First thing first: I don't care about the race swaps, or the LGBTQ content added in, and I am actually all for an adult take on Scooby Doo. I also don't care when people take liberties with the source material = an ""original"" adaptation never ruins the source material, if anything, it just makes you appreciate the original more.

Now that that is out of the way: I could tell from the trailer that this probably wasn't going to be for me, but my curiosity got the better of me, and believing that you should let the art stand on it's own merits, I feel that this art deserves to stand on top of a raging dumpster fire.

Without giving away any spoilers, all the characters are completely unlikable. Fred is defined almost solely by his white privilege, Daphne is the typical hot dumb girl, and Velma is the angry awkward girl who ""knows"" she is better everyone. ""Norville"" is probably the only character I don't hate, but he isn't Shaggy. This is not Scooby Doo and the Mystery Gang. Its Mindy Kaling in animated cosplay still being Mindy Kaling. I'm sure some people who are fans of hers will find some enjoyment out of this, but it ain't for me."
1.0,"Jan 14, 2023","And no, I am not at all exaggerating for the sake of getting attention from the reader here. I have seen virtually every iteration of Scooby-Doo, and experienced its highs and its lows as a franchise, and this is an all-time low. A complete misunderstanding of the property, terrible writing, horrid characterization, and a sense of humor which is so cynical you feel it is giving you the middle finger every minute.

This is a series I honestly cannot see really appealing to anyone. There is nothing for a fan of the property, there is nothing for the average member of the audience who just wants to laugh, there is not even anything for very progressive viewers who just need to see social justice on screen to scream ""yaas queen, slay!""

BEWARE. See at your own risk."
1.0,"Jan 12, 2023","It's a paradoy. It's adult comedy.

This is not the kiddie show. Try not to overthink it.

I was hooked at the first episode. In fact, I laughed so hard I fell off the couch. But, I also have a messed up sense of humor. I can take crass behavior. I knew right away what it would be given the cast:

Glenn Howerton: it's always sunny Melissa Funero: Brooklyn nine nine Wanda Sykes: no intro needed Jane Lynch: no intro needed Sam Richardson: Detroiters

It's kind of a given that this is not a regular scooby kiddy show. Think.

If you can handle adult humor, go for it. If you want the same ole, go watch reruns. This is hilarious."
8.0,"Jan 16, 2023","Is it Archer? No. But it's not so terrible people have to flock to give it a 1 star. I feel like 1 star means you haven't really seen what bad is. Have you seen She Devil? There's enough humor for a chuckle here and there, and enough self awareness to get some meta jokes in. I guess if you are looking for formulaic episodes where you hear the same jokes and the same outcome every time, then ... watch the original Scooby Doo? It's a new take on a character and it won't be everyone's bag, but it will work for enough people to finish out the season, possibly even have a second season. Giving it a try will not leave you scarred for life - an episode or two is worth the time spent."
7.0,"Jan 16, 2023","This series is one of the worst things I have ever seen in my life. I literally prefer to be blind and deaf than to have to watch and hear this big pile of horse crap. I cannot believe that they ruined HBO Max and they cancelled several good productions like ""Looney Tunes: Bye bye Bunny"" and The Porky and Daffy sci-fi comedy film, that could have been masterpieces, wonderful shows like Close Enough that was really enjoyable or Infinity Train. Some potential good shows wont probably be released anytime soon if at all, I am talking about series like The Flintstones sequel named ""Bedrock"", ""Tooned-Out"" or ""Tiny Toons Loonyversity."" All of these good series being cancelled for this garbage? Seriously? The characters have nothing to do with the original characters from the Scooby Doo franchise and the series is horrible, lame characters, stupid plot and no humor.

This crap is even worse than the Scrappy Doo era cartoons, when Scrappy Doo, one of the worst cartoon characters ever made, slowly replaced Daphne, Velma and Fred from the Scooby Doo series. Why they had to ruin HBO Max like that? This streaming platform could have had a lot of animated gems right now, but they ruined everything. Good Job, HBO Max! I think I will cancel my subscription pretty soon."
1.0,"Jan 26, 2023","This was just dull, I watched both episodes and I felt like I lost brain cells while watching this. If you want some silly comedies watch something like Bobobo-bo Bo-bobo that's actually funny. Just don't waste your time on this. It tries to be edgy without any decency and/or class. I wish for those minutes of my life back please. No? I guess not. I'm never watching this again, I'm staying away from this like it's the plague. Also I'll say this up front the writing is atrocious!! It was extremely stiff and forced in some areas in my opinion, especially from Velma herself. It was just dull, that's final."
1.0,"Jan 21, 2023","I really don't know what they were trying to do with this show. Maybe if this had been an original show of its own it would be easier to sit through. I had to force myself to keep watching, and that was in the hopes that the writing would get better. I should have stopped after the first two minutes. These are not the characters we grew up loving. They've completely changed the characteristics of every character. They don't act like themselves, and the things that stay true to character make them all unlikable and obnoxious. I can't see any fan of Scooby Doo watching this show, and it clearly isn't geared towards the younger generation with the mature rating. So, who were they hoping would watch it? Who is the audience? Who would want this?

Bottom line...horribly written, brutally destroys the established characters' personalities, and it has no place in the Scooby Doo realm. Take away Velma and the Scooby ties and maybe...by some very slim chance...it would work as an original show."
1.0,"Jan 15, 2023","I like raceswaps, I enjoy dirty jokes, and a good meta reference is my cup of tea. This show on the other hand is a try-hard fast paced minigun of pop culture references. It's one of many shows that see a beloved media franchise and decide they can do some edgy up to date self-referential humor that completely glosses over the heart of the original. Some people like that. I feel like it's dissing the original show, instead of growing on the lore and tone that's always been what drew me to it. I love Scooby Doo. My favorite flavor of Scooby Doo is, for reference, Zombie Island and the Witches Ghost. That was prime era Scooby. If you're bored by that seriousness, and the exploration of the characters, and wanna watch cockroaches do the nasty while naked teen girls chitter about how funny it is movies have naked girls to hook audiences? Then sure, this is probably for you. Many of the jokes go on too long trying to make themselves funny. The characters are themselves wildly unlikable. Some of the character designs are neat, but they feel like someone decided to use the Scooby Doo characters as a references for an entirely different set of brand new completely original characters (do not steal). It's the kind of show you watch to have something in the background and completely forget about by the time you're done because it has nothing to keep you caring about it. Just a bunch of slapstick and dirty jokes that disappear into the hazy memory of similar shows like this. It's a shame, really, HBO cancelled so many good shows for something like... this."
1.0,"Jan 14, 2023","This show is one of the worst things I've ever seen, and I would give it 0 stars if I could. I can't believe how poorly written this show is, how mean-spirited it is and how much contempt it has for its source material. It's not like it resonates with people because of the themes of teamwork, or found family, or about how different people with different personalities and goals and outlooks on life can be friends and love each other.

No, we have to character assassinate everyone, especially Fred and have everyone talk in petty, tired and divisive cliches. There's no word for it other than cringe. I am so sick and tired of these types of shows."
1.0,"Jan 15, 2023","I read an article slamming this show, deeming it one of the worst of all time, I couldn't see how it could be possible.....the article was spot on, this genuinely is the worst thing I have ever sat through.

Was it supposed to be funny, the jokes were excruciating, this was about as funny as a chest infection. I can't imagine adults or children liking it, the content is just so strange, unpleasant, not in the slightest bit funny.

An absolute insult to fans of lovers and Scooby-Doo, all this was about, was pushing the dreaded agenda, even the likes of Scooby-Doo, the most wonderful, well meaning loved show, adored the whole world over, even that wasn't safe.

My memory of the show won't change, despite efforts here to trash the characters, why make Freddie and Daphne so awful, did they need to be, but of course Velma is glowingly marvellous. Nobody feels right, it can't possibly be linked to the original.

I sat through one episode, I won't waste any time on another.

0/10."
1.0,"Jan 12, 2023","Really surprised how such a great group of people could turn out such terrible a show. The characters were boring and unlikable. The ""jokes"" range between meta wink and a nudge to just lame dirty humor. Which really makes me question what the actual demographic is. Too mundane for teenagers, yet too dumb for adults. The episode was just a chore to get through, once every few minutes I was compelled to pull out my phone from sheer boredom. Lastly and I think the sin that everyone knows. Scooby... How do you have the gall to make a Scooby Doo reboot and not have the talking dog? He wouldn't have saved the show but at least he might get a laugh."
1.0,"Jan 14, 2023","The writing is so bad, I can't tell if the ""like every comedian before #MeToo"" line is supposed to be ironic or genuine. The very idea of Scooby-Doo characters discussing sexual assault is as ill-advised and tone-deaf as when it happened in the Family Guy/Simpsons crossover.

Also I have yet to see a single justification for why the new character isn't just Shaggy, although considering how the other characters are written, maybe it's for the best that he was left out. It's not like he'd in any way resemble any previous iteration of Shaggy. Same goes for Scooby-Doo as well. Some out-of-touch greaseball in a leather office looked up from his piles of money and said ""Nah cartoon animals are kiddie stuff, adults can't relate to talking dogs!""

With every project Mindy Kaling launches, her own personal issues become more and more prominent, leading to the most embarrassingly mean-spirited jokes I've ever seen in such a beloved franchise.

Don't even hate-watch this, Warner Bros. Needs to learn their lesson."
1.0,"Jan 19, 2023","The people who got paid actual money to produce this must surely be truly ashamed of themselves. It's mean, it's nasty, it's offensive, and it's just terribly made.

The original Scooby Doo had a wholesome message about a group of friends from different backgrounds learning to work together to overcome challenges, each with their own strengths and weaknesses, and the mystery could never be solved without working together. Velma, conversely, is the perfect hero and everyone else just orbits around her in stark inferiority. She presents no values and the show repeatedly emphasizes superficial characteristics. It embodies every negative stereotype and cliché of the modern remake, exuding pure bitterness and hatred.

HBO once commissioned some of the best TV entertainment available, with actual talented writers and producers, and yet someone at HBO actually made the decision to release this utter puddle of steaming diarrhea."
8.0,"Jan 13, 2023","If you actually accept it for what it is, a comedic and satirical adaptation of a nostalgic show for adults, it's actually funny. It's clearly making fun of itself, as well as absurd stereotypes. Like all the references to the fan theories spread over the years about the scooby-do characters. Such as ""is Velma gay""?

It's just a funny origin story about how all of these very different mis-matched characters formed a detective group. And includes some great comedic actors in the cast. If you go in to it thinking it's just a newly animated scooby-do like the remakes in the past, then I can see how you may be disappointed. But if you come in open minded and willing to laugh at absurdity, it's a good show."
7.0,"Jan 15, 2023","Saw the rating for this show and was perplexed why it was so low. We've been watching it and enjoying it quite a bit. It's snarky, funny and completely inappropriate for the younger crowd, but adults are the target audience. Is it anything like other scooby doo shows? Not at all. The trailers give you a good idea what you're going to see.

Velma, Daphne and Fred are nothing like their typical characters and that is quite alright.

The adult characters are interesting in their own right. Daphne's moms are cool. Horrible police officers but cool. Velma's Dad is a little pathetic but not unlike a lot of dads out there with a you her wife and new baby.

Don't let the low rating scare you away if the trailer piques your interest."
1.0,"Jan 16, 2023","Scooby Doo is one of my favorite cartoons of all time and to see Velma and the other characters ruined and changed like this almost ruined my childhood tv cartoon memories!! I love Scooby Doo and there's NO need for a ""grown up"" version of these characters!!!! Not sure what need there is to try change or make different versions of these characters that were fine to begin with because it was a cartoon show for kids who like the horror/mystery aspect of it, nothing more!!!!!!! If Hollywood feels there's a need for characters like these then create a new show and not this garbage!!!!! Please listen to us viewers and please leave these characters alone!!!!!!!!!"
1.0,"Jan 31, 2023","How do I put the awfulness of this show into 600 characters? It's impossible! I'm gonna have to fluff it up a bit. Well.....The Scooby Doo gang is stupid. The story is stupid. The writing is stupid. Pretty much everything about the show is stupid. How did anyone come up with this re-work? The ultimate question is who actually thought this was a good idea? Who asked for such show?

In the meantime, in some alternate and diverse area of the galaxy, about a thousand light years away, there is an alien culture intercepting the transmission of this show and are planning to annihilate us all. Sure, it'll take about a thousand years, and I know I just ripped off this premise from Futurama, but we would all die....deservedly."
1.0,"Jan 28, 2023","Deadpool did it amazingly. Saints Row does it well. Being meta is a talent. A superpower only being able to be used by the best of actors and media. Velma (2023) tries... and fails so miserably! It's not funny when every five seconds there's some reference to a movie or movie tropes, but the characters continue to be the most idiotic when it comes to the mysteries. I honestly forgot what the first episode was about halfway through because the show was too busy shoveling jokes about ""in a TV show, the pilot..."" etc. I truly believe that this voice cast could do so much better if they legitimately just focused on making it a Scooby-Doo show."
1.0,"Jan 14, 2023","Perhaps the worst version of any Scooby made, and yes, I have seen ""the 13 Ghosts of Scooby"". The characters do not resemble the standard gang at all, save for names. No Scooby. The group dynamic is gone. The humor is mean spirited. There is nothing of value here. Nothing at all. I have no idea which executive greenlit such an idea, but clearly they either had no idea what was being made, or didn't give a damn about the content at all and only assumed the name meant money.

In short, watching the scrapings from a septic tank dry in the sun would be more entertaining than this terrible waste of time."
1.0,"Jan 15, 2023","At first i was quite excited, velmas design looked very cute. As the first trailer released all excitement vanished. The attempt to be ironic was a complete failure. The writers somehow mischaracterised every single character. Daphne and Fred are really mean. Shaggy isn't even shaggy, they've basically made a new character as the only resemblance is his clothes, he isn't even named shaggy. The sexualisation of 15 year olds is also a big problem for me, it made me so uncomfortable watching it. The first 3 minutes of the first episode is just naked 15 year olds talking about sex and being horny. Definitely would not recommend to anyone ever."
