Rating,Review_Date,Review
4.0,1 October 2016,
5.0,3 June 2021,"Directed by Eli Roth, Knock Knock is nothing other than a horrible home invasion story of torture and vandalism. It's enough to enrage all audiences and we demand a revenge sequel immediately! Keanu Reeves stars in the film as a hopeless victim of infuriating torture to leave you unsatisfied and angry at an extreme level. But what is good about the movie?

The fact that it's engaging enough to drag you out and supply you with horrible feelings is indeed fairly powerful, but Knock Knock would only be likeable if justice was included. Seriously, a sequel of justice and revenge is needed for the audiences without a single question. So unless you're feeling ready to spend 98 minutes watching an innocent man's life being ruined, simply avoid this one.

Although the power of this movie is appreciable, it's really unfair power. Knock Knock isn't at all a pleasurable movie, and due to the sympathy we'll have for the target of the torment, it's best left avoided for audiences entering the story already feeling angry.

If you liked this review, check out the full review and other reviews at aussieboyreviews."
1.0,4 November 2020,I can't believe Keanu made this movie and I doubly can't believe this script got the green light. I watched this for free and I want a refund.
1.0,18 December 2015,
1.0,7 October 2020,"I'm a Keanu Reeves fan and I like that he mixes up the types of movies he is involved with but this film is a disaster.

The girls are sexy and enticing (as their characters demand) but as good as Reeves is he can't convincingly do awkward.

And plausibility doesn't seem to be particularly important with this project.

Eli Roth...you just need to stop!

The film is predictable and disappointing.

Save your time."
7.0,12 September 2017,"I pretty much never leave a review for a movie.

I also pretty much never stop a movie or book before I finish it.

This movie was so bad that both happened. It's complete trash. The characters are unbelievable, the situation is absurd, and the acting leaves a lot to be desired. It's incredibly slow and there's basically no story or reason to be invested.

Avoid."
1.0,20 October 2015,
7.0,20 December 2015,"I'm a rare poster here at IMDb. Good movies? They get enough praise without me joining in the chorus. Average films? There's usually enough people on each side to adequately debate the pros and cons. But a film this ridiculously bad has, if nothing else, crossed whichever threshold is required to motivate me to reset my long forgotten IMDb login details and hopefully save some poor souls the 90 odd minutes of their lives, and (god forbid) their hard earned on a ticket.

It's so hard to know where to begin, so, as a wiser person than me once suggested, I will begin at the beginning. The acting, from the get go, is so wooden, unbelievable and shallow that not only did I not feel any connection to the characters, they were actually making me angry! Keanu is has always been pretty one dimensional, but he takes it to a new level with his performance here. In this role as a supposedly doting father, it felt like he has never spent more than five minutes around any kid. The wife was equally unconvincing and the kids were so bad they wouldn't get a role on a home-brand cola commercial. I did however quite like the Boston Terrier playing the role of the family pet, 'Monkey', and I feel like he did his best to carry this stinker, but with limited screen time there was only so much he could do.

Enter the 2 mysterious young women...who continue what has become the well established, by now 20 minute old tradition of corny, unconvincing Knock Knock performances.

The direction is lousy. I'm no film buff, but I watch enough of them. When I saw Eli Roth was the director in the opening credits, I said to my wife 'I think he has done some cool stuff'. Half way through this stinker I looked him up, and realised that, no...no he hasn't done anything even remotely decent in his entire career. A bit of shock horror in Hostel, a tenuous claim to fame at best, and then nothing. And his lack of talent is glaringly obvious here. I think I had confused him with a hybrid of Tim Roth and possibly Elijah Wood? I dunno...but Eli Roth shall forever more be the huge red flag he rightly is.

The story...let's call it a ""story"" for the sake of this review anyway. There's so much that could be said, so I'll simply say that it sucked in ways that few things have ever sucked before. It pioneers new ways to suck that modern scientific research in sucking are yet to even discover.

And the final cherry on this s#!t cake, was, after breaking my spirit and will to live, to break my heart to. Using the Pixies classic Where is My Mind as the closing track. Which the Pixies must have authorise...which defies comprehension. They made great money off their last tours, and allowed it to be used to close that all time classic Fight Club.

And so ends my review of this diabolically bad film. If I save one person the price of a ticket, or an hour an a half of their precious existence, it'll have all been worth it."
1.0,5 July 2023,"Plot In a Nutshell: A family man (Keanu Reeves) gives shelter to two seemingly lost young women caught in a rainstorm, realizing too late they are not as innocent and helpless as they first seemed.

Why I rated it a '7': This movie will likely get under your skin. It might even aggravate you. But boy is it effective in doing that, and so credit must be given.

As mentioned, the family man (Reeves) finds himself in way over his head when two pretty young things come knocking. He tries to hold his own but is soon overwhelmed by their aggressive sexual talk and behavior, as probably 99% of guys would be. When he finally makes a stand and it seems his ordeal is over, we learn it's really just beginning.

What makes the film effective is that most of what we see seems believable. We don't know why the girls are acting this way, but we don't have to know. Why did that dude go shoot up the school in Uvalde? Who the heck knows? But we know he did it. People do evil things all of the time. This is life. This is reality. Life is not a fairy tale.

I see several comments on here complaining about the ending. They wanted Reeves to ""get justice."" Well, again, this is reality. Good does not always win over evil. Things do not always end ""happily ever after."" Sorry. In real life, sometimes the bad guy does win. Deal with it. If you want fairy tale endings, then go back to watching Disney films, and leave adult films for the adults lol.

P. S. Getting real tired of reading reviews where someone writes ""this is the worst movie ever."" That is pretty much the most pathetic, exaggerated, unimaginative comment you could make. Do better."
8.0,21 September 2019,
7.0,2 June 2018,"Simple film with eerie, Eli-Roth-like-atmosphere. Storyline: 2 young beautiful ladies appear in the front door of settled-down Keanu and then...

As a viewer, you already know where this is going after 15-20 minutes.

Pass the half hour mark and then the movie accelerates with some very creepy and funny moments.

I think that if another actor would have been casted instead, maybe the element of humor would have been absent, so you might enjoy seeing Keanu Reeves reacting in adverse situations.

Pros: unpredictability, good shots, good atmosphere overall and subtle comical moments.

Cons: pace slow at times, dialogue in the beginning seems a bit discouraging but it gets better later on.

Worth the time, 8/10."
4.0,15 February 2024,"Listen, you either get his movie style or you don't. Reviewers here are taking this movie way too serious. This movie reminds me of when a group of friends got together and watched Scream, or Slither or any movie of that nature. It's fun, it's over the top, it's a dark comedy. At this point I think actors feel it's an honor and kind of like fad to be featured in his films. There are scenes/dialogues here that are just pure genius and can be discussed and quoted with friends just for grins. Keep up the this kind of movie style Mr. Roth, and I'll surely keep watching. It's definitely a breath of fresh air."
2.0,27 March 2021,"Set on Fathers' Day weekend, successful architect Evan Webber (Keanu Reeves) prepares for a weekend of work while his wife and kids enjoy a weekend at the beach. On his first night home during a rainstorm two young women Bel and Genesis (Ana de Armas and Lorenza Izzo) arrive at his doorstep asking for help. After he allows them in the two seduce Evan resulting in a threeway. After Evan's infidelity, the two reveal their true intentions wreaking havoc on Evan's home and life and subject Evan to increasingly intense psychological and physical tortures which may culminate in his death.

Directed by Eli Roth Knock Knock is an uncredited remake of 1977s Death Game (though the original director and stars are executive producers). Knock Knock hits all the beats from the original while also updating the premise with references to contemporary society and technology. I honestly didn't like Death Game when I saw it because I found the plot repetitive and the characters annoying, but I did give it props for being a well made attempt by an inexperienced director and having a chilling performance from Sondra Locke. Knock Knock is certainly more polished of a product in terms of film making in comparison to its more grind house level predecessor, but while the package has been glossed up the content is considerably lesser this time around.

The opening 40 minutes are easily the best part of Knock Knock as we establish Evan's sexual frustration and hectic family situation that build up to the seduction. It's honestly really well told and is much better here than it was in the original 1977 film where the wife and kids were basically non entities for much of the original film's runtime. The film is also well shot with great looking establishment shots of the house.

Unfortunately beneath the coat of polish that's been applied many elements have been downgraded in terms of quality despite a supposedly more experienced director, Roth, helming the remake of a film that was made by an amateur. Keanu Reeves is a good actor, but only if given the right material. Reeves in Knock Knock does have a fun brief shining moments such as scene midway through the movie where he's trying to rebuke the advances of the seducers, but it feels like the role was written with someone like Nicolas Cage in mind and they just shoehorned Reeves into the role because they couldn't get him. Reeves still sporting his John Wick doo just doesn't sell it as a workaday family man and doesn't sell a role that he just doesn't fit into.

Ana de Armas and Lorenza Izzo start off well enough as the seducers when they first arrive in the movie, but around the halfway point where they reveal their true intentions they become absolutely insufferable to listen to. Not only do they act like oversexed brats with middle school level vocabularies, they have this unearned sense of ""holier than thou"" moral superiority that makes them extra aggravating. While movies with killers with prideful moral superiority complexes can work, such as Kiefer Sutherland as The Voice in Phone Booth or Tobin Bell as The Jigsaw Killer in Saw, those movies at least had some level of self awareness that their killers were hypocritical scum doing ex post fact justifications of their actions. Knock Knock is more confused and feels like it muddled its intentions much like Nicolas Cage's Wicker Man remake where they replaced the Paganism/Christianity dynamic with a fundamentally confused masculinity/femininity dynamic. Roth tries to update the very 70s counterculture girls with updated equivalents for the digital age, but it comes off more as an excuse for Roth to amp up the annoyance of characters who were already pretty grating to begin with.

Knock Knock is Roth at his worst. While it's not as bad as his worst movie, Hostel Part II, by virtue of at least being unintentionally fascinating in some confusing choices it's still an unnecessary remake of a very flawed movie that is not approved upon save for technical details. It's not completely without merit thanks to some decent cinematography and brief moments of good acting, but if you have a choice between this and the original, stick with the original, for all its flaws it at least had the excuse of an inexperienced director."
