Review,Rating,Date,Sentiment
hàng ok lắm  ,1,29 thg 12 2023,POS
"Phù hợp cho cả sử dụng trong nhà và ngoài trời,  ",2,09 thg 9 2024,POS
OK với tầm giá  ,2,18 thg 1 2024,POS
hàng chất lượng cảm ơn shòp ,2,13 thg 12 2023,POS
tốt,3,09 thg 7 2020,POS
congnghehoangnguyen.com 😍😍😍,3,12 thg 6 2021,POS
"Shop thân thiện giao đúng hàng ,giao hàng nhanh ,đủ số lượng ,hình ảnh minh hoạ nhận xu vì mình lười chụp.",3,22 thg 6 2023,POS
"chất lượng tốt ,đáng tin cậy ",3,05 thg 11 2023,POS
OK hình ảnh như quảng cáo chất lượng hình ảnh trong tầm tiền này là ok lắm còn bền hay không để thời gian trả lời,3,10 thg 6 2022,POS
"Chất lượng hình ảnh tuyệt vời,cài đặt dễ dàng ủng hộ shop",3,19 thg 6 2023,POS
Hàng ok đợt trước thấy còn niêm phong còn đợt này thấy bóc niêm phong tung toé hy vọng sản phẩm không có lỗi gì,3,18 thg 11 2020,POS
Oki đây ,3,30 thg 8 2023,POS
camera chất lượng hàng mới tin cho shop năm sao mọi nguoi nên mua shop này nhé chúc shop mua mai bán đắt nhé ,3,14 thg 8 2022,POS
"Giá Cả: giá hợp lý
 Kết nối: tốt
 Độ phân giải: đẹp
 ",3,26 thg 2 2024,POS
"đã lắp xong camera, màn hình rõ dễ sử dụng shop giao hàng nhanh nữa mới đặc hôm trước hôm sau đã có, đóng gói cẩn thận rất uy tính.  ",3,08 thg 12 2023,POS
"Hàng đúng với miêu tả, xem được cùng lúc nhiều tài khoản mà bị cái hơi lag",4,14 thg 7 2023,POS
sp chất lượng,4,22 thg 6 2023,POS
ôn trong tầm giá  ,4,08 thg 2 2024,POS
Good,4,27 thg 7 2020,POS
Dễ cài đặt ,4,21 thg 12 2023,POS
dùng tạm,4,01 thg 10 2020,POS
GIAO HANG NHANH ,4,26 thg 1 2022,POS
"ok, chỉ có một từ ngon Thôi bây giờ đặt thêm một cái khác nữa nè",4,29 thg 8 2022,POS
Giao hàng nhanh ,4,25 thg 9 2020,POS
"Quá ok với tầm tiền này. so sánh cùng phân khúc same same với imou, giá tốt hơn xíu ",4,11 thg 7 2024,POS
"Đã nhận được hàng,giao hàng nhanh,shipper thân thiện, hình ảnh mang tính chất lấy xu,thanks shop. ",4,16 thg 12 2023,POS
sản phẩm OK. nguyên hộp từ nhà sản xuất. ,4,21 thg 8 2020,POS
"Ok tốt nhanh , sẽ ủng hộ thêm ",4,16 thg 1 2023,POS
"hàng ok đẹp, đầy đủ phụ kiện, giao hàng siêu nhanh cám ơn shop cho shop 5 sao",4,06 thg 4 2023,POS
Ok ,4,27 thg 11 2023,POS
"Đã nhận được hàng, đóng gói cẩn thận, hàng giống mô tả , giao hàng nhanh, nhiệt tình ",4,03 thg 1 2024,POS
đã nhận ,4,17 thg 10 2023,POS
giao hàng đúng chất lượng.rõ nét.đặc biệt là xem lại rất ok. tốc độ đọc thẻ ok.xem lai nhanh.các bạn mua camera chú ý.đến phần xem lai nhanh.rất quan trọng.hàng shop mới 100%.hôm nào mình đặt hàng tiếp nha shop,4,23 thg 10 2020,POS
"Quá tốt, quá chất lượng
Giá rất phải chăng
Shop giao hàng nhanh lắm ",4,17 thg 9 2023,POS
ok ,4,12 thg 6 2024,POS
Good,4,13 thg 11 2022,POS
"Chất lượng rất tốt, chính hãng",4,16 thg 10 2020,POS
sản phẩm ok.tốt hơn ngoài sự mong đợi ,4,16 thg 9 2020,POS
Sản phẩm ok. Chất lượng. Đã xài nhiều . Thấy ổn nên ủng hộ tiếp.,4,21 thg 8 2023,POS
sử dụng tốt,4,13 thg 6 2020,POS
"Camera về lắp đặt rất tốt chất lượng hình ảnh rất nét nhé, nên mua",4,30 thg 6 2023,POS
Sản phẩm tốt,4,17 thg 7 2023,POS
hàng ok ,4,15 thg 9 2023,POS
Camera rõ. Dễ kết nối. 5*,4,04 thg 11 2022,POS
Good. ,4,08 thg 8 2020,POS
"Độ phân giải:
ok, mua thêm cái nữa ",4,04 thg 1 2024,POS
OK ,4,19 thg 2 2022,POS
Đã nhận được hàng giống như hình đẹp chưa cài đặt sử dụng nên chưa đánh giá kết quả  ,4,17 thg 5 2024,POS
Hàng chuẩn,4,19 thg 6 2023,POS
Tốt hhhijhbfdcstyggg uuggffyyg huggffyg guuhff hhuhhhggh ,4,01 thg 2 2023,POS
"Theo dõi chuyển động thông minh để giám sát chính xác,  ",4,29 thg 8 2024,NEU
"Mới nhận lắp đặt xong nói chung ổn, hình ảnh đẹp, dây nguồn dài chắc phải 3 m. Hi vọng bền vì đây là cái thứ 2 đã mua",4,28 thg 6 2020,POS
"Tốt, hình ảnh nét! ",4,29 thg 6 2020,POS
"Ok. Hàng tốt. Đã sử dụng, chất lượng video rất tốt",5,19 thg 8 2020,POS
"hàng nguyên hộp. cam load nhanh. hình ảnh tạm ổn. zoom ra bị vỡ hình. app cần cải tiến nhiều tính năng hơn. cam màu trắng cục nguồn lại màu đen, treo lên tường trắng nhìn chỏi vãi. may mà để trên kệ giấu được dây.",5,04 thg 12 2020,NEG
sản phẩm tốt giao hàng nhanh.rat đang mua,5,18 thg 10 2022,POS
shop rất nhiệt tình . hàng đúng như quảng cáo.tks shop,5,03 thg 7 2020,POS
cam tuyệt vời rõ nét trong tầm giá. 5 sao đc she,5,13 thg 12 2020,POS
Ok bin,5,29 thg 8 2020,POS
đẹp hình ảnh rõ nét ,5,19 thg 2 2023,POS
"Mình rất hài lòng, shop đóng gói cẩn thận. cam sử dụng rất tốt. ",5,29 thg 10 2021,POS
"Giá Cả:
 Kết nối:
 Độ phân giải: giá rẻ cam nét sử dụng ổn, giao hàng nhanh ",5,22 thg 8 2023,POS
camera rõ sắc nét nên mua,5,25 thg 7 2023,POS
Good,5,05 thg 5 2021,POS
"Hàng ok ạ, shop uy tín",5,13 thg 4 2022,POS
hàng tốt giá rẻ..,5,19 thg 10 2022,POS
"giao hàng nhanh. tôi mua được giá 417.000.
quá là ngon. Ezviz c6n thì hợp giá tiền và nhu cầu sử dụng. phần mềm ít lag và ngon hơn yoosee nhiều. hình ảnh video cũng tạm chấp nhận được. ai thích đẹp, góc rộng thì nên mua bộ camera có đầu ghi mà sài, loại camera ip c6n như vầy là quá ổn. sài ok.",5,30 thg 5 2023,POS
"Ngon đep, nguyên tem hen",5,27 thg 5 2020,POS
"lúc mua đã hỏi kĩ rồi. shop tư vấn cho dữ vào. khách hàng thiếu thẻ nhớ. tôi đề shop, giao thêm thẻ nhớ cho tôi. tôi đặt hàng mua sản phẩm có thẻ nhớ. mà shop giao ko có. lừa à. ( shop đã gọi và xem xét lại vấn đề thiếu sót này đã gửi thẻ nhớ cho mình. m. n khi mua cam lắp nhà..... v.. v thì xem comment hay biết shop bán uy tín thì mua nha!.  cho shop 5 sao ",5,16 thg 7 2021,POS
hddjjgghffjhg hút ti kfh và đi ghị gd đi hhf tyj s đc gị hhjikkjhhhgghhhhjjjfxdhk ,5,23 thg 5 2024,POS
Giá cả hợp lý. Hình ảnh sắc nét. Độ bền thì chưa biết. Nên mua ok ,5,29 thg 8 2023,POS
"chất lượng sản phẩm tuyệt vời, shop giao hàng nhanh",5,05 thg 1 2021,POS
hàng đẹp chuẩn nguyên seal hộp,5,16 thg 9 2020,POS
"Shop giao hàng nhanh, mua hot deal được giá tốt. Shop giao nhầm 1 cái nhưng vui vẻ nhiệt tình ship đổi hàng nhanh chóng.",5,25 thg 4 2020,POS
Mình muốn đặt thêm 2 chiếc nưa shop,5,10 thg 10 2020,POS
"Giao hàng nhanh, đóng gói kỹ , đẹp đúng như quảng . Chưa lắp đặt nên chưa nhận xét về chất lượng sp . Cho Shop 5sao .",5,14 thg 6 2021,POS
"Độ phân giải: 
Okay sản phẩm giống mô tả. Ủng hộ  ",5,18 thg 2 2024,POS
"Chất lượng tuyệt vời, sẽ ủng hộ shop dài",5,12 thg 6 2023,POS
"hàng ok hãng, đã kết nối thành công với WiFi qua app EZVIZ",5,30 thg 7 2023,POS
"Camera hoạt động ok, shop hổ trợ nhiệt tình",5,29 thg 6 2020,POS
tạm ổn trong tầm giá aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa ,5,21 thg 2 2024,POS
"đã mua mấy cái rồi, đóng gói cẩn thận, về dùng k lỗi cái nào, nên mua.",5,26 thg 3 2022,POS
"shop giao hàng nhanh,giao đúng hàng,con nguyên seal,.........mđjdjdjdjdkdkdkdkdkdfkr",5,16 thg 3 2022,POS
"sản phẩm tốt, đúng như miêu tả. cho shop 5 sao nha",5,19 thg 8 2022,POS
"Máy dùng tốt, ảnh đẹp, video record chất lượng, máy kèm theo đế rồi nên cân nhắc khi mua thêm đế treo nhé.",5,07 thg 2 2022,POS
"Cài đặt dễ dàng, hình ảnh sắc nét, nhiều ứng dụng hay, nên mua",5,08 thg 7 2020,POS
hang tot. 5 sao,5,16 thg 4 2022,POS
