Review,Rating,Date,Sentiment
Tốt,1,05 thg 9 2020,POS
giao hàng nhanh check in mã vạch ra nhưng chưa được kiểm chứng chất lượng thế nào ko biết chưa sử dụng ,1,13 thg 12 2022,POS
"Hàng mới, date xa. Về chất lượng phải uống thử một thời gian mới biết được. Tuy nhiên giao hàng khá lâu so với các nhãn hàng khác.",1,06 thg 3 2021,NEU
"Đóng gói tốt, giao hàng nhanh, chưa trải nghiệm sản phẩm nên sẽ đánh giá sau",1,13 thg 7 2023,POS
Hdkejbdkdbfjskdbdjkxnfncjdndnhxakmwyxmehxheoosbd eidjbfksjdjd eudnwhsufnwnjsjdjs,1,26 thg 8 2022,POS
Giao hàng nhanh. Chưa dùng nên k biết thế nào. Đóng gói cẩn thận,1,17 thg 3 2023,POS
Tốt,1,05 thg 9 2020,POS
"Sản phẩm đúng với giới thiệu và mô tả , chất lượng tốt , thông tin đầy đủ , giá rẻ , thời gian giao hàng nhanh, nhân viên giao hàng đúng hẹn , ",2,08 thg 2 2023,POS
"đã nhận hàng, không có gì để bàn
để uống coi sao đã hén. haha hihi",2,04 thg 6 2023,POS
Viên con nhộng nên dễ uống. Uống xong đi vs nước tiểu có màu vàng nên mình nghĩ thuốc có nhiều vitamin c cơ thể ko hấp thu hết nên đào thải ra bớt.,3,07 thg 7 2023,NEU
"Đã nhận hàng, giao hàng nhanh. Chưa sử dụng nên không thể đánh giá kết quả , sẽ review sau khi sử dụng. ",3,06 thg 12 2022,POS
Tốt,3,05 thg 9 2020,POS
tạm ổn,3,20 thg 6 2023,NEU
"Hàng mới, date xa. Về chất lượng phải uống thử một thời gian mới biết được. Tuy nhiên giao hàng khá lâu so với các nhãn hàng khác.",3,06 thg 3 2021,NEU
"Giao hàng bình thường, đóng gói sơ sài. Chưa dùng nên chưa biết review sao. Sẽ dùng và review thêm nha",3,27 thg 12 2022,NEU
Tốt,3,05 thg 9 2020,POS
"đóng gói chắc chắn, giao hàng nhanh nha, mới đặt hai hôm đã về, đã dùng và thấy hiệu quả nên mua nha mn",3,16 thg 12 2022,POS
"Hàng mới, date xa. Về chất lượng phải uống thử một thời gian mới biết được. Tuy nhiên giao hàng khá lâu so với các nhãn hàng khác.",3,06 thg 3 2021,NEU
"Hàng mới, date xa. Về chất lượng phải uống thử một thời gian mới biết được. Tuy nhiên giao hàng khá lâu so với các nhãn hàng khác.",3,06 thg 3 2021,NEU
"Ko biết tại sao mà hàng hơi bị bụi bẩn ở phía ngoài, cái túi đc tặng cũng có mùi hơi ẩm ẩm khó chịu. Hàng chính hãng DHC thì yên tâm rồi, mua lại được tặng quà nữa.",3,09 thg 8 2022,NEU
Nhân viên giao hàng gian lận  ,3,16 thg 12 2023,NEG
"Hàng mua tại laz mall nên tin tưởng, đóng gói khá sơ xài không thấy tem thư cảm ơn hay giấy gói",3,10 thg 3 2023,NEG
Đã nhận hàng đầy đủ - giao hàng nhanh chóng mùa dịch- đóng gói cẩn thận. Mới dùng C của DHC nên cũng k biết hiệu quả thế nào.,3,17 thg 9 2021,POS
mới nhận chưa dùng,4,26 thg 10 2022,POS
chưa biết kết quả sao chứ cũng yên tâm vì mua hàng chính hãng. tốt sẽ ủng hộ tiếp,4,11 thg 2 2023,POS
Đã nhận hàng đầy đủ - giao hàng nhanh chóng mùa dịch- đóng gói cẩn thận. Mới dùng C của DHC nên cũng k biết hiệu quả thế nào.,4,17 thg 9 2021,POS
Đã nhận hàng đầy đủ - giao hàng nhanh chóng mùa dịch- đóng gói cẩn thận. Mới dùng C của DHC nên cũng k biết hiệu quả thế nào.,4,17 thg 9 2021,POS
Đã nhận hàng đầy đủ - giao hàng nhanh chóng mùa dịch- đóng gói cẩn thận. Mới dùng C của DHC nên cũng k biết hiệu quả thế nào.,4,17 thg 9 2021,POS
.,4,14 thg 12 2021,POS
"Uống cái này nóng lắm mn ơi, mình uống 5 ngày bị nổi nhọt ở chân ngứa kinh khủng nên ngưng luôn (mặc dù mấy ngày đầu uống có 1 viên cho quen dần r đó) chán ghê, à bị bón nữa😭. Định uống cho tết này da đẹp mà kế hoạch thất bại ùi. Nên mn xđ mua thuốc này là ngày phải uống nhiều ơi nhiều nc mới mát lại hoặc uống chung vs gói rau củ sẽ đỡ hơn.",4,31 thg 1 2021,NEG
"Giao hàng nhanh,hi vọng hàng chính hãng.chưa sử dụng nên ko đánh giá dc,sử dụng xong sẽ qlai nhận xét.",4,11 thg 12 2021,POS
.,4,14 thg 12 2021,POS
"Giao hàng nhanh,hi vọng hàng chính hãng.chưa sử dụng nên ko đánh giá dc,sử dụng xong sẽ qlai nhận xét.",4,11 thg 12 2021,POS
"sản phẩm nhận đầy đủ, cần có thời gian để đanha gía. ",4,15 thg 6 2021,POS
ok,4,27 thg 7 2022,POS
"sản phẩm nhận đầy đủ, cần có thời gian để đanha gía. ",4,15 thg 6 2021,POS
"Uống cái này nóng lắm mn ơi, mình uống 5 ngày bị nổi nhọt ở chân ngứa kinh khủng nên ngưng luôn (mặc dù mấy ngày đầu uống có 1 viên cho quen dần r đó) chán ghê, à bị bón nữa😭. Định uống cho tết này da đẹp mà kế hoạch thất bại ùi. Nên mn xđ mua thuốc này là ngày phải uống nhiều ơi nhiều nc mới mát lại hoặc uống chung vs gói rau củ sẽ đỡ hơn.",4,31 thg 1 2021,NEG
"sản phẩm nhận đầy đủ, cần có thời gian để đanha gía. ",4,15 thg 6 2021,POS
"Uống cái này nóng lắm mn ơi, mình uống 5 ngày bị nổi nhọt ở chân ngứa kinh khủng nên ngưng luôn (mặc dù mấy ngày đầu uống có 1 viên cho quen dần r đó) chán ghê, à bị bón nữa😭. Định uống cho tết này da đẹp mà kế hoạch thất bại ùi. Nên mn xđ mua thuốc này là ngày phải uống nhiều ơi nhiều nc mới mát lại hoặc uống chung vs gói rau củ sẽ đỡ hơn.",4,31 thg 1 2021,NEG
Lần đầu sử dụng chưa biết kết quả nếu tốt sẽ mua lại,4,11 thg 8 2022,POS
"sản phẩm nhận đầy đủ, cần có thời gian để đanha gía. ",4,15 thg 6 2021,POS
"Uống cái này nóng lắm mn ơi, mình uống 5 ngày bị nổi nhọt ở chân ngứa kinh khủng nên ngưng luôn (mặc dù mấy ngày đầu uống có 1 viên cho quen dần r đó) chán ghê, à bị bón nữa😭. Định uống cho tết này da đẹp mà kế hoạch thất bại ùi. Nên mn xđ mua thuốc này là ngày phải uống nhiều ơi nhiều nc mới mát lại hoặc uống chung vs gói rau củ sẽ đỡ hơn.",4,31 thg 1 2021,NEG
