Review,Rating,Date,Sentiment
"Giám sát trong nhà đáng tin cậy, Kết nối mượt mà và ổn định, Âm thanh hai chiều tiện lợi,  ",3,17 thg 9 2024,POS
sản phẩm như mô tả. giao hàng nhanh giá cả hợp lý.  ,3,18 thg 8 2024,POS
"Giám sát trong nhà đáng tin cậy, Kết nối mượt mà và ổn định, Âm thanh hai chiều tiện lợi,  ",3,18 thg 7 2024,POS
sản phẩm như mô tả. giao hàng nhanh giá cả hợp lý.  ,4,28 thg 6 2024,POS
ok djfbfjfbfnff f. f ff. f f f f f f f f. f f ff f f. ff f. ff. f f ff f f. fg g ,4,17 thg 7 2024,POS
"Dễ dàng cài đặt và lắp đặt, Thiết kế chắc chắn và bền bỉ, Âm thanh hai chiều tiện lợi,  ",4,14 thg 7 2024,POS
"Cua gạch son lớn loại 1
Bao gạch, bao soi đèn
Thương mời ac lên đơn em giao ạ ",4,04 thg 9 2024,NEU
"Kết nối mượt mà và ổn định,  ",4,10 thg 4 2024,POS
"Phạm vi phủ sóng rộng, Giám sát trong nhà đáng tin cậy, Tầm nhìn ban đêm chất lượng cao, Dịch vụ khách hàng xuất sắc, Dịch vụ khách hàng xuất sắc,  ",4,15 thg 6 2023,POS
"chất lượng tốt, hàng chính hãng, giá rẽ.
 Giá Cả:rẻ
 Kết nối:tốt
 Độ phân giải:Full HD ",4,11 thg 8 2024,POS
"Kết nối mượt mà và ổn định, Giám sát trong nhà đáng tin cậy, Phạm vi phủ sóng rộng, Thiết kế chắc chắn và bền bỉ,  ",4,31 thg 8 2024,POS
đã mua 3 sản phẩm chất lượng vừa túi tiền rất hữu ích khi nhà có em bé ,5,04 thg 9 2024,POS
"camera dễ cài đặt,xoay 360 độ ,thiết lấp dễ dàng. giá rẻ Chất lượng video rõ nét và sắc nét,  ",5,03 thg 5 2024,POS
sản phẩm ok nhưng khó kết nối wifi với camera .,5,05 thg 9 2024,NEG
"Giá Cả:  Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Kết cấu chắc chắn và bền, Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi, 
 Độ phân giải:  Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi,  ",5,11 thg 8 2024,POS
"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 26/08/2024. Tiền KM sử dụng truy cập Internet trong 15 ngày.
Đặc biệt tặng riêng Quý khách 10.000 điểm Viettel++, vui lòng truy cập  để nhận.
Chi tiết).Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,31 thg 8 2024,NEU
"Đã nhận được hàng, giao đầy đủ đúng loại và phụ kiện đầy đủ ",5,05 thg 9 2024,POS
"Giá Cả:  Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Kết cấu chắc chắn và bền, Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi, 
 Độ phân giải:  Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi,  ",5,11 thg 8 2024,POS
"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 26/08/2024. Tiền KM sử dụng truy cập Internet trong 15 ngày.
Đặc biệt tặng riêng Quý khách 10.000 điểm Viettel++, vui lòng truy cập  để nhận.
Chi tiết).Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,31 thg 8 2024,NEU
"Đã nhận được hàng, giao đầy đủ đúng loại và phụ kiện đầy đủ ",5,05 thg 9 2024,POS
"Giá Cả:  Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Kết cấu chắc chắn và bền, Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi, 
 Độ phân giải:  Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi,  ",5,11 thg 8 2024,POS
"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 26/08/2024. Tiền KM sử dụng truy cập Internet trong 15 ngày.
Đặc biệt tặng riêng Quý khách 10.000 điểm Viettel++, vui lòng truy cập  để nhận.
Chi tiết).Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,31 thg 8 2024,NEU
"Đã nhận được hàng, giao đầy đủ đúng loại và phụ kiện đầy đủ ",5,05 thg 9 2024,POS
"Giá Cả:  Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Tầm nhìn ban đêm chất lượng cao, Kết cấu chắc chắn và bền, Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi, 
 Độ phân giải:  Kết nối mượt mà và ổn định, Dịch vụ khách hàng xuất sắc, Phạm vi phủ sóng rộng, Âm thanh hai chiều tiện lợi,  ",5,21 thg 6 2023,POS
"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 26/08/2024. Tiền KM sử dụng truy cập Internet trong 15 ngày.
Đặc biệt tặng riêng Quý khách 10.000 điểm Viettel++, vui lòng truy cập  để nhận.
Chi tiết).Dễ dàng thiết lập và cài đặt, Tính năng theo dõi chuyển động thông minh,  ",5,16 thg 8 2024,NEU
"Đã nhận được hàng, giao đầy đủ đúng loại và phụ kiện đầy đủ ",5,25 thg 9 2023,POS
"📺Độ phân giải:  Âm thanh hai chiều tiện lợi, Giám sát trong nhà đáng tin cậy, Kết nối mượt mà và ổn định, Chất lượng video rõ nét và sắc nét,  ",5,3 tuần trước,POS
"Dễ dàng thiết lập và cài đặt, Chất lượng video rõ nét và sắc nét, Âm thanh hai chiều tiện lợi, Tính năng theo dõi chuyển động thông minh,  ",5,15 thg 9 2024,POS
"Chất lượng video rõ nét và sắc nét, Dịch vụ khách hàng xuất sắc,  ",5,12 thg 8 2024,POS
"📺Độ phân giải:  ổn
 📱Truy cập từ xa:  ok
Dịch vụ khách hàng xuất sắc, Giám sát trong nhà đáng tin cậy,  ",5,31 thg 3 2024,POS
"Đã mua nhiều lần, Giao hàng nhanh, đóng gói cẩn thận, chất lượng sản phẩm tốt. ",5,11 thg 9 2024,POS
saqn sale đc giá hơn 200k. ko biết độ bền thế nào nhưng tạm thời quá ổn so với giá thành ,5,3 tuần trước,POS
"Giao thiếu cái chân đế nha shop
 ",5,24 thg 9 2024,NEG
"Phạm vi phủ sóng rộng, Giám sát trong nhà đáng tin cậy, Dễ dàng thiết lập và cài đặt,  ",5,14 thg 9 2024,POS
"Dễ dàng thiết lập và cài đặt, Kết cấu chắc chắn và bền, Giám sát trong nhà đáng tin cậy,  ",5,2 tuần trước,POS
sdfghjjhgdzgbnnnkiugghhjkkjjnhgffddcbjkiiyggjkjhfxfff ,5,21 thg 8 2024,POS
Đã nhận được sản phẩm từ shop . Shop giao hàng nhanh . Shipper thân thiện ,5,20 thg 9 2024,POS
"Giám sát trong nhà đáng tin cậy, Chất lượng video rõ nét và sắc nét, Kết cấu chắc chắn và bền, Kết cấu chắc chắn và bền,  ",5,20 thg 5 2024,POS
"Kết nối mượt mà và ổn định, Chất lượng video rõ nét và sắc nét, Dịch vụ khách hàng xuất sắc, Kết cấu chắc chắn và bền, moi người nên mua; tang shop nam sao ",5,17 thg 9 2024,POS
"sản phẩm tốt. okiChất lượng video rõ nét và sắc nét,  ",5,31 thg 8 2024,POS
tốt dùng như qc còn chất lượng bền thì chưa biết  ,5,15 thg 11 2023,POS
"Đóng gói sơ sài,nhận đc hộp trong tình trạng móp méo ",5,2 tuần trước,NEG
"Giá Cả:  hợp lý
Kết nóii mạng wifi đơn giản
Độ phán 2MP xài tương đối tốt ",5,17 thg 1 2024,POS
tốt ,5,28 thg 11 2022,POS
"📺Độ phân giải:  ok như quảng cáo
 📱Truy cập từ xa:  ok như quảng cáo
 🌙Tầm nhìn ban đêm:  ok như quảng cáo
Tổng thể ok, giá cả hợp lý ",5,01 thg 10 2024,POS
"Mua lần thứ 2. Đúng mẫu kết nối đúng app. Nhưng đóng gói thiếu túi giảm xóc hộp ngoài bị móp. Shop đóng gói cẩn thận hơn nha, lần đầu mua đóng gói kĩ lắm mà  ",5,30 thg 6 2024,NEU
"cam mờ k nét bằng hãng yoosee cùng giá tiền mình từng mua

bắt giọng nói nhanh. dễ kết nối

tuy nhiên cảm thấy bảo mật sẽ k tốt. k thấy phần reset camera ",5,13 thg 9 2024,NEG
Sạc và dây không giống hình đăng bán. Do Chăm sóc khách hàng tốt nên tạm dùng. Quay lại đánh giá sau nếu có gì thay đổi ,5,04 thg 4 2024,NEU
chất lượng ok đúng như quảng cáo. Cảm ơn shop ,5,4 tuần trước,POS
"Âm thanh hai chiều tiện lợi, Giám sát trong nhà đáng tin cậy, 
 ",5,06 thg 7 2024,POS
