Review,Rating,Date,Sentiment
ok.hang dep,1,28 thg 12 2022,POS
"Đã mua rất nhiều lần từ shop này, để đấy không nói gì thêm",1,18 thg 7 2023,POS
Hàng lúc nào cũng Ok 5 sao,3,18 thg 3 2022,POS
"Tính năng phát hiện chuyển động đáng tin cậy, Chất lượng camera tuyệt vời!, Thiết kế bền bỉ và chắc chắn, Khả năng quan sát ban đêm tuyệt vời,  ",3,14 thg 5 2024,POS
cam xài ok,3,12 thg 8 2022,POS
"sản phẩm nguyên seal, hàng chính hãng nên tâm. đóng gói cẩn thận, nhiệt tình, sẽ ủng hộ shop    jd",4,21 thg 9 2021,POS
đúng mẫu đẹp nét mjh đã mua rất nhiều,4,09 thg 6 2023,POS
Camera lên hình chuẩn đẹp.đàm thoại được 2 chiều nên rất ưng ý.khi cần hỗ trợ thì shop cũng hỗ trợ thắc mắc nhanh lẹ.nói chung là hài lòng ,4,31 thg 7 2022,POS
"Hàng shop bán lúc nào cũng ok
Đã đặt rất nhiều rồi 
Rất hài lòng
5 sao",4,25 thg 3 2022,POS
"Sản phẩm tốt , hình ảnh đẹp, giao hàng nhanh , có cơ hội sẽ quay lại ủng hộ shop nhiệt tình OK ,..",4,26 thg 9 2022,POS
"Cam rất rõ, dễ sử dụng",4,30 thg 12 2021,POS
"cam đẹp chuẩn,  rất hài lòng ",5,21 thg 9 2022,POS
"Dễ dàng thiết lập và sử dụng,  ",5,15 thg 9 2024,POS
"hàng chính hãng, shop đóng gói chắc chắn, giao hàng nhanh.",5,11 thg 3 2023,POS
"Giao hàng củng bình thường.camera củng khá OK,cảm ơn shop nhé.",5,26 thg 5 2022,POS
"Chất lượng camera tuyệt vời!, Thiết kế bền bỉ và chắc chắn, Nhiều lựa chọn lưu trữ, Độ phân giải video cao,  ",5,14 thg 5 2024,POS
chưa sử dụng ,5,30 thg 9 2024,POS
"cho mik hỏi shop mong shop cho xin sđt để tiện hỗ trợ
camera mik lắp và rất ổn nhưng thẻ nhớ đã lắp vào nhưng camera không nhận mong shop trả lời và đổi lại",5,28 thg 1 2022,NEG
"sp ok , cài đặt dễ , tốt , cho shop 5*",5,17 thg 4 2023,POS
"Cam nét, dễ lắp đặt, cài đặt, dùng ổn định, nhiều tính năng. Loại này ko xem lại tua nhanh được trực tiếp khi dùng khác mạng",5,21 thg 1 2022,POS
"Đã mua dùng rồi bây giờ mua thêm 2 cái nữa .đánh giá xài tốt , ủng hộ shop giao hang rất nhanh chóng !!",5,27 thg 7 2022,POS
hàng nhìn đẹp giồna mẫu mã qc. mà thấy vỏ màu hơi mờ. k biết chất lượng ntn. để test sau. dù sao cũng cho 5s,5,10 thg 5 2022,POS
"Sản phẩm ok, chạy ổn, hình nét.ứng dụng chạy trên đthoai mượt. Đóng gói cẩn thận và giao hàng nhanh, sẽ ủng hộ shop nữa ạ.",5,19 thg 8 2021,POS
Sản phẩm Sài OK nha mọi người ,5,10 thg 6 2022,POS
sp tốt. hình đẹp,5,07 thg 9 2021,POS
ok,5,19 thg 4 2022,POS
hàng chuẩn giá ok mơi lăp thấy rõ . cảm ơn shop cho 5 sao,5,05 thg 6 2023,POS
"cam dùng ok,hơi tối xíu,tốt hay ko còn phải dùng mới biết dc .cho shop 5 sao",5,13 thg 5 2022,POS
mình mua camera+đế+thẻ64gp mà sao shop giao không có thẻ nhớ,5,18 thg 4 2023,NEG
sản phẩm chất lượng,5,13 thg 4 2022,POS
Hàng chuẩn mới đã lắp song sẽ ủng hộ tiếp shop nhé ,5,06 thg 10 2021,POS
ok,5,28 thg 3 2022,POS
mình mua cái này cái thứ 3 rồi.rất tốt,5,17 thg 10 2021,POS
oki,5,30 thg 3 2022,POS
"Hàng ok giao hàng nhanh nè 😍
Amazing good chóp",5,28 thg 9 2021,POS
"Kết nối WiFi tiện lợi, Chức năng xoay và nghiêng mượt mà, Dễ dàng cài đặt và sử dụng,  ",5,09 thg 8 2024,POS
tốt,5,29 thg 3 2022,POS
Sp tốt,5,18 thg 9 2022,POS
ok,5,08 thg 9 2022,POS
"chất lượng tốt, dễ cài đặt và sử dụng",5,17 thg 10 2021,POS
shop giao đầy đủ sản phẩm đã đặt ok,5,20 thg 4 2023,POS
Camera ok lắm,5,11 thg 3 2022,POS
camera sài rõ nét . giá cả rẻ hơn chỗ khác.  sự lâu bền thì phải đợi tg,5,02 thg 2 2023,POS
"Máy rất rõ và nghe tiếng cũng tốt ,cảm ơn shop đã bán Sp chất lượng sẽ ủng hộ tiếp ",5,20 thg 12 2021,POS
OK sản phẩm chất lượng shop uy tín mọi người nên mua ủng hộ cho shop,5,31 thg 3 2023,POS
giao hàng nhanh mua nhìu lần lắm thấy sài rất oke,5,19 thg 3 2022,POS
Sản phẩm như mô tả,5,10 thg 8 2022,POS
"giao hàng rất nhanh, đủ phụ kiện trong hợp, camera nhìn dể thương, chưa sử dụng trước hết cho 5 sao.",5,18 thg 12 2022,POS
cho shop 5sao,5,02 thg 1 2022,POS
sản phẩm ok... sẽ ủng hộ tiếp... hshdhdhdhxhxxhdhdhdhdhdhdhdhdhdhdhdhdhdhddhdhdhdhdh,5,28 thg 10 2022,POS
"Khả năng quan sát ban đêm tuyệt vời, Chất lượng camera tuyệt vời!, Nhiều lựa chọn lưu trữ, Thiết kế mượt mà và hiện đại, Dễ dàng cài đặt và sử dụng, Nhiều lựa chọn lưu trữ,  ",5,29 thg 11 2023,POS
"Giao hàng nhanh, shop rất tận tâm , sản phẩm xài nét rõ. ",5,22 thg 2 2022,POS
"tốt , rất hài lòng",5,28 thg 11 2022,POS
tốt ,5,19 thg 11 2022,POS
ok,5,01 thg 10 2022,POS
Hàng ok thank shop,5,02 thg 8 2022,POS
Chuẩn không cần chỉnh cảm ơn shop camera nét dễ cài đặt giá cả hợp lý chúc shop làm ăn thuận phát tặng shop 5sao ,5,30 thg 12 2021,POS
hàng dùng ok nhưng thẻ nhớ bị lỗ ,5,20 thg 2 2024,NEG
"Dễ dàng cài đặt và sử dụng,  ",5,16 thg 5 2024,POS
